client_id,family,mass_kg,yaw_inertia_kg_m2,front_stiffness_n_per_rad,rear_stiffness_n_per_rad,nearest_center_family,distance_to_own_center,distance_to_nearest_wrong_center
nominal_00,nominal,1500.886621852519,2556.307962040742,77153.27690175707,83589.19557709795,nominal,0.043350801711405644,0.05580769719258483
nominal_01,nominal,1485.8873589007862,2490.4158061215717,82621.62075056354,79273.59309095329,nominal,0.02625554737706224,0.06960172183482663
nominal_02,nominal,1503.7195265754794,2440.9448891553834,82028.10486939846,80305.14650575424,nominal,0.03349053843020788,0.06794910496704351
nominal_03,nominal,1487.2298787374318,2536.0535879285508,78425.55863433315,79627.98311584521,nominal,0.023390906330187974,0.0589432603760324
nominal_04,nominal,1472.5531272935373,2487.889123305891,77627.6419254092,78098.5067235348,nominal,0.01723714166716913,0.058531443100644155
nominal_05,nominal,1518.7773504472539,2472.551094748255,79881.52779545308,83845.89759840992,nominal,0.014790057244245394,0.04341342471196577
nominal_06,nominal,1534.624289524784,2528.098742596692,80329.81484437946,78215.12963236296,nominal,0.008676753086141626,0.06329702199850064
nominal_07,nominal,1474.5489006581345,2558.7406766520166,80128.54868438303,76926.92489976616,nominal,0.0185071423494076,0.06891526095376053
nominal_08,nominal,1509.2617316653125,2534.585389292787,80904.02640842432,83338.38163832722,nominal,0.007682765718744642,0.04876953960827333
nominal_09,nominal,1465.469465749815,2503.5736579075024,79674.68706308323,76498.796633199,nominal,0.011127749197517096,0.06672019380940125
heavy_00,heavy,1737.189554588271,3052.8949257720983,84780.70455207599,78080.77958189778,heavy,0.009228524033683776,0.10024346991970771
heavy_01,heavy,1754.3147811889587,3001.4243822282265,84091.46662951888,82024.24166161743,heavy,0.005291687300803065,0.09199427944719626
heavy_02,heavy,1694.6332755864523,3047.9440078678913,85539.61001042736,82296.7755324384,heavy,0.0037922172078540687,0.0909701590538318
heavy_03,heavy,1698.4019023404867,3045.3546241701792,81407.12097888048,76652.4209389081,heavy,0.032037298294801314,0.12495755452468299
heavy_04,heavy,1755.63832653226,3054.1925244266504,87162.91160989928,79775.27775487032,heavy,0.015204651512691389,0.08244508948173522
heavy_05,heavy,1705.511673517933,2926.0637742904746,85224.05552282956,81759.27506806955,heavy,0.027247165918372656,0.06609572506425146
heavy_06,heavy,1753.9428449231486,2967.2816741046813,81607.83260416897,81114.6510405327,heavy,0.015246545268758358,0.10434735637221344
heavy_07,heavy,1751.3109793587569,3069.5506309267457,81064.40857553789,79857.69910559469,heavy,0.0405160184451362,0.1320940910173766
heavy_08,heavy,1759.0442431144197,2988.4075360418155,84751.81732150601,76195.9254199469,heavy,0.014520308855944833,0.0879438876145764
heavy_09,heavy,1739.960915266941,3062.863292945073,86745.33276827646,83084.16213367958,heavy,0.00820894922743964,0.08505934850019688
handling_00,handling,1436.4253208620873,2221.3746300648572,73933.32239205304,85462.73773494609,handling,0.02971774795199024,0.05079077386438658
handling_01,handling,1448.6033319698427,2200.805766289211,74343.5122564336,85047.66394497208,handling,0.03959586863167768,0.05541596941166807
handling_02,handling,1416.1042235003856,2229.3830437376587,73377.62665399973,85171.43252793446,handling,0.023125740918481654,0.0474070162723319
handling_03,handling,1417.60825155796,2194.4052669496477,70289.96193180073,87306.4615652148,handling,0.005278902422392079,0.06132843107520966
handling_04,handling,1396.9218881153968,2264.980493929113,71139.05474318303,89982.5866550709,handling,0.015162872598744267,0.06578502653434315
handling_05,handling,1435.962953288623,2242.263009237458,74644.70764062383,89162.78903400147,handling,0.027150102640314467,0.05963739871592039
handling_06,handling,1447.1070475875736,2232.2019064432625,72314.41888561287,85327.41258900984,handling,0.012508218590242832,0.04761794143379711
handling_07,handling,1460.3500597959521,2221.111739734462,70249.44576403515,84244.0726370405,handling,0.011166080829465764,0.05028890707109623
handling_08,handling,1407.7434722285175,2279.601959911206,73424.83370891819,84732.3242683911,handling,0.01728190005380945,0.03984267731336333
handling_09,handling,1416.1819932267517,2241.103656894464,73187.88657380611,87612.17487478499,handling,0.014600867226882815,0.05371950135911038
