seed,stable_and_controllable_all,nearest_center_accuracy,minimum_center_margin,mean_center_margin,mean_within_distance,max_within_distance,mean_between_distance,min_between_distance,between_to_within_mean_ratio,true_label_silhouette
1,True,1.0,0.01245689548117919,0.0509514067186151,0.026544436175363773,0.07585730946910677,0.09280297862007053,0.026400827978034377,3.496136742441045,0.5956634363102155
2,True,1.0,0.018335187363741658,0.04958312276557073,0.032916719580467727,0.09432456423165034,0.09490968845875489,0.03583120465140099,2.8833276726357884,0.5550718057465852
3,True,1.0,0.02169131440919049,0.050132411315207834,0.02713603087512419,0.0768883700596367,0.08946516904151815,0.038512152988884774,3.2969143296314405,0.6024826876739454
4,True,1.0,0.02044684679753338,0.05292781297424455,0.02964654409912662,0.07600710539369783,0.10003375558719689,0.039177754496541976,3.3742130365253553,0.6052252981967603
5,True,1.0,0.011111708627960452,0.05408983657375656,0.029534716563927605,0.07868399334924088,0.09586291933326145,0.03748021385469874,3.2457707567894585,0.5942364064120959
6,True,1.0,0.011301074718063731,0.053127959907482876,0.031563264952320806,0.08404036059206624,0.10193523237281854,0.028222123005565994,3.229552852875044,0.5479428856998332
7,True,1.0,0.005854110184262205,0.054747905173559944,0.02990459139017525,0.0918815376392414,0.0979347523693545,0.03320762871267162,3.2749068894326925,0.6088298627196865
8,True,1.0,0.013737569853077981,0.05182035241345395,0.025466827646582764,0.06281321062501512,0.09102204686798082,0.039062073801567225,3.5741415511638923,0.6229758274212406
9,True,1.0,0.012052768759594254,0.051914924500510905,0.027562724517497975,0.07127303694625345,0.09196705259263427,0.03496119683735771,3.3366459304213456,0.5887716099672677
10,True,1.0,0.01434877776756302,0.050174983623747324,0.028165699384140052,0.0724655602213012,0.08801742022673356,0.02909701337725236,3.124986140990189,0.574951719964364
