method,family,trajectories,mean_one_step_state_rmse,worst_one_step_state_rmse,mean_one_step_relative_rmse,worst_one_step_relative_rmse,mean_free_state_rmse,worst_free_state_rmse,mean_free_relative_rmse,worst_free_relative_rmse,mean_free_beta_rmse_deg,worst_free_beta_rmse_deg,mean_free_yaw_rmse_deg_s,worst_free_yaw_rmse_deg_s,mean_free_terminal_state_error,worst_free_terminal_state_error,mean_free_peak_state_error,worst_free_peak_state_error
exact_frozen,all,900,8.199520472948185e-07,1.2153032042615132e-06,2.1023879705529947e-05,3.274862592123787e-05,8.541834660492235e-06,1.5272390388308644e-05,0.0002138701906316511,0.00033387848628818714,0.0002755323744492604,0.0004789431977146322,0.0006344629433871541,0.0011410590301519908,1.4315456094156868e-08,8.845813138382432e-08,3.3515745832197604e-05,6.747208665503943e-05
exact_frozen,nominal,300,8.660875232994941e-07,1.2153032042615132e-06,2.1014795365783227e-05,2.8299595370488646e-05,9.29867502114041e-06,1.4360995228223827e-05,0.00022374531783462526,0.00031761565946570545,0.00028950832913190246,0.0004308201977784226,0.000695075072530014,0.0010809597573109171,6.926852482594119e-09,2.864706251846195e-08,3.6077574749166846e-05,6.074812365190601e-05
exact_frozen,heavy,300,7.429158741336885e-07,1.0482741373710814e-06,1.7887704717713377e-05,2.4188432346638945e-05,9.826890359692899e-06,1.5272390388308644e-05,0.00023441099406249448,0.00033387848628818714,0.00032090089874959666,0.0004789431977146322,0.0007282051830828852,0.0011410590301519908,2.574963448774417e-08,8.845813138382432e-08,3.899509195923506e-05,6.747208665503943e-05
exact_frozen,handling,300,8.508527444512728e-07,1.2024189073607185e-06,2.4169139033093237e-05,3.274862592123787e-05,6.499938600643396e-06,9.507316900064884e-06,0.00018345425999783356,0.000250213950927673,0.0002161878954662821,0.0003124947888979888,0.00048010857454856327,0.0007041354012545655,1.0269881312132316e-08,3.045931366299406e-08,2.5474570788190906e-05,3.54374114891939e-05
reciprocal_lpv,all,900,8.251042865479869e-07,1.2214755325525626e-06,2.1157853280811775e-05,3.2968350798106885e-05,8.711012327863927e-06,1.5361354985798227e-05,0.0002184143150699304,0.0003358233923826384,0.00027379084282197605,0.0004784849180399706,0.00065015273108219,0.0011490639094661756,1.4605729234259589e-08,8.969834335784541e-08,3.429833979101191e-05,6.90007448930488e-05
reciprocal_lpv,nominal,300,8.713144834786855e-07,1.2214755325525626e-06,2.114077333362528e-05,2.844739293084287e-05,9.43299310546197e-06,1.4501098776845668e-05,0.00022701041059092707,0.00032071426651081867,0.00028782603647523107,0.00042972330002998617,0.0007075887155556385,0.0010936028409213147,7.415551905663996e-09,2.9502760361519594e-08,3.6603813395267795e-05,6.311417435593844e-05
reciprocal_lpv,heavy,300,7.460975620020777e-07,1.0521940739086578e-06,1.7963578000871893e-05,2.427823035557209e-05,9.911363562653948e-06,1.5361354985798227e-05,0.00023643524883122454,0.0003358233923826384,0.00031971373759008944,0.0004784849180399706,0.0007362350766802482,0.0011490639094661756,2.5330287133721758e-08,8.969834335784541e-08,3.9355982884941254e-05,6.90007448930488e-05
reciprocal_lpv,handling,300,8.579008141631974e-07,1.2102412815729464e-06,2.436920850793816e-05,3.2968350798106885e-05,6.788680315475866e-06,9.81083606677858e-06,0.00019179728578763963,0.0002582019806403662,0.00021383275440060753,0.0003098795334605908,0.0005066344010106833,0.0007320733157103392,1.1071348663393013e-08,2.942303686307995e-08,2.693522309282668e-05,3.923974227364462e-05
lpv_vs_exact,all,900,3.251187706672038e-08,6.00548809863463e-08,8.531697041380633e-07,1.725209276385156e-06,9.339681817364448e-07,2.041684869082346e-06,2.4610745672762628e-05,6.111782778866875e-05,1.6177500989338313e-05,3.11123065425715e-05,7.390048846584432e-05,0.00016248270861719797,1.520080902398585e-09,4.990131615931293e-09,3.808530990961142e-06,7.833051060094235e-06
lpv_vs_exact,nominal,300,3.160875124622255e-08,4.071201696710336e-08,7.685500168956777e-07,1.01470015586068e-06,7.919140036485377e-07,1.1488249706951187e-06,1.91523701516185e-05,2.937623483365916e-05,1.4220671626229955e-05,2.104589322392443e-05,6.255705705775733e-05,9.072601958100926e-05,1.421575770410126e-09,3.933653121662515e-09,3.220354962667508e-06,4.491116449343471e-06
lpv_vs_exact,heavy,300,1.9587342696681673e-08,2.5716849808529122e-08,4.727131000327085e-07,6.389353110641841e-07,5.207416422674243e-07,7.798859314715836e-07,1.2498658897780497e-05,1.9798257420021083e-05,1.0188668470633967e-05,1.5821045867082542e-05,4.093239649990312e-05,6.118752078446247e-05,1.7680291807671656e-09,4.990131615931293e-09,2.1051261572760166e-06,3.105892167017726e-06
lpv_vs_exact,handling,300,4.6339537257256914e-08,6.00548809863463e-08,1.3182459954858037e-06,1.725209276385156e-06,1.4892488992933725e-06,2.041684869082346e-06,4.218120796888889e-05,6.111782778866875e-05,2.4123162871151013e-05,3.11123065425715e-05,0.0001182120118398725,0.00016248270861719797,1.370637756018463e-09,3.725288983651253e-09,6.1001118529399004e-06,7.833051060094235e-06
