method,family,matrix_mean,matrix_worst,trajectory_free_mean,trajectory_free_worst
M1,nominal,0.04213749006480135,0.08687142313307801,0.16763850592872365,0.30512605501833473
M1,heavy,0.07912982513110024,0.14128282301214173,0.19657841612309432,0.3406972420804518
M1,handling,0.060826668830684286,0.09196226267350334,0.12269648306150659,0.17917540717483924
M2,nominal,0.029957612037180278,0.09100364633044235,0.1370812649456121,0.2670293107281064
M2,heavy,0.028771631887546875,0.08315041772433364,0.14416921043212386,0.2856430855533309
M2,handling,0.03088646840685718,0.09042730219778787,0.11146337334529997,0.21641183048304385
M3,nominal,0.03432743665401116,0.07516502794501996,0.06817561500718972,0.16958999584377654
M3,heavy,0.07582359942042018,0.11906842786650192,0.12096065574027534,0.23597948993415038
M3,handling,0.05596531233292423,0.08189138256241497,0.1366319699255276,0.2644130785278629
M4,nominal,0.019469730832173973,0.05595239254130607,0.037234555888753275,0.11389574553319529
M4,heavy,0.018662560873041873,0.05081746329872083,0.03964643218295032,0.12821186998719436
M4,handling,0.02034148679521477,0.05547780783664793,0.029088891686634758,0.09155849575766532
M5,nominal,0.020564720442680182,0.06259439913738343,0.04642754060162115,0.11758865808097684
M5,heavy,0.019731243799997623,0.056534680812510126,0.04841518434183579,0.12987631170780597
M5,handling,0.021437592149045864,0.06171978075393912,0.03782422356784555,0.09528512143566771
