scenario,method,family,mean_tracking_rmse_deg_s,worst_tracking_rmse_deg_s
C1,M1,nominal,0.04961531655170562,0.06114493601938617
C1,M2,nominal,0.040789615721853315,0.051296906250525506
C1,M3,nominal,0.02717101404974545,0.035393435871778636
C1,M4,nominal,0.022018801799030232,0.027127801193651057
C1,M5,nominal,0.02333605324553922,0.027621444672390194
C2,M1,nominal,0.022148900008558715,0.028296297564068353
C2,M1,heavy,0.028446882662029695,0.03542601090597466
C2,M1,handling,0.015886227356356034,0.020199048909477425
C2,M2,nominal,0.018314701198794733,0.022756768887959446
C2,M2,heavy,0.019551100901121266,0.02444228796109804
C2,M2,handling,0.018376578506957838,0.023537718689325974
C2,M3,nominal,0.018476848417905152,0.022953840137800934
C2,M3,heavy,0.023760359367499956,0.029509292763131485
C2,M3,handling,0.018938897952104863,0.024923450729688202
C2,M4,nominal,0.01646764325735902,0.018431114151997875
C2,M4,heavy,0.017741245567543747,0.020445780589032507
C2,M4,handling,0.01644090820279547,0.018965093976105858
C2,M5,nominal,0.016467515721647338,0.018431485762642138
C2,M5,heavy,0.0177411398780563,0.020446010350176114
C2,M5,handling,0.016440697660550504,0.01896571090562633
C3,M1,nominal,0.03233570744946209,0.05061491045385321
C3,M1,heavy,0.039518294989209696,0.059597110748019426
C3,M1,handling,0.017797615806879278,0.02527793603809642
C3,M2,nominal,0.02655442854128472,0.04176957582764768
C3,M2,heavy,0.026478871504582592,0.041241135610657426
C3,M2,handling,0.02784692025744163,0.044427684653358744
C3,M3,nominal,0.018972024080739426,0.025895916012291558
C3,M3,heavy,0.024583904583752567,0.03280867079714971
C3,M3,handling,0.017764218934464615,0.025774060971847427
C3,M4,nominal,0.015628440415521236,0.019634334976257637
C3,M4,heavy,0.01647703026095458,0.021823369692339698
C3,M4,handling,0.015877446541089985,0.020064177741168535
C3,M5,nominal,0.017822779247111523,0.023742448629761784
C3,M5,heavy,0.01758322643049966,0.02402081646980225
C3,M5,handling,0.019049514712341863,0.02525548136987547
C4,M1,nominal,0.0331821803886,0.03941943816331337
C4,M1,heavy,0.04160019928188467,0.04987273484829926
C4,M1,handling,0.03370314324463522,0.04237258549659893
C4,M2,nominal,0.03042504393438418,0.03309533865128788
C4,M2,heavy,0.0327102234689451,0.03643325926465912
C4,M2,handling,0.030620914061313842,0.03414363708154276
C4,M3,nominal,0.034885892789198895,0.041655539725999925
C4,M3,heavy,0.044604223018195575,0.053158871692854
C4,M3,handling,0.032835602521866375,0.04112774131772177
C4,M4,nominal,0.031576259443751614,0.034984844489632363
C4,M4,heavy,0.03419899985314877,0.03886980518927957
C4,M4,handling,0.03150622138854696,0.035882130025541
C4,M5,nominal,0.03795837950906206,0.04138523587621677
C4,M5,heavy,0.038482988151073635,0.043155566294444475
C4,M5,handling,0.0399340003381369,0.043918162889821144
