severity,method,family,mean_one_step_nrmse,mean_free_run_nrmse
near_linear,M1,nominal,0.015159579206557989,0.944589896329318
near_linear,M1,heavy,0.010298695024451722,0.6293681695070906
near_linear,M1,handling,0.019558203457533972,1.5974935362772
near_linear,M2,nominal,0.01375586828357546,0.7965778037010969
near_linear,M2,heavy,0.012832888450050279,0.6877656900294946
near_linear,M2,handling,0.014049149417391734,0.8309857555892288
near_linear,M3,nominal,0.005392866724096263,0.4963376539219199
near_linear,M3,heavy,0.006197535159653866,0.42587984765086
near_linear,M3,handling,0.00980108928036734,0.7957593808680613
near_linear,M4,nominal,0.002817431390433816,0.14685383576005298
near_linear,M4,heavy,0.0025205659700058775,0.09401609774231248
near_linear,M4,handling,0.0034567281215968533,0.10528010532262058
near_linear,M5,nominal,0.009550196054758157,0.28292958384400135
near_linear,M5,heavy,0.00783802175497029,0.25966327773793585
near_linear,M5,handling,0.009562828839488861,0.40781916474904145
moderate,M1,nominal,0.01430065412580096,0.902383514282483
moderate,M1,heavy,0.009944434296970792,0.6081193208420341
moderate,M1,handling,0.018287402846471262,1.517330988671347
moderate,M2,nominal,0.013054939736710219,0.7555516115398221
moderate,M2,heavy,0.012122766725784941,0.6551837895982489
moderate,M2,handling,0.01348234246729058,0.7806283322867706
moderate,M3,nominal,0.005189065972380643,0.48260103347260275
moderate,M3,heavy,0.0067197544242660195,0.42444343780205385
moderate,M3,handling,0.009053428948488876,0.7548928379764166
moderate,M4,nominal,0.0026188301254380024,0.14411484710698577
moderate,M4,heavy,0.002458071337684998,0.09133021520878498
moderate,M4,handling,0.003338351451465773,0.10107587577236017
moderate,M5,nominal,0.008897977741737647,0.26575092564950886
moderate,M5,heavy,0.007400087853877963,0.24539317142061762
moderate,M5,handling,0.008904849995892208,0.37821921838560063
strong,M1,nominal,0.013014534612799864,0.8331642821977452
strong,M1,heavy,0.00948224249300356,0.573508886894884
strong,M1,handling,0.01640507931371464,1.3859993144788825
strong,M2,nominal,0.012030593083421337,0.6889413825743855
strong,M2,heavy,0.011082360727434659,0.601142303386943
strong,M2,handling,0.012666234585209126,0.7006293210791283
strong,M3,nominal,0.005470438088963599,0.46255826608173695
strong,M3,heavy,0.007743890550514075,0.42350943197974694
strong,M3,handling,0.008450416628575305,0.6903424854020264
strong,M4,nominal,0.004224199286550874,0.14994951969873935
strong,M4,heavy,0.0032697894652389224,0.09923563595331421
strong,M4,handling,0.004502518780288755,0.11418670577922745
strong,M5,nominal,0.00838529163627071,0.24492931994106576
strong,M5,heavy,0.007069850367663122,0.22710169668600216
strong,M5,handling,0.008402529151088939,0.3366949464701522
