design,severity,method,family,mean_tracking_rmse_deg_s,feasible_fraction
phase3_transfer,near_linear,M1,nominal,0.019110324456873957,1.0
phase3_transfer,near_linear,M1,heavy,0.023566965698791513,1.0
phase3_transfer,near_linear,M1,handling,0.018264845149117463,1.0
phase3_transfer,near_linear,M2,nominal,0.017901474399724896,1.0
phase3_transfer,near_linear,M2,heavy,0.01866552266300999,1.0
phase3_transfer,near_linear,M2,handling,0.017912478219049732,1.0
phase3_transfer,near_linear,M3,nominal,0.017588664224450747,1.0
phase3_transfer,near_linear,M3,heavy,0.022700965840493324,1.0
phase3_transfer,near_linear,M3,handling,0.016344616648552777,1.0
phase3_transfer,near_linear,M4,nominal,0.016283522472566182,1.0
phase3_transfer,near_linear,M4,heavy,0.017416036589325792,1.0
phase3_transfer,near_linear,M4,handling,0.015875150961909206,1.0
phase3_transfer,near_linear,M5,nominal,0.020175781198394527,1.0
phase3_transfer,near_linear,M5,heavy,0.020372413520362603,1.0
phase3_transfer,near_linear,M5,handling,0.020681265615416417,1.0
phase3_transfer,moderate,M1,nominal,0.03960533692926921,1.0
phase3_transfer,moderate,M1,heavy,0.04897524025235706,1.0
phase3_transfer,moderate,M1,handling,0.03756427195266158,1.0
phase3_transfer,moderate,M2,nominal,0.03709589112576768,1.0
phase3_transfer,moderate,M2,heavy,0.03880116243893701,1.0
phase3_transfer,moderate,M2,handling,0.0369936315851233,1.0
phase3_transfer,moderate,M3,nominal,0.03680996534768184,1.0
phase3_transfer,moderate,M3,heavy,0.047422241638690805,1.0
phase3_transfer,moderate,M3,handling,0.03403165182935307,1.0
phase3_transfer,moderate,M4,nominal,0.03413502606220323,1.0
phase3_transfer,moderate,M4,heavy,0.03649148369866294,1.0
phase3_transfer,moderate,M4,handling,0.03328187188718311,1.0
phase3_transfer,moderate,M5,nominal,0.042131449534773824,1.0
phase3_transfer,moderate,M5,heavy,0.04262412667633421,1.0
phase3_transfer,moderate,M5,handling,0.04309756305601608,1.0
phase3_transfer,strong,M1,nominal,0.06403640660921003,1.0
phase3_transfer,strong,M1,heavy,0.07946361163881602,1.0
phase3_transfer,strong,M1,handling,0.05966444946319045,1.0
phase3_transfer,strong,M2,nominal,0.0599640184398894,1.0
phase3_transfer,strong,M2,heavy,0.06302398751104028,1.0
phase3_transfer,strong,M2,handling,0.05947622094403852,1.0
phase3_transfer,strong,M3,nominal,0.06047600460217482,1.0
phase3_transfer,strong,M3,heavy,0.07757491144456981,1.0
phase3_transfer,strong,M3,handling,0.05515606470315413,1.0
phase3_transfer,strong,M4,nominal,0.05621976914122438,1.0
phase3_transfer,strong,M4,heavy,0.06002099049598919,1.0
phase3_transfer,strong,M4,handling,0.05485583125757837,1.0
phase3_transfer,strong,M5,nominal,0.06884122790048115,1.0
phase3_transfer,strong,M5,heavy,0.06985161865139607,1.0
phase3_transfer,strong,M5,handling,0.07020237503563445,1.0
nonlinear_data_redesign,near_linear,M1,nominal,0.035476785922945196,1.0
nonlinear_data_redesign,near_linear,M1,heavy,0.03666922864988641,1.0
nonlinear_data_redesign,near_linear,M1,handling,0.04452143797797157,1.0
nonlinear_data_redesign,near_linear,M2,nominal,0.016515837734688052,1.0
nonlinear_data_redesign,near_linear,M2,heavy,0.02597394860258529,1.0
nonlinear_data_redesign,near_linear,M2,handling,0.012310006453658828,1.0
nonlinear_data_redesign,near_linear,M3,nominal,0.4199986890673224,0.0
nonlinear_data_redesign,near_linear,M3,heavy,0.39191168425078826,0.0
nonlinear_data_redesign,near_linear,M3,handling,0.4522132240497926,0.0
nonlinear_data_redesign,near_linear,M4,nominal,0.03664864278359901,1.0
nonlinear_data_redesign,near_linear,M4,heavy,0.023948281431081624,1.0
nonlinear_data_redesign,near_linear,M4,handling,0.020797707890118467,1.0
nonlinear_data_redesign,near_linear,M5,nominal,0.1838961618406048,1.0
nonlinear_data_redesign,near_linear,M5,heavy,0.03260929174818918,1.0
nonlinear_data_redesign,near_linear,M5,handling,0.032334396299045866,1.0
nonlinear_data_redesign,moderate,M1,nominal,0.07176315313019901,1.0
nonlinear_data_redesign,moderate,M1,heavy,0.07609012823592962,1.0
nonlinear_data_redesign,moderate,M1,handling,0.08853004548331772,1.0
nonlinear_data_redesign,moderate,M2,nominal,0.03404416099465282,1.0
nonlinear_data_redesign,moderate,M2,heavy,0.053199158655513334,1.0
nonlinear_data_redesign,moderate,M2,handling,0.025495619084457317,1.0
nonlinear_data_redesign,moderate,M3,nominal,0.4373365295154409,0.0
nonlinear_data_redesign,moderate,M3,heavy,0.4195808139923883,0.0
nonlinear_data_redesign,moderate,M3,handling,0.4678685003994557,0.0
nonlinear_data_redesign,moderate,M4,nominal,0.07781292098647268,1.0
nonlinear_data_redesign,moderate,M4,heavy,0.050440603734139076,1.0
nonlinear_data_redesign,moderate,M4,handling,0.043852920436502275,1.0
nonlinear_data_redesign,moderate,M5,nominal,0.21878959599080564,1.0
nonlinear_data_redesign,moderate,M5,heavy,0.06588529830055398,1.0
nonlinear_data_redesign,moderate,M5,handling,0.06337469166416274,1.0
nonlinear_data_redesign,strong,M1,nominal,0.11171646913682318,1.0
nonlinear_data_redesign,strong,M1,heavy,0.12377104964485615,1.0
nonlinear_data_redesign,strong,M1,handling,0.13226957551029567,1.0
nonlinear_data_redesign,strong,M2,nominal,0.05436625450465615,1.0
nonlinear_data_redesign,strong,M2,heavy,0.08423162443428785,1.0
nonlinear_data_redesign,strong,M2,handling,0.04115717617391195,1.0
nonlinear_data_redesign,strong,M3,nominal,0.47507320881041143,0.0
nonlinear_data_redesign,strong,M3,heavy,0.4814126532087736,0.0
nonlinear_data_redesign,strong,M3,handling,0.49539330418955474,0.0
nonlinear_data_redesign,strong,M4,nominal,0.13220437003937574,1.0
nonlinear_data_redesign,strong,M4,heavy,0.08372276681102239,1.0
nonlinear_data_redesign,strong,M4,handling,0.07326272891079028,1.0
nonlinear_data_redesign,strong,M5,nominal,0.2625757436404669,1.0
nonlinear_data_redesign,strong,M5,heavy,0.10211895612420244,1.0
nonlinear_data_redesign,strong,M5,handling,0.09314851076477053,1.0
