design,client_id,family,method,max_small_signal_spectral_radius,small_signal_stable
phase3_transfer,nominal_00,nominal,M1,0.9560129385922539,True
phase3_transfer,nominal_00,nominal,M2,0.9569760548986473,True
phase3_transfer,nominal_00,nominal,M3,0.9589656813579739,True
phase3_transfer,nominal_00,nominal,M4,0.9597922300707803,True
phase3_transfer,nominal_00,nominal,M5,0.9598309872616853,True
phase3_transfer,nominal_01,nominal,M1,0.9543929848960876,True
phase3_transfer,nominal_01,nominal,M2,0.9556877669576165,True
phase3_transfer,nominal_01,nominal,M3,0.9579130402994289,True
phase3_transfer,nominal_01,nominal,M4,0.9589411189000409,True
phase3_transfer,nominal_01,nominal,M5,0.958984613506654,True
phase3_transfer,nominal_02,nominal,M1,0.9549882599064156,True
phase3_transfer,nominal_02,nominal,M2,0.9561891050401563,True
phase3_transfer,nominal_02,nominal,M3,0.9583325155204618,True
phase3_transfer,nominal_02,nominal,M4,0.9593073070346672,True
phase3_transfer,nominal_02,nominal,M5,0.9593493068636098,True
phase3_transfer,nominal_03,nominal,M1,0.955940372058516,True
phase3_transfer,nominal_03,nominal,M2,0.9570043821042322,True
phase3_transfer,nominal_03,nominal,M3,0.9590227303441549,True
phase3_transfer,nominal_03,nominal,M4,0.9599185360580431,True
phase3_transfer,nominal_03,nominal,M5,0.959958263047682,True
phase3_transfer,nominal_04,nominal,M1,0.9561043841872383,True
phase3_transfer,nominal_04,nominal,M2,0.9571724894804873,True
phase3_transfer,nominal_04,nominal,M3,0.9591756129350477,True
phase3_transfer,nominal_04,nominal,M4,0.9600746575124145,True
phase3_transfer,nominal_04,nominal,M5,0.9601141963516238,True
phase3_transfer,nominal_05,nominal,M1,0.9555318254642576,True
phase3_transfer,nominal_05,nominal,M2,0.9565688688681881,True
phase3_transfer,nominal_05,nominal,M3,0.958622593536102,True
phase3_transfer,nominal_05,nominal,M4,0.9594959863711032,True
phase3_transfer,nominal_05,nominal,M5,0.9595359918335089,True
phase3_transfer,nominal_06,nominal,M1,0.9569850832648005,True
phase3_transfer,nominal_06,nominal,M2,0.9580452945038125,True
phase3_transfer,nominal_06,nominal,M3,0.9599625334219628,True
phase3_transfer,nominal_06,nominal,M4,0.9608598682397667,True
phase3_transfer,nominal_06,nominal,M5,0.9608981953258716,True
phase3_transfer,nominal_07,nominal,M1,0.9555048378669537,True
phase3_transfer,nominal_07,nominal,M2,0.9566994355866859,True
phase3_transfer,nominal_07,nominal,M3,0.9587886280542344,True
phase3_transfer,nominal_07,nominal,M4,0.9597664338501627,True
phase3_transfer,nominal_07,nominal,M5,0.9598077699697685,True
phase3_transfer,nominal_08,nominal,M1,0.9549895645582877,True
phase3_transfer,nominal_08,nominal,M2,0.9560922267663893,True
phase3_transfer,nominal_08,nominal,M3,0.9582151412202351,True
phase3_transfer,nominal_08,nominal,M4,0.9591300779888554,True
phase3_transfer,nominal_08,nominal,M5,0.9591713729883519,True
phase3_transfer,nominal_09,nominal,M1,0.9554784480825413,True
phase3_transfer,nominal_09,nominal,M2,0.9566757395865902,True
phase3_transfer,nominal_09,nominal,M3,0.9587680433167434,True
phase3_transfer,nominal_09,nominal,M4,0.959746485212816,True
phase3_transfer,nominal_09,nominal,M5,0.9597878575171473,True
phase3_transfer,heavy_00,heavy,M1,0.961094432863394,True
phase3_transfer,heavy_00,heavy,M2,0.9632129799591714,True
phase3_transfer,heavy_00,heavy,M3,0.9635045770596078,True
phase3_transfer,heavy_00,heavy,M4,0.9653917248051113,True
phase3_transfer,heavy_00,heavy,M5,0.9654224279009341,True
phase3_transfer,heavy_01,heavy,M1,0.9606876513759621,True
phase3_transfer,heavy_01,heavy,M2,0.9627494953004452,True
phase3_transfer,heavy_01,heavy,M3,0.9630864813988818,True
