severity,method,family,mean_tracking_rmse_deg_s,feasible_fraction
near_linear,M1,nominal,0.01993204199826464,1.0
near_linear,M1,heavy,0.024103390712881433,1.0
near_linear,M1,handling,0.02180859871211191,1.0
near_linear,M2,nominal,0.016827780161217158,1.0
near_linear,M2,heavy,0.019980233249088458,1.0
near_linear,M2,handling,0.014823630054690229,1.0
near_linear,M3,nominal,0.02021808349204588,1.0
near_linear,M3,heavy,0.02540854766519223,1.0
near_linear,M3,handling,0.02054948075782986,1.0
near_linear,M4,nominal,0.02082807480666406,1.0
near_linear,M4,heavy,0.019472670295410905,1.0
near_linear,M4,handling,0.017331648692175065,1.0
near_linear,M5,nominal,0.023529987998308292,1.0
near_linear,M5,heavy,0.022038713962470095,1.0
near_linear,M5,handling,0.02057466029679637,1.0
moderate,M1,nominal,0.04137283126500759,1.0
moderate,M1,heavy,0.050352966295239485,1.0
moderate,M1,handling,0.04441762656433828,1.0
moderate,M2,nominal,0.03481363449834356,1.0
moderate,M2,heavy,0.04145885294342518,1.0
moderate,M2,handling,0.030597337233944012,1.0
moderate,M3,nominal,0.042550556413317585,1.0
moderate,M3,heavy,0.05352761235582652,1.0
moderate,M3,handling,0.042294585246655206,1.0
moderate,M4,nominal,0.04397704709093332,1.0
moderate,M4,heavy,0.040919558827615526,1.0
moderate,M4,handling,0.03645146188361744,1.0
moderate,M5,nominal,0.04835871002889981,1.0
moderate,M5,heavy,0.0457046589627812,1.0
moderate,M5,handling,0.041984056472103626,1.0
strong,M1,nominal,0.06711074017724367,1.0
strong,M1,heavy,0.08242635607782557,1.0
strong,M1,handling,0.06932763537089459,1.0
strong,M2,nominal,0.05606033037524126,1.0
strong,M2,heavy,0.06710918645499306,1.0
strong,M2,handling,0.049080461180428345,1.0
strong,M3,nominal,0.07056160972606906,1.0
strong,M3,heavy,0.08870855995002402,1.0
strong,M3,handling,0.06733782879983352,1.0
strong,M4,nominal,0.07349133952068672,1.0
strong,M4,heavy,0.06761802854183552,1.0
strong,M4,handling,0.060447407920767235,1.0
strong,M5,nominal,0.07726209465246311,1.0
strong,M5,heavy,0.07389529567248135,1.0
strong,M5,handling,0.06614714191624987,1.0
