severity,method,physics_weight,training_max_spectral_radius,runs,mean_tracking_rmse_deg_s,worst_tracking_rmse_deg_s,mean_beta_rms_deg,worst_beta_rms_deg,mean_steering_rms_deg,worst_steering_rms_deg,mean_peak_steering_deg,worst_peak_steering_deg,mean_peak_steering_rate_deg_s,worst_peak_steering_rate_deg_s,mean_peak_lateral_accel_mps2,worst_peak_lateral_accel_mps2,mean_peak_force_utilization,worst_peak_force_utilization,feasible_fraction,worst_family_tracking_rmse_deg_s,family_gap_tracking_rmse_deg_s
near_linear,M1,0.5,0.9570573725011828,30,0.021948010474419324,0.027331483106199567,0.16994429104983164,0.24185082898904534,0.4902835691314127,0.5517894200382184,1.1027585693636255,1.2142065020653536,0.9905403567124054,1.0832700571267857,1.575939071818618,1.5978056560585487,0.18145760512474085,0.18287158660623984,1.0,0.024103390712881433,0.004171348714616795
near_linear,M2,0.5,0.9623094098265224,30,0.01721054782166528,0.020622309835321363,0.16972042289045255,0.2412251389497936,0.4900296937068555,0.5523103109777967,1.1030027728510368,1.2167891008670848,0.9903692395444933,1.086994719128821,1.5735599194147027,1.6007859244958398,0.18117277975568444,0.1832195852012026,1.0,0.019980233249088458,0.005156603194398229
near_linear,M3,0.5,0.9667201849766327,30,0.02205870397168932,0.02909445934798115,0.16993153202495204,0.24192399224025787,0.4906986599437356,0.5523249397711425,1.1053847310969054,1.2177831660382443,0.9927163651900321,1.0977708645175128,1.5798132515145802,1.6012153819657844,0.18192395061241767,0.18326494209127286,1.0,0.02540854766519223,0.00519046417314635
near_linear,M4,0.5,0.9628932671099162,30,0.01921079793141668,0.022052487264110226,0.16978664239291127,0.241200042098256,0.49080051122506635,0.5530325692212749,1.106476589675389,1.219954389346931,0.9943122988213895,1.0901122169253268,1.5773444260592513,1.6046193116423624,0.18162075073070857,0.1836777642629172,1.0,0.02082807480666406,0.003496426114488995
near_linear,M5,0.5,0.9612212524152907,30,0.022047787419191587,0.024926094768794375,0.16972509561152563,0.24111821867053682,0.49061273691549523,0.5528263589576135,1.104731288236255,1.2175240144863684,11.248842958584904,12.549535541349352,1.6633759287750465,1.7042123313902078,0.19671576211730868,0.2021987613652495,1.0,0.023529987998308292,0.002955327701511922
moderate,M1,0.5,0.9570573725011828,30,0.045381141374861794,0.05708922915655249,0.35230200893957303,0.4987052234657088,0.9849698029158527,1.110430709478029,2.2191953920817813,2.4468528460704815,1.9806755347202034,2.1733196556167553,3.1282275513787647,3.175264621936319,0.36093614981243444,0.364094039958155,1.0,0.050352966295239485,0.008980135030231894
moderate,M2,0.5,0.9623094098265224,30,0.03562327489190425,0.04282359018659016,0.3517654735529659,0.49725584086324187,0.9843982636814719,1.1114538269720156,2.21942291277587,2.45190719655884,1.98025068559924,2.180848917888516,3.1228904229616017,3.1804369458118207,0.36029112179264955,0.36470833842651196,1.0,0.04145885294342518,0.01086151570948117
moderate,M3,0.5,0.9667201849766327,30,0.04612425133859977,0.06114668430192005,0.35235198118959354,0.4989427130416054,0.9858103187688702,1.111531609355481,2.224318776843993,2.4539270236231885,1.9852058281305047,2.206514495245817,3.136102619053169,3.1822469741215476,0.361898590104882,0.3649177043864844,1.0,0.05352761235582652,0.011233027109171317
moderate,M4,0.5,0.9628932671099162,30,0.04044935593405543,0.046771556609190953,0.35200857552638215,0.4972487866690707,0.9860430148316248,1.113029343237871,2.226955308660013,2.4589159762472654,1.9881301115236247,2.1870162995214777,3.131101832931821,3.18912724884655,0.3612729811013047,0.3657438626709186,1.0,0.04397704709093332,0.007525585207315881
moderate,M5,0.5,0.9612212524152907,30,0.045349141821261554,0.05079896472804021,0.3518355067310156,0.4970428116434676,0.9856496072284409,1.1125839103238504,2.2237626246614846,2.454217266673342,21.805591991710546,24.485541233910737,3.2741445973096437,3.3542195685359784,0.38536657178445544,0.39560542513178654,1.0,0.04835871002889981,0.0063746535567961865
strong,M1,0.5,0.9570573725011828,30,0.07295491054198792,0.09325810249172832,0.563386805772102,0.7896830803788828,1.4891226030674802,1.68419362383321,3.367185252588302,3.7215028348445163,2.9668109922680244,3.2777543384789793,4.622851375519837,4.7013939542901895,0.535389010462995,0.5409467079345651,1.0,0.08242635607782557,0.015315615900581905
strong,M2,0.5,0.9623094098265224,30,0.057416659336887554,0.06985885099357347,0.5622716596737461,0.7868675737843309,1.4880737523837302,1.685655795629323,3.3667978244169565,3.7290231659192026,2.9658291217557418,3.289206343279393,4.613537924824367,4.707020277934819,0.5342452634620656,0.5416523890760285,1.0,0.06710918645499306,0.018028725274564714
strong,M3,0.5,0.9667201849766327,30,0.07553599949197552,0.10076440792472956,0.5637136783346086,0.7903287218922425,1.4904089147972748,1.6859317143516837,3.3745461286794676,3.732134407984801,2.9733969325089915,3.332614342218106,4.634803333856742,4.712096266473999,0.5368892606652219,0.542269018346869,1.0,0.08870855995002402,0.021370731150190503
strong,M4,0.5,0.9628932671099162,30,0.06718559199442982,0.07866359918464061,0.5630371827473855,0.786998582330105,1.4908513796866538,1.6884288308116553,3.3798512653730404,3.7413424213716735,2.9776148110358123,3.2984462694858077,4.627284888831548,4.722636306260337,0.5359186655500726,0.5435215074006582,1.0,0.07349133952068672,0.013043931599919484
strong,M5,0.5,0.9612212524152907,30,0.07243484408039812,0.07985104568952699,0.562575817281154,0.7865384764350254,1.4902037073020464,1.687643889532089,3.3759980517719925,3.735121617966215,30.861645692429736,35.09421118882504,4.7763091943653855,4.893200616301364,0.5581896629022794,0.572043304768567,1.0,0.07726209465246311,0.01111495273621324
