dataset,group,condition_raw,condition_scaled,rank
nonlinear_all,global,1485960.9769730056,5953.2621875771065,9
nonlinear_all,nominal,1734917.8402990212,6821.606109770117,9
nonlinear_all,heavy,1460623.0495456494,6014.5403679320125,9
nonlinear_all,handling,1798580.2113749806,7755.571233675755,9
nonlinear_near,global,1481725.765023968,5875.768322103329,9
nonlinear_near,nominal,1722810.045735626,6739.622118106083,9
nonlinear_near,heavy,1459022.6174075427,5978.2640813265825,9
nonlinear_near,handling,1768120.0608964374,7601.438298827486,9
linear_all,global,1479376.1813989007,5855.695546745376,9
linear_all,nominal,1718656.3569189387,6713.562508670384,9
linear_all,heavy,1457541.41171932,5965.805273143836,9
linear_all,handling,1760473.0638618073,7556.913972299294,9
