case,method,rho,worst_client,worst_speed,tracking,feasible,mean_relative_a,mean_relative_b
nonlinear_all_original,M1,0.9669337768028746,heavy_08,28.0,0.07879444228489925,1.0,0.06843561939254912,0.8001730987886245
nonlinear_all_original,M2,0.960279149626221,handling_07,28.0,0.03757964624532527,1.0,0.0732547244115524,0.3727422014612624
nonlinear_all_original,M3,5.88778659236862,nominal_01,12.0,0.4415952811599372,0.0,0.10034562621041794,0.7375732031299401
nonlinear_all_original,M4,1.032073014901438,handling_07,12.0,0.05736881506361547,1.0,0.08391395174209933,0.4633090337691473
nonlinear_all_original,M5,19.869087907267364,heavy_02,12.0,0.11601652872428778,1.0,0.08777607915229707,0.5773598699278198
nonlinear_all_svd,M1,0.9669337768028746,heavy_08,28.0,0.07879444228489925,1.0,0.06843561939254912,0.8001730987886245
nonlinear_all_svd,M2,0.960279149626221,handling_07,28.0,0.03757964624532527,1.0,0.0732547244115524,0.3727422014612624
nonlinear_all_svd,M3,5.8877864311765915,nominal_01,12.0,0.4415952811295439,0.0,0.10034562619436614,0.7375732032573451
nonlinear_all_svd,M4,1.0320730147756065,handling_07,12.0,0.05736881504645428,1.0,0.0839139517652444,0.46330903397926876
nonlinear_all_svd,M5,19.869087907267364,heavy_02,12.0,0.11601652872428778,1.0,0.08777607915229707,0.5773598699278198
nonlinear_near_svd,M1,0.964698863011166,heavy_08,28.0,0.06844722011436692,1.0,0.06722935164512975,0.7622319337524962
nonlinear_near_svd,M2,0.9605737616130499,handling_07,28.0,0.03575466173952037,1.0,0.07645814941454958,0.33188529468092287
nonlinear_near_svd,M3,15.799135518169347,nominal_01,12.0,0.4530562223789737,0.0,0.10848107933148733,0.7035079487530379
nonlinear_near_svd,M4,0.977021092965593,nominal_06,28.0,0.06254529295933889,1.0,0.09991782485005891,0.47146568600016264
nonlinear_near_svd,M5,1.8077195153392012,nominal_02,26.1,0.14172936413319792,1.0,0.09169517049192681,0.5834206059655066
linear_all_svd,M1,0.9643169982325949,heavy_08,28.0,0.066902204596155,1.0,0.06705930580143422,0.7555460482678238
linear_all_svd,M2,0.9606139098946148,handling_07,28.0,0.0354828056370735,1.0,0.07700180270574444,0.3266709588125585
linear_all_svd,M3,5.35993414496656,nominal_02,28.0,0.44029847838461694,0.0,0.10036586443624378,0.7205019385939321
linear_all_svd,M4,0.9771810723460304,nominal_06,28.0,0.06147065825646505,1.0,0.09871008884120794,0.46794522153977086
linear_all_svd,M5,19.87665403579676,heavy_02,12.0,0.1426232340789098,1.0,0.09379369040352063,0.5843132324798651
