severity,method,tracking,worst_family,feasible,rho
near_linear,M1,0.019693792064860313,0.02125022557552336,1.0,0.9618785073961003
near_linear,M2,0.018275766093029264,0.0184811040414131,1.0,0.964630569391632
near_linear,M3,0.018153116857018977,0.021257904963625483,1.0,0.9642563214163451
near_linear,M4,0.0164363402259766,0.017348413027140998,1.0,0.9662552259364946
near_linear,M5,0.02024582894675281,0.02048746703503001,1.0,0.9662552259364946
moderate,M1,0.04064766819142706,0.043397245535943,1.0,0.9618785073961003
moderate,M2,0.037752015641637014,0.038309052633274825,1.0,0.964630569391632
moderate,M3,0.03792261695583254,0.04452585509696183,1.0,0.9642563214163451
moderate,M4,0.03446497775719977,0.03636161668563963,1.0,0.9662552259364946
moderate,M5,0.042278184202702136,0.04269604642447207,1.0,0.9662552259364946
strong,M1,0.06505902798784843,0.06881122618959602,1.0,0.9618785073961003
strong,M2,0.060597525372993226,0.061847581731411326,1.0,0.964630569391632
strong,M3,0.06196479877176752,0.07313293240545124,1.0,0.9642563214163451
strong,M4,0.056778823938249436,0.05982867330502691,1.0,0.9662552259364946
strong,M5,0.06908290744558268,0.069553158661542,1.0,0.9662552259364946
