design,client_id,family,method,max_small_signal_spectral_radius,small_signal_stable
test,nominal_00,nominal,M4,0.9573435743337815,True
test,nominal_00,nominal,LTI_1,0.9562156379209505,True
test,nominal_00,nominal,LTI_2,0.9560600735590887,True
test,nominal_00,nominal,LTI_3,0.956762507396595,True
test,nominal_00,nominal,LTI_5,0.9571343515907281,True
test,nominal_00,nominal,LTI_8,0.9570969330088237,True
test,nominal_00,nominal,LTI_10,0.9571479007258301,True
test,nominal_01,nominal,M4,0.959853646354344,True
test,nominal_01,nominal,LTI_1,0.9589106001523281,True
test,nominal_01,nominal,LTI_2,0.9587818404563689,True
test,nominal_01,nominal,LTI_3,0.959365787097419,True
test,nominal_01,nominal,LTI_5,0.9596774965930197,True
test,nominal_01,nominal,LTI_8,0.9596460503638363,True
test,nominal_01,nominal,LTI_10,0.9596888874766024,True
test,nominal_02,nominal,M4,0.9600655790807076,True
test,nominal_02,nominal,LTI_1,0.9591094288559046,True
test,nominal_02,nominal,LTI_2,0.9589787640665061,True
test,nominal_02,nominal,LTI_3,0.9595711264962784,True
test,nominal_02,nominal,LTI_5,0.9598870942711499,True
test,nominal_02,nominal,LTI_8,0.9598552257858375,True
test,nominal_02,nominal,LTI_10,0.9598986377054995,True
test,nominal_03,nominal,M4,0.9615602106590208,True
test,nominal_03,nominal,LTI_1,0.960711932145126,True
test,nominal_03,nominal,LTI_2,0.9605966266198913,True
test,nominal_03,nominal,LTI_3,0.9611205575579018,True
test,nominal_03,nominal,LTI_5,0.9614012670645473,True
test,nominal_03,nominal,LTI_8,0.9613729160560109,True
test,nominal_03,nominal,LTI_10,0.9614115385234253,True
test,nominal_04,nominal,M4,0.9607177231405145,True
test,nominal_04,nominal,LTI_1,0.9597790093060388,True
test,nominal_04,nominal,LTI_2,0.9596507911745118,True
test,nominal_04,nominal,LTI_3,0.9602321878044703,True
test,nominal_04,nominal,LTI_5,0.9605424335699628,True
test,nominal_04,nominal,LTI_8,0.960511138367732,True
test,nominal_04,nominal,LTI_10,0.9605537695581429,True
test,nominal_05,nominal,M4,0.9600770973107101,True
test,nominal_05,nominal,LTI_1,0.9591696977104508,True
test,nominal_05,nominal,LTI_2,0.9590460299490484,True
test,nominal_05,nominal,LTI_3,0.9596073194962669,True
test,nominal_05,nominal,LTI_5,0.9599073881893444,True
test,nominal_05,nominal,LTI_8,0.9598771021604319,True
test,nominal_05,nominal,LTI_10,0.9599183595898416,True
test,nominal_06,nominal,M4,0.958611398329513,True
test,nominal_06,nominal,LTI_1,0.9576135018165209,True
test,nominal_06,nominal,LTI_2,0.9574768907469378,True
test,nominal_06,nominal,LTI_3,0.9580957327878733,True
test,nominal_06,nominal,LTI_5,0.9584253448899219,True
test,nominal_06,nominal,LTI_8,0.9583921146485772,True
test,nominal_06,nominal,LTI_10,0.9584373807979241,True
test,nominal_07,nominal,M4,0.9581659227815807,True
test,nominal_07,nominal,LTI_1,0.95707020229934,True
