gamma,low,high,method,best,tolerance_ci_low,tolerance_ci_high,eligible
0,18,22,M1,M3,-0.0010774179738589097,-0.0009938608654326056,True
0,18,22,M2,M3,-0.001058385232864139,-0.0009738340869169432,True
0,18,22,M3,M3,-0.0014162637896228123,-0.00139258723083415,True
0,18,22,M4,M3,-0.0014064018845694095,-0.0013621151180395834,True
0,15,25,M1,M3,0.0009382532973975927,0.001120741033757415,False
0,15,25,M2,M3,0.0009553303225758365,0.001136878742210518,False
0,15,25,M3,M3,-0.0013894813051621904,-0.0013634141968118323,True
0,15,25,M4,M3,-0.0013794624620318884,-0.0013326039414307544,True
0,10,30,M1,M3,0.00765094596562507,0.007921726637327363,False
0,10,30,M2,M3,0.007659767748130209,0.007930917753401023,False
0,10,30,M3,M3,-0.0013359255547166742,-0.0013035370772936528,True
0,10,30,M4,M3,-0.0013252849134946748,-0.0012738476340484002,True
0.5,18,22,M1,M4,-0.00029844457259563175,0.0001434850099586854,False
0.5,18,22,M2,M4,-0.0011068539135928891,-0.0010220102029673648,True
0.5,18,22,M3,M4,-0.0006248079211265846,-0.0001894885965796648,True
0.5,18,22,M4,M4,-0.0014396196100872499,-0.0014148408865187632,True
0.5,15,25,M1,M4,0.001734550748469403,0.0021803656099219936,False
0.5,15,25,M2,M4,0.000894997179527043,0.0010775960171061061,False
0.5,15,25,M3,M4,-0.0005062576560006446,-4.888681797052543e-05,True
0.5,15,25,M4,M4,-0.0014127119224874812,-0.0013853842035062055,True
0.5,10,30,M1,M4,0.008423762867205309,0.008841324631615681,False
0.5,10,30,M2,M4,0.007579313978853832,0.007849167381080442,False
0.5,10,30,M3,M4,-0.0002577662269201957,0.0002395104692850759,False
0.5,10,30,M4,M4,-0.0013591970710538676,-0.0013250870429265562,True
1,18,22,M1,M4,0.0025751308581117684,0.0033347032259470615,False
1,18,22,M2,M4,-0.0011220235149684641,-0.001037090071043261,True
1,18,22,M3,M4,0.0022846188351433473,0.0030412004279875976,False
1,18,22,M4,M4,-0.0014571962638390025,-0.0014313034339564004,True
1,15,25,M1,M4,0.004687758448701593,0.0054403093629928154,False
1,15,25,M2,M4,0.0008888842335430477,0.0010706210544493115,False
1,15,25,M3,M4,0.00268888673694051,0.0034859953507423457,False
1,15,25,M4,M4,-0.0014299773687724722,-0.0014012598115677641,True
1,10,30,M1,M4,0.01144694802323689,0.012117926716917186,False
1,10,30,M2,M4,0.007581231376165048,0.007846302602174324,False
1,10,30,M3,M4,0.003522931096649548,0.004399006122145916,False
1,10,30,M4,M4,-0.0013762141269861926,-0.001340863143769902,True
1.5,18,22,M1,M4,0.007198760216458095,0.008149919416355591,False
1.5,18,22,M2,M4,-0.0011281803619257115,-0.001042022264986482,True
1.5,18,22,M3,M4,0.006930111157413877,0.007870265148357352,False
1.5,18,22,M4,M4,-0.0014706799873855044,-0.0014435256156953753,True
1.5,15,25,M1,M4,0.009537643238391992,0.010509071348261472,False
1.5,15,25,M2,M4,0.0009054087105299785,0.0010886212358810527,False
1.5,15,25,M3,M4,0.007725321377927815,0.008714483053623163,False
1.5,15,25,M4,M4,-0.0014427501674126894,-0.0014126850078508848,True
1.5,10,30,M1,M4,0.016556952725596975,0.01748169661479501,False
1.5,10,30,M2,M4,0.007629119983346023,0.007894372958595389,False
1.5,10,30,M3,M4,0.009344788757866995,0.010424701218099163,False
1.5,10,30,M4,M4,-0.0013888472485881914,-0.0013519350462712853,True
