gamma,low,high,best,simplest_within_5pct,global_scheduling_pct,global_scheduling_ci_low,global_scheduling_ci_high,lpv_specialization_pct,lpv_specialization_ci_low,lpv_specialization_ci_high,family_scheduling_pct,family_scheduling_ci_low,family_scheduling_ci_high
0,18,22,M3,M1,1.2914825816236437,0.000318639752122106,0.0004204720168624333,-0.07196908000059636,-3.925534560048422e-05,-1.3011538696164534e-06,1.2855720213627382,0.00031654156794794306,0.00041959323132089766
0,15,25,M3,M3,8.028776124433236,0.0023052992451811126,0.002508130949864681,-0.07413045378738409,-4.012575311764982e-05,-7.101611769178115e-07,8.008609282894524,0.002299457598769735,0.0025042980823309236
0,10,30,M3,M3,25.64765144364931,0.00896038347472792,0.009254739781255041,-0.07562606066930207,-4.050839330542312e-05,1.3365051973508783e-06,25.607987334082313,0.008944699644320346,0.009244105577164393
0.5,18,22,M4,M2,1.111956547066041,0.00028846290383053474,0.00038118160338069867,3.4578175559197843,0.0008005356720394935,0.0012398452148331494,1.251125581249007,0.00031263908321033004,0.00041476375714113913
0.5,15,25,M4,M3,7.141232155014738,0.0021463705186856004,0.0023378733000255906,3.857421981869245,0.000889879121421476,0.0013519655376391698,7.849140355066569,0.002285706832445542,0.0024879945449080543
0.5,10,30,M4,M4,23.47075659913332,0.008487989420597267,0.008798468309388125,4.731688124493407,0.0010811323521811122,0.0015824475666716218,25.223951931735858,0.00891191726787695,0.009205082025948
1,18,22,M4,M2,0.8854126095229902,0.0002609886169128154,0.0003328344765649654,12.444937891530857,0.0037270526198986387,0.004488188716767839,1.243558106916139,0.00031507400796226993,0.00041670771340245733
1,15,25,M4,M4,5.694390673299127,0.0019062128105842952,0.002062644359984357,13.714305829325253,0.004101041524558763,0.004904895401802165,7.793604950132117,0.0022965283929168613,0.0024970168571226826
1,10,30,M4,M4,19.413189565094118,0.0076594294577448695,0.007990503331968535,16.369658720780166,0.004878104561840532,0.005758947646433695,25.031811710475917,0.00893061313992195,0.009218907116586286
1.5,18,22,M4,M2,0.7298624571076163,0.00025225870045712557,0.00030849716853699943,23.293951072768305,0.00838369577827897,0.009327500033502367,1.2570835702287546,0.0003221847128532091,0.0004242373079964025
1.5,15,25,M4,M4,4.51517390507291,0.0017581618107740907,0.0018589525686723725,25.243450345776854,0.009149059048297624,0.010145300763061551,7.820432357631468,0.0023256494357888516,0.0025266307398382278
1.5,10,30,M4,M4,15.58908583947736,0.007020265927863069,0.0072517009098203985,29.103164737252307,0.01070988122843982,0.011799867483509413,24.99266193662938,0.008990783474274705,0.009278314106246707
