gamma,low,high,time_scale,plant,baseline,improved,reduction_pct,ci_low,ci_high,positive_pairs
0,10,30,1,beta_noacc,M1,M3,25.636064983843614,0.008955120520199913,0.009254655197304836,10
0,10,30,1,beta_noacc,M3,M4,-0.07566733462378698,-4.113089795218039e-05,1.4713978514128796e-06,3
0,10,30,1,beta_noacc,M2,M4,25.596362844919526,0.008938564062464124,0.00924377954302533,10
0,10,30,1,legacy,M1,M3,25.64765144364933,0.008959601993105021,0.00925873784186663,10
0,10,30,1,legacy,M3,M4,-0.07562606066927574,-4.1114224730163054e-05,1.4855916561070514e-06,3
0,10,30,1,legacy,M2,M4,25.60798733408225,0.008943058741273614,0.009247885591833883,10
0,10,30,1,vy,M1,M3,25.62724686535601,0.008955933225112196,0.009253736798886341,10
0,10,30,1,vy,M3,M4,-0.07525787801320671,-4.105155197658164e-05,1.6061695857263465e-06,3
0,10,30,1,vy,M2,M4,25.587920162760618,0.008939959582188161,0.009243007159135475,10
0,10,30,2,beta_noacc,M1,M3,45.84234488640425,0.0060746662795938084,0.006372637151819564,10
0,10,30,2,beta_noacc,M3,M4,-0.20213760636064976,-3.59436677899633e-05,6.587831378561491e-06,3
0,10,30,2,beta_noacc,M2,M4,45.73932844345222,0.006055461800312456,0.006360406441182737,10
0,10,30,2,legacy,M1,M3,45.85051169111421,0.0060761316933179,0.006373907949130977,10
0,10,30,2,legacy,M3,M4,-0.20209142398026433,-3.5934636137899476e-05,6.594823641719784e-06,3
0,10,30,2,legacy,M2,M4,45.74753740039225,0.006056927103135993,0.006361700335590904,10
0,10,30,2,vy,M1,M3,45.796329879900476,0.006068026710010763,0.006367030370788585,10
0,10,30,2,vy,M3,M4,-0.20244716687805814,-3.6039972119769175e-05,6.5917682087727854e-06,3
0,10,30,2,vy,M2,M4,45.693120029441864,0.0060488331231804224,0.00635486396539801,10
0,18,22,1,beta_noacc,M1,M3,1.2906679982554516,0.00031800552320420886,0.00042157908295353163,10
0,18,22,1,beta_noacc,M3,M4,-0.07197149537284786,-3.982147995546319e-05,-1.2042114919353612e-06,3
0,18,22,1,beta_noacc,M2,M4,1.284755848074092,0.00031619138011048563,0.0004209463096480284,10
0,18,22,1,legacy,M1,M3,1.2914825816236637,0.0003182440522389589,0.000421801065246911,10
