gamma,low,high,time_scale,plant,method,change_pct,ci_low,ci_high
0,10,30,1,beta_noacc,M1,-0.001808250149977587,-8.603165050160253e-07,-4.510753702129459e-07
0,10,30,1,beta_noacc,M2,-0.0018098123090341395,-8.613994822205713e-07,-4.5152470104831493e-07
0,10,30,1,beta_noacc,M3,0.013774647389239118,3.195939109671732e-06,4.019629563015332e-06
0,10,30,1,beta_noacc,M4,0.013815895834517809,3.2038825250892565e-06,4.039631747822106e-06
0,10,30,1,vy,M1,0.03302106392017163,1.1450399456630119e-05,1.2000064015749538e-05
0,10,30,1,vy,M2,0.03312124929444491,1.1505843292207666e-05,1.2013827935804938e-05
0,10,30,1,vy,M3,0.06047321102577238,1.4990927386626576e-05,1.710877159203372e-05
0,10,30,1,vy,M4,0.060105084117707624,1.4877490783626375e-05,1.7061056300401212e-05
0,10,30,2,beta_noacc,M1,-0.004177956436802562,-6.428922014278457e-07,-4.996697436299678e-07
0,10,30,2,beta_noacc,M2,-0.00418092968140434,-6.443206994017877e-07,-4.998938154820348e-07
0,10,30,2,beta_noacc,M3,0.010903374448242348,6.288996175062727e-07,9.51170177629528e-07
0,10,30,2,beta_noacc,M4,0.010949468711512615,6.294776656275017e-07,9.60706956068297e-07
0,10,30,2,vy,M1,-0.0019276299528006489,-3.5311939075317184e-07,-1.868499348883215e-07
0,10,30,2,vy,M2,-0.0018166355101220334,-3.337952084864031e-07,-1.681057168787491e-07
0,10,30,2,vy,M3,0.0981301332523718,6.6068920556230705e-06,7.776125317109518e-06
0,10,30,2,vy,M4,0.09848550706115461,6.617476949649862e-06,7.846456117798386e-06
0,18,22,1,beta_noacc,M1,0.00023624077441746432,2.8992546545827954e-09,1.2448420642226752e-07
0,18,22,1,beta_noacc,M2,0.00023709320997398296,2.5314047481187626e-09,1.253867778231669e-07
0,18,22,1,beta_noacc,M3,0.0010614839387309172,2.253100148581072e-07,3.6275384517689067e-07
0,18,22,1,beta_noacc,M4,0.0010638975995206626,2.2525417324194967e-07,3.644006819251196e-07
0,18,22,1,vy,M1,0.005719202500609274,1.4975765992131501e-06,1.7825214601210025e-06
0,18,22,1,vy,M2,0.00568758180868354,1.486251646239849e-06,1.77691459249547e-06
0,18,22,1,vy,M3,0.004855403519210162,1.1859009868811933e-06,1.5741909305595856e-06
0,18,22,1,vy,M4,0.004807432099875842,1.16727805265995e-06,1.5673258410504442e-06
0,18,22,2,beta_noacc,M1,-0.0004694756277537525,-6.495352934715767e-08,-1.3163674993793562e-08
0,18,22,2,beta_noacc,M2,-0.00046594353505309777,-6.542862559651532e-08,-1.2621187541264622e-08
0,18,22,2,beta_noacc,M3,0.0010530697780532438,5.06314830474178e-08,1.0916740064970815e-07
0,18,22,2,beta_noacc,M4,0.0010573324990163445,5.009970629829812e-08,1.1030207642457463e-07
0,18,22,2,vy,M1,0.003758067287509103,2.8247929979616224e-07,3.174170674218654e-07
0,18,22,2,vy,M2,0.003772062533216939,2.8306695730407824e-07,3.2120166493602174e-07
0,18,22,2,vy,M3,0.0062007303028500035,4.510873717634848e-07,5.088908707123383e-07
0,18,22,2,vy,M4,0.00621008883564616,4.5212512190549505e-07,5.125852045405224e-07
1,10,30,1,beta_noacc,M1,-0.006377730519105604,-2.8488693644709327e-06,-2.3071444619239894e-06
1,10,30,1,beta_noacc,M2,-0.001594607738063988,-7.955507230713796e-07,-3.8960693172326184e-07
1,10,30,1,beta_noacc,M3,0.005722285482153997,1.5191169226592972e-06,2.1698251595744877e-06
1,10,30,1,beta_noacc,M4,0.01394088960455115,3.3486798773293535e-06,4.175540422251475e-06
1,10,30,1,vy,M1,0.07480473029569293,2.8203854674886013e-05,3.218600772586842e-05
1,10,30,1,vy,M2,0.03274533593405505,1.166687837691714e-05,1.2057386834443614e-05
1,10,30,1,vy,M3,0.15937348070200172,4.927566918884596e-05,5.425981176460976e-05
1,10,30,1,vy,M4,0.04835494919574682,1.2041943787702059e-05,1.4377163081783183e-05
1,10,30,2,beta_noacc,M1,-0.008556359332513854,-1.5239746468738435e-06,-1.320180929536242e-06
1,10,30,2,beta_noacc,M2,-0.003966324400878955,-6.209009363606624e-07,-4.796705109670445e-07
1,10,30,2,beta_noacc,M3,-0.0008278412575606217,-2.0429577575325e-07,8.402976897949017e-09
1,10,30,2,beta_noacc,M4,0.011336014300598437,6.842630207509683e-07,1.0104265100130425e-06
1,10,30,2,vy,M1,0.04630309845714609,6.828969234563111e-06,8.546351096249256e-06
1,10,30,2,vy,M2,-0.0023262959300140605,-4.230309215686031e-07,-2.108647342867433e-07
1,10,30,2,vy,M3,0.13761563180668335,1.534931324972594e-05,1.679826942595774e-05
1,10,30,2,vy,M4,0.09383491155816436,6.3205102634967615e-06,7.826563221008373e-06
1,18,22,1,beta_noacc,M1,-0.0003930361072293841,-1.8651009845776708e-07,-7.889958144992678e-08
1,18,22,1,beta_noacc,M2,0.00026831323936387296,1.3633713335054961e-08,1.3599700051138142e-07
1,18,22,1,beta_noacc,M3,0.00037636722854483693,6.746212412866991e-08,1.7685493835762135e-07
1,18,22,1,beta_noacc,M4,0.0010938073024181845,2.4295648403289093e-07,3.8115979113672974e-07
1,18,22,1,vy,M1,0.014978093504712613,4.7028608756882235e-06,5.274836069703772e-06
1,18,22,1,vy,M2,0.0042453730732069424,1.079549214640877e-06,1.4226476912315884e-06
1,18,22,1,vy,M3,0.016668209253156457,5.172907039038676e-06,5.8274522452041874e-06
1,18,22,1,vy,M4,0.002912007528085276,6.201622951342717e-07,1.0897521426625045e-06
1,18,22,2,beta_noacc,M1,-0.001378701663153454,-1.8119678317939177e-07,-1.3828519043067226e-07
1,18,22,2,beta_noacc,M2,-0.00041912669973353953,-6.2851537962769e-08,-9.698797124205015e-09
