gamma,low,high,time_scale,plant,best,simplest_within_5pct
0,10,30,1,beta_noacc,M3,M3
0,10,30,1,legacy,M3,M3
0,10,30,1,vy,M3,M3
0,10,30,2,beta_noacc,M3,M3
0,10,30,2,legacy,M3,M3
0,10,30,2,vy,M3,M3
0,18,22,1,beta_noacc,M3,M1
0,18,22,1,legacy,M3,M1
0,18,22,1,vy,M3,M1
0,18,22,2,beta_noacc,M3,M1
0,18,22,2,legacy,M3,M1
0,18,22,2,vy,M3,M1
1,10,30,1,beta_noacc,M4,M4
1,10,30,1,legacy,M4,M4
1,10,30,1,vy,M4,M4
1,10,30,2,beta_noacc,M4,M4
1,10,30,2,legacy,M4,M4
1,10,30,2,vy,M4,M4
1,18,22,1,beta_noacc,M4,M2
1,18,22,1,legacy,M4,M2
1,18,22,1,vy,M4,M2
1,18,22,2,beta_noacc,M4,M2
1,18,22,2,legacy,M4,M2
1,18,22,2,vy,M4,M2
