gamma,low,time_scale,plant,severity,scenario,method,tracking
0,10,1,beta_noacc,moderate,constant_22,M1,0.02493328585977928
0,10,1,beta_noacc,moderate,constant_22,M2,0.02493838619963097
0,10,1,beta_noacc,moderate,constant_22,M3,0.021431010552041045
0,10,1,beta_noacc,moderate,constant_22,M4,0.021447780860739604
0,10,1,beta_noacc,moderate,previous_s_curve,M1,0.04151196064671962
0,10,1,beta_noacc,moderate,previous_s_curve,M2,0.041538836792795596
0,10,1,beta_noacc,moderate,previous_s_curve,M3,0.03347782071882135
0,10,1,beta_noacc,moderate,previous_s_curve,M4,0.033500850366712895
0,10,1,beta_noacc,moderate,shifted_double_lane,M1,0.040008831596604344
0,10,1,beta_noacc,moderate,shifted_double_lane,M2,0.040000558683306646
0,10,1,beta_noacc,moderate,shifted_double_lane,M3,0.02425461019177767
0,10,1,beta_noacc,moderate,shifted_double_lane,M4,0.0242747111013388
0,10,1,beta_noacc,near_linear,constant_22,M1,0.012300610196178752
0,10,1,beta_noacc,near_linear,constant_22,M2,0.012303325617627169
0,10,1,beta_noacc,near_linear,constant_22,M3,0.010553202525259006
0,10,1,beta_noacc,near_linear,constant_22,M4,0.010561600557427038
0,10,1,beta_noacc,near_linear,previous_s_curve,M1,0.020271501437509457
0,10,1,beta_noacc,near_linear,previous_s_curve,M2,0.02028460547382744
0,10,1,beta_noacc,near_linear,previous_s_curve,M3,0.015976372052280724
0,10,1,beta_noacc,near_linear,previous_s_curve,M4,0.015987845331107826
0,10,1,beta_noacc,near_linear,shifted_double_lane,M1,0.019186402203404583
0,10,1,beta_noacc,near_linear,shifted_double_lane,M2,0.019183115180465463
0,10,1,beta_noacc,near_linear,shifted_double_lane,M3,0.011366683394820155
0,10,1,beta_noacc,near_linear,shifted_double_lane,M4,0.011376820238955358
0,10,1,beta_noacc,strong,constant_22,M1,0.038482877330138186
0,10,1,beta_noacc,strong,constant_22,M2,0.03848960060633968
0,10,1,beta_noacc,strong,constant_22,M3,0.0331884590069407
0,10,1,beta_noacc,strong,constant_22,M4,0.033213431464987245
0,10,1,beta_noacc,strong,previous_s_curve,M1,0.06557970629986018
0,10,1,beta_noacc,strong,previous_s_curve,M2,0.06562182113562912
0,10,1,beta_noacc,strong,previous_s_curve,M3,0.055132477037390944
0,10,1,beta_noacc,strong,previous_s_curve,M4,0.05516730777262634
0,10,1,beta_noacc,strong,shifted_double_lane,M1,0.06683487466554423
