seed,gamma,low,high,time_scale,plant,severity,method,tracking,steering_rms,peak_rate,feasible,worst_family
21,0,10,30,1,beta_noacc,moderate,M1,0.03464224886934683,0.7552165559445658,2.07918609638458,1.0,0.0351425868850057
21,0,10,30,1,beta_noacc,moderate,M2,0.03461093400212005,0.7552168965088677,2.07942372796928,1.0,0.03505509768617265
21,0,10,30,1,beta_noacc,moderate,M3,0.025657033339371214,0.7549476325695063,2.0885552674772883,1.0,0.0259412399611736
21,0,10,30,1,beta_noacc,moderate,M4,0.025614797600494833,0.7549483838654785,2.088766489891376,1.0,0.02614309148438904
21,0,10,30,1,beta_noacc,near_linear,M1,0.016847827330152484,0.3756242385667,1.0395240502964056,1.0,0.01709186645410389
21,0,10,30,1,beta_noacc,near_linear,M2,0.016833103821325836,0.3756244338120874,1.039641455008597,1.0,0.017046394008244026
21,0,10,30,1,beta_noacc,near_linear,M3,0.012283366190704775,0.37550393606399235,1.044208677381082,1.0,0.012419031116878016
21,0,10,30,1,beta_noacc,near_linear,M4,0.01226243703323011,0.37550431611022644,1.0443129524559491,1.0,0.012515485159134587
21,0,10,30,1,beta_noacc,strong,M1,0.05559262190075336,1.1429631430409612,3.1173213659815437,1.0,0.05637526887082642
21,0,10,30,1,beta_noacc,strong,M2,0.05554198595428211,1.1429635732555128,3.1176718394069014,1.0,0.05626217394047322
21,0,10,30,1,beta_noacc,strong,M3,0.042445676551905,1.1424846517393483,3.1311621405263947,1.0,0.04288857021255695
21,0,10,30,1,beta_noacc,strong,M4,0.04238383661416724,1.1424858129543594,3.131473414219132,1.0,0.04323067162343655
21,0,10,30,1,legacy,moderate,M1,0.0346426392370152,0.7552127479532443,2.079190673618624,1.0,0.03514332349377778
21,0,10,30,1,legacy,moderate,M2,0.03461129958798158,0.7552130880898218,2.079427905351385,1.0,0.03505570138004406
21,0,10,30,1,legacy,moderate,M3,0.025652935698467584,0.7549429460361811,2.0885423281181184,1.0,0.025936646305458163
21,0,10,30,1,legacy,moderate,M4,0.025610665409406114,0.7549436968218302,2.088753268896633,1.0,0.026138644472338147
21,0,10,30,1,legacy,near_linear,M1,0.016847810462947702,0.37562266550427376,1.0395314898830397,1.0,0.01709200825790911
21,0,10,30,1,legacy,near_linear,M2,0.01683307477319194,0.3756228605144301,1.039648699533164,1.0,0.01704647529748006
21,0,10,30,1,legacy,near_linear,M3,0.012280966819893664,0.3755019070481186,1.0442075606204684,1.0,0.012416394493104797
21,0,10,30,1,legacy,near_linear,M4,0.012260020874689135,0.37550228681785724,1.0443116987365555,1.0,0.012512917203177017
21,0,10,30,1,legacy,strong,M1,0.0555956200548323,1.14295522973622,3.1173368868372844,1.0,0.05637890326997308
21,0,10,30,1,legacy,strong,M2,0.05554494729502801,1.1429556594552486,3.1176867457977657,1.0,0.05626556999065497
21,0,10,30,1,legacy,strong,M3,0.042442990603534424,1.1424755215989781,3.1311314643864367,1.0,0.04288507689714185
21,0,10,30,1,legacy,strong,M4,0.04238109813788559,1.142476682160773,3.131442297321405,1.0,0.0432274420773663
21,0,10,30,1,vy,moderate,M1,0.03465374017245538,0.7551379339263696,2.079947008864853,1.0,0.035153582559998994
21,0,10,30,1,vy,moderate,M2,0.03462237283804776,0.7551382645502674,2.080184669660006,1.0,0.035066659991742175
21,0,10,30,1,vy,moderate,M3,0.0256672196503348,0.7548744662640129,2.0893074254591726,1.0,0.025951010497077022
21,0,10,30,1,vy,moderate,M4,0.025624601165698795,0.7548752071381183,2.0895186423573837,1.0,0.026152787517664016
21,0,10,30,1,vy,near_linear,M1,0.016848916270443687,0.37558749103464256,1.0399011856397662,1.0,0.017092375895322087
21,0,10,30,1,vy,near_linear,M2,0.016834190126558433,0.3755876816989093,1.0400186245314702,1.0,0.017047404734565515
21,0,10,30,1,vy,near_linear,M3,0.012281180687351852,0.3754695037785643,1.0445830474244515,1.0,0.012416729870322276
21,0,10,30,1,vy,near_linear,M4,0.012260090712152377,0.3754698789453279,1.044687332509319,1.0,0.012513029672665115
21,0,10,30,1,vy,strong,M1,0.05568255916798647,1.142807539193611,3.1184863593695784,1.0,0.056467547162065077
21,0,10,30,1,vy,strong,M2,0.05563171296799614,1.1428079552229442,3.1188367151444694,1.0,0.05635310883301844
21,0,10,30,1,vy,strong,M3,0.04255371260537601,1.1423400241624635,3.132316545647997,1.0,0.04299488171464734
21,0,10,30,1,vy,strong,M4,0.04249121464578108,1.1423411697440382,3.132627696279666,1.0,0.04333837274287327
21,0,10,30,2,beta_noacc,moderate,M1,0.013161295987161526,0.7572306643312492,1.0324149980244244,1.0,0.013540149514537681
21,0,10,30,2,beta_noacc,moderate,M2,0.013134129161001838,0.7572305752896571,1.0324454543263508,1.0,0.013430740069977121
21,0,10,30,2,beta_noacc,moderate,M3,0.007054461345901399,0.7571266383423997,1.0331052831276373,1.0,0.00730238635574682
21,0,10,30,2,beta_noacc,moderate,M4,0.007006029497342234,0.7571266912797034,1.033129114673289,1.0,0.007339080926815889
21,0,10,30,2,beta_noacc,near_linear,M1,0.006525454425599326,0.3760089408696496,0.515176219904628,1.0,0.006711683685365074
