gamma,low,high,time_scale,plant,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible
0,10,30,1,beta_noacc,moderate,M1,0.035484692701034416,0.0007872297335074833,0.03626129613953975,0.7632439824958925,2.1218169753469494,1.0
0,10,30,1,beta_noacc,moderate,M2,0.03549259389191107,0.0007899767848105762,0.036485668951717405,0.763243910525775,2.121979473601229,1.0
0,10,30,1,beta_noacc,moderate,M3,0.02638781382088002,0.0005636581492413729,0.027011607250723064,0.7629676603152757,2.131639557956867,1.0
0,10,30,1,beta_noacc,moderate,M4,0.026407780776263767,0.0005663508078377743,0.027154892746412463,0.7629678550081829,2.1318179878351278,1.0
0,10,30,1,beta_noacc,near_linear,M1,0.017252837945697597,0.00037996001439769564,0.0176282035766551,0.37955582042461355,1.0604827704713442,1.0
0,10,30,1,beta_noacc,near_linear,M2,0.017257015423973357,0.0003811390399028796,0.017736762386234763,0.3795558228899701,1.0605632048975338,1.0
0,10,30,1,beta_noacc,near_linear,M3,0.01263208599078663,0.00027156105954189255,0.012938495511131015,0.37943221993800136,1.065391522674538,1.0
0,10,30,1,beta_noacc,near_linear,M4,0.012642088709163408,0.00027290800874711315,0.013005546307903343,0.3794323418892427,1.065483267633558,1.0
0,10,30,1,beta_noacc,strong,M1,0.05696581943184753,0.0012686712449453642,0.05820485359935018,1.1554552567784147,3.183096627458666,1.0
0,10,30,1,beta_noacc,strong,M2,0.05697690432045436,0.0012736103085666023,0.058569813892551593,1.1554549432912558,3.1833402313053494,1.0
0,10,30,1,beta_noacc,strong,M3,0.04365733397900465,0.0009270081914185239,0.04462374173404794,1.1549632221503618,3.197680186567849,1.0
0,10,30,1,beta_noacc,strong,M4,0.04368725578716257,0.0009306487708841502,0.04488320167130759,1.154963387206883,3.1979457014440227,1.0
0,10,30,1,legacy,moderate,M1,0.03548533436464628,0.0007875757856492611,0.03626241086850839,0.7632398889610507,2.1218323577207827,1.0
0,10,30,1,legacy,moderate,M2,0.035493236252869646,0.0007903236231461741,0.036486818425041034,0.7632398165572399,2.121994486306745,1.0
0,10,30,1,legacy,moderate,M3,0.026384179493188286,0.0005643079330143667,0.027008452475725725,0.7629626890733369,2.1316376326963518,1.0
0,10,30,1,legacy,moderate,M4,0.026404132808778895,0.0005670018154478048,0.027151992935562013,0.7629628832572866,2.131815744936193,1.0
0,10,30,1,legacy,near_linear,M1,0.01725293449310813,0.00038011925338031163,0.017628522609503337,0.37955411064146966,1.060495221776346,1.0
0,10,30,1,legacy,near_linear,M2,0.017257112603496556,0.0003812985563977621,0.017737095166761144,0.3795541128878338,1.0605754796301063,1.0
0,10,30,1,legacy,near_linear,M3,0.012629903335708176,0.00027187114241058915,0.012936547808765788,0.37943005370624777,1.0653893618349088,1.0
0,10,30,1,legacy,near_linear,M4,0.012639899855061592,0.0002732183780318242,0.013003717808866447,0.3794301754025563,1.0654809561930343,1.0
0,10,30,1,legacy,strong,M1,0.056969301898311786,0.0012693045036706637,0.0582091499356821,1.1554468589063647,3.183111479532017,1.0
0,10,30,1,legacy,strong,M2,0.05698038649652183,0.001274245571269696,0.05857419972533129,1.1554465448134175,3.183354480765844,1.0
