coverage,episode_duration,noise,baseline,metric,reduction_pct,mean_difference,ci_low,ci_high,positive_pairs
broad,2,clean,Local,tracking,-11.008740929281212,-0.0007340286757145067,-0.0008063157268285407,-0.0006574902867951998,0
broad,2,clean,Local,worst_family,-14.224832992912784,-0.0009687082064123366,-0.0011661162542985816,-0.0007839091926915485,0
broad,2,clean,Local,yaw_prediction,-203.62944798425895,-0.09400079411010692,-0.10061635934889242,-0.08784937664818172,0
broad,2,clean,Global,tracking,36.87679453507988,0.004324109376466165,0.003957502601474211,0.004694199730698417,10
broad,2,clean,Global,worst_family,42.83318425691186,0.005828310675969883,0.005042067971746501,0.006528284825345558,10
broad,2,clean,Global,yaw_prediction,60.983102185287066,0.21907438708436108,0.19889289599266854,0.24041737593679882,10
broad,2,noisy,Local,tracking,-10.946230250807735,-0.0007303850105269501,-0.000802473680694051,-0.0006540590247736143,0
broad,2,noisy,Local,worst_family,-14.11690963209135,-0.0009618372037806496,-0.0011607924596912017,-0.0007763560632532276,0
broad,2,noisy,Local,yaw_prediction,-199.30539875931456,-0.09331379011702137,-0.09990948712798442,-0.08717363495536191,0
broad,2,noisy,Global,tracking,36.87740623369909,0.004324892869225187,0.003958380514395251,0.004695044608070205,10
broad,2,noisy,Global,worst_family,42.87546708656411,0.0058357696534936465,0.0050450303744820155,0.006544128819118549,10
broad,2,noisy,Global,yaw_prediction,60.986833960095524,0.2190615766898162,0.19887144442804636,0.24037451026497406,10
broad,8,clean,Local,tracking,-11.145054186675694,-0.0007421865351954957,-0.0008149360766066689,-0.0006651935611532444,0
broad,8,clean,Local,worst_family,-14.426684049096046,-0.0009811582308557939,-0.0011818297724075066,-0.0007954641362413222,0
broad,8,clean,Local,yaw_prediction,-200.8117052654191,-0.09344567883080433,-0.10006992473730154,-0.08730473424183811,0
broad,8,clean,Global,tracking,37.38255096009285,0.004418700760845519,0.004040400364540016,0.004801397681745951,10
broad,8,clean,Global,worst_family,43.92760922368822,0.006096608920672571,0.005238294622586843,0.0068569599815282165,10
broad,8,clean,Global,yaw_prediction,61.22459878568058,0.22102152869245692,0.20066299458687578,0.24248913234251931,10
broad,8,noisy,Local,tracking,-11.134521453690029,-0.0007415725681996735,-0.000814310918857967,-0.0006645802675068797,0
broad,8,noisy,Local,worst_family,-14.490056121891177,-0.0009849137231969555,-0.001185173683947103,-0.0008008780197427621,0
broad,8,noisy,Local,yaw_prediction,-199.7938954173497,-0.0933071418605632,-0.10000773863829408,-0.08701363265758762,0
broad,8,noisy,Global,tracking,37.379457961210996,0.004418219219415519,0.004040050694259038,0.004801465472647547,10
broad,8,noisy,Global,worst_family,43.926561766870854,0.0060962941578961245,0.005235588881138758,0.006858772358154819,10
broad,8,noisy,Global,yaw_prediction,61.21465844570312,0.22097506362249622,0.20057802367453095,0.2425928438859004,10
restricted,2,clean,Local,tracking,-11.731021320162402,-0.0007828710599288684,-0.0008454634590668133,-0.0007164129303388783,0
restricted,2,clean,Local,worst_family,-14.68375304589677,-0.00100082002929924,-0.001151323170099036,-0.0008540263267951461,0
