coverage,episode_duration,noise,method,mean,std,worst_family,feasible,rho,steering_rms,peak_rate,beta_prediction,yaw_prediction,parameter_relative_error
broad,2,clean,Family,0.007401718290992185,0.00012603725869999455,0.00777868767608326,1.0,0.9690578557361654,0.8096097936182632,1.16281918218512,0.035452049397532125,0.14016346608148772,0.02464908646962565
broad,2,clean,Global,0.01172582766745835,0.0006833157293760536,0.013606998352053142,1.0,0.9672783890329428,0.809641696219353,1.1615698165546104,0.12103796036388434,0.3592378531658488,0.07812209206745588
broad,2,clean,Local,0.006667689615277678,3.5506458227934155e-05,0.0068099794696709235,1.0,0.969254466433072,0.8096089255157628,1.1630786128445805,0.018163922372912533,0.046162671971380784,0.0026412172670150667
broad,2,noisy,Family,0.00740286488525875,0.00012376037501463794,0.0077752066227797425,1.0,0.9690536733818886,0.8096099605870586,1.1628075905232602,0.03559122628211362,0.14013328958763485,0.0247350899417415
broad,2,noisy,Global,0.011727757754483936,0.0006828908939836354,0.01361097627627339,1.0,0.9672648992251828,0.8096419392113035,1.161568403778858,0.12108713098601129,0.35919486627745106,0.07822783975281145
broad,2,noisy,Local,0.0066724798747318,3.852763063524353e-05,0.006813369418999094,1.0,0.9692675554193448,0.8096092025262533,1.163094974161021,0.018577664921061117,0.046819499470613486,0.007642023525584308
broad,8,clean,Family,0.007401521902831535,0.0001267987832426092,0.007782154409303828,1.0,0.9690439567348368,0.809609870075126,1.1628163162051075,0.035400496322567934,0.13997965886314073,0.024714618806007546
broad,8,clean,Global,0.011820222663677053,0.0007060001293786984,0.0138787633299764,1.0,0.9672066294619076,0.8096537338606595,1.1615975659755031,0.12177039852513664,0.3610011875555977,0.07956654408240396
broad,8,clean,Local,0.006659335367636039,3.5546820901053556e-05,0.006800996178448033,1.0,0.969260354677505,0.809607640509675,1.163075184666383,0.017540761314001452,0.0465339800323364,0.0032491379681788323
broad,8,noisy,Family,0.007401693268348069,0.00012567683890432323,0.007782083554092054,1.0,0.96904082710482,0.8096098040128549,1.162811752256956,0.03543570485932644,0.14000883996082486,0.02476703199077947
broad,8,noisy,Global,0.011819912487763587,0.0007048329480139082,0.01387837771198818,1.0,0.9672036091094456,0.8096537139474872,1.1615955070148845,0.12177405296916252,0.36098390358332105,0.0795984318084933
broad,8,noisy,Local,0.006660120700148394,3.372043374454035e-05,0.006797169830895099,1.0,0.969270567721156,0.8096075931281137,1.163071624542,0.017639423564768608,0.046701698100261674,0.004183907992329148
restricted,2,clean,Family,0.007456382586016783,0.00011243323111479519,0.007816652644918647,1.0,0.9691776872002354,0.8096151068944175,1.1629012897511644,0.03686955313144173,0.14070273832660596,0.025010313903984855
restricted,2,clean,Global,0.011713293621424755,0.0005935452302732213,0.01351896297241249,1.0,0.9674222319543628,0.80963963637748,1.161578513253574,0.12086050172034597,0.359128887333029,0.07651810970511366
restricted,2,clean,Local,0.006673511526087914,3.545742520439496e-05,0.006815832615619406,1.0,0.969246922302426,0.80960978500751,1.1630811821097715,0.01864000855936685,0.046099474014788866,0.002114752660975098
restricted,2,noisy,Family,0.007457203336359676,0.00010475788897407907,0.007817327940881297,1.0,0.9691721479056512,0.809614979854236,1.16287994869242,0.03705168210999012,0.14067058349375008,0.02515217207206254
restricted,2,noisy,Global,0.011712888363328903,0.0005902956313674091,0.013516770314722124,1.0,0.96741304405731,0.809639602798972,1.1615736583648189,0.12089580998856168,0.3590509947147816,0.07663757642270576
restricted,2,noisy,Local,0.006681177455940863,4.0920503254033296e-05,0.0068227356876327,1.0,0.9693066983829552,0.8096100078841169,1.1631030996778455,0.019033615707890146,0.04709706040818523,0.008213606541763275
restricted,8,clean,Family,0.007456863913381151,0.00011484611473740244,0.007821503470607501,1.0,0.9691880338079456,0.8096148458278185,1.162899341490626,0.03675012686298085,0.14080300117852265,0.02505016412189841
restricted,8,clean,Global,0.011780559299218975,0.0006055110870718855,0.01373743806724297,1.0,0.9673709947851744,0.8096484607150456,1.161599834634465,0.12133625389772804,0.3604898027839649,0.07741439829990773
restricted,8,clean,Local,0.006668569057598543,3.5483281175291965e-05,0.006810537736753189,1.0,0.9692486018799896,0.8096090431767078,1.163078894006648,0.01825246294714871,0.04617589863605131,0.002523960421098749
restricted,8,noisy,Family,0.007457062577646052,0.00011439393776489613,0.007823916388363484,1.0,0.9691829547443708,0.8096146142534216,1.1628977638052604,0.036809584098877156,0.14086829808268092,0.025132818823517655
restricted,8,noisy,Global,0.011779312798720807,0.0006038413814029042,0.013734604670821892,1.0,0.9673693755828036,0.8096483302417804,1.161598705428301,0.12133183756491168,0.360472601099461,0.0774449461151183
restricted,8,noisy,Local,0.006669470403429345,3.264993658263996e-05,0.006806402870716655,1.0,0.9692828354665914,0.8096089791176457,1.163079137658764,0.01828114218006601,0.04626313499105671,0.004144185736496256
