seed,group,method,max_parameter_relative_error
61,global,Federated,3.5618592443868054e-09
61,global,Secure,1.6354389049010825e-09
61,nominal,Federated,3.3312948153867285e-09
61,nominal,Secure,3.331296322457085e-09
61,heavy,Federated,6.013798737889384e-09
61,heavy,Secure,4.992830912682887e-09
61,handling,Federated,5.64745640384863e-10
61,handling,Secure,5.647475077030391e-10
62,global,Federated,4.824606386327281e-09
62,global,Secure,4.824605986654028e-09
62,nominal,Federated,1.0633777905919391e-09
62,nominal,Secure,1.0633760345375487e-09
62,heavy,Federated,1.0278890596367347e-08
62,heavy,Secure,1.6279484483568995e-09
62,handling,Federated,7.7608765407055e-10
62,handling,Secure,7.760823369387391e-10
63,global,Federated,2.773613107766235e-09
63,global,Secure,2.7736213911668466e-09
63,nominal,Federated,9.661466793483019e-09
63,nominal,Secure,9.661465583784731e-09
63,heavy,Federated,7.604496506455896e-09
63,heavy,Secure,7.60449669572102e-09
63,handling,Federated,8.282628662301794e-10
63,handling,Secure,8.28268197801319e-10
64,global,Federated,1.7886629035017866e-09
64,global,Secure,1.7886636541195803e-09
64,nominal,Federated,7.865785018305961e-10
64,nominal,Secure,7.865730614943607e-10
64,heavy,Federated,1.6043158022317077e-09
64,heavy,Secure,1.818450794125404e-09
64,handling,Federated,8.142859580136877e-10
64,handling,Secure,8.142861340166077e-10
65,global,Federated,2.522253452971535e-09
65,global,Secure,2.522250808159891e-09
65,nominal,Federated,9.89934139920897e-09
65,nominal,Secure,9.899341800332647e-09
65,heavy,Federated,3.482045449395902e-09
65,heavy,Secure,3.482045449395902e-09
65,handling,Federated,1.3589727991495741e-09
65,handling,Secure,1.3589727991495741e-09
66,global,Federated,7.962543051423061e-10
66,global,Secure,1.11178514789343e-09
66,nominal,Federated,7.654849499414028e-08
66,nominal,Secure,7.654849539575456e-08
66,heavy,Federated,1.6904341819709467e-09
66,heavy,Secure,1.6904341819709467e-09
66,handling,Federated,1.836055118725607e-08
66,handling,Secure,1.836055782720752e-08
67,global,Federated,4.661540983044958e-10
67,global,Secure,4.661441075942607e-10
67,nominal,Federated,5.286122700801912e-10
67,nominal,Secure,5.286103994557793e-10
67,heavy,Federated,4.241876667795638e-09
67,heavy,Secure,4.241877399983153e-09
67,handling,Federated,1.916655753805725e-09
67,handling,Secure,1.916652794169305e-09
68,global,Federated,3.015172235898457e-09
68,global,Secure,3.015172046170071e-09
68,nominal,Federated,9.697828600244545e-09
68,nominal,Secure,9.69782748834067e-09
68,heavy,Federated,4.982160130992294e-09
68,heavy,Secure,1.329143003055083e-08
68,handling,Federated,7.542075255208454e-10
68,handling,Secure,7.542075255208454e-10
69,global,Federated,6.652216393891654e-09
69,global,Secure,2.3659657536407496e-09
69,nominal,Federated,2.659702745679073e-09
69,nominal,Secure,2.6597014130199207e-09
69,heavy,Federated,5.1990447439216355e-09
69,heavy,Secure,5.19904454903205e-09
69,handling,Federated,5.544799431852336e-10
69,handling,Secure,1.2436433490321934e-09
70,global,Federated,5.492723753353325e-08
70,global,Secure,5.492723696287697e-08
70,nominal,Federated,1.6257662268064705e-09
70,nominal,Secure,1.6257707560310453e-09
70,heavy,Federated,1.1860849164866038e-09
70,heavy,Secure,1.1860847240048762e-09
70,handling,Federated,7.9494627369371e-10
70,handling,Secure,7.949352123124801e-10
