seed,scope,method,tracking,feasible,rho
61,family,Central,0.007525280172103939,1.0,0.9676419044351012
61,family,Federated,0.00752528017729788,1.0,0.9676419044271624
61,family,Secure,0.007525280182738826,1.0,0.9676419044179654
61,global,Central,0.011545731309091383,1.0,0.9660925740435458
61,global,Federated,0.011545731338347373,1.0,0.9660925740302782
61,global,Secure,0.01154573129035403,1.0,0.966092574055476
62,family,Central,0.0073279459148612525,1.0,0.9684400273523808
62,family,Federated,0.0073279458797062364,1.0,0.968440027414302
62,family,Secure,0.00732794591834149,1.0,0.968440027355921
62,global,Central,0.012543723444553291,1.0,0.9666798454789284
62,global,Federated,0.01254372340267967,1.0,0.9666798454996548
62,global,Secure,0.012543723402679624,1.0,0.9666798454996542
63,family,Central,0.00756134296802514,1.0,0.9683830535762836
63,family,Federated,0.007561342989640495,1.0,0.96838305356313
63,family,Secure,0.007561342989640404,1.0,0.9683830535631296
63,global,Central,0.011861098141755599,1.0,0.9669414637795136
63,global,Federated,0.0118610981310499,1.0,0.966941463787824
63,global,Secure,0.011861098131049854,1.0,0.966941463787824
64,family,Central,0.0072341291294224855,1.0,0.9675406768564484
64,family,Federated,0.007234129134138676,1.0,0.9675406768412396
64,family,Secure,0.0072341291351756525,1.0,0.9675406768384902
64,global,Central,0.011469852572706182,1.0,0.9661880753241574
64,global,Federated,0.01146985257914711,1.0,0.9661880753217852
64,global,Secure,0.01146985257914705,1.0,0.9661880753217842
65,family,Central,0.007650769113526541,1.0,0.9677839485452512
65,family,Federated,0.0076507691337590585,1.0,0.967783948529831
65,family,Secure,0.00765076913375909,1.0,0.967783948529831
65,global,Central,0.011840929595882567,1.0,0.9664448945265822
65,global,Federated,0.011840929564218023,1.0,0.9664448945459811
65,global,Secure,0.011840929564218065,1.0,0.9664448945459816
66,family,Central,0.007542995010386586,1.0,0.9676424780391052
66,family,Federated,0.007542995120746644,1.0,0.9676424780289048
66,family,Secure,0.007542995120746665,1.0,0.9676424780289048
66,global,Central,0.011745157889416331,1.0,0.9659259984214592
66,global,Federated,0.011745157890609493,1.0,0.965925998420995
66,global,Secure,0.011745157891078257,1.0,0.9659259984202516
67,family,Central,0.007628871729612432,1.0,0.9682976700483592
67,family,Federated,0.00762887172903109,1.0,0.9682976700787678
67,family,Secure,0.007628871729031196,1.0,0.9682976700787682
67,global,Central,0.011622072276720777,1.0,0.9667351075497944
67,global,Federated,0.011622072272471135,1.0,0.9667351075518774
67,global,Secure,0.011622072272471001,1.0,0.966735107551878
68,family,Central,0.007366956841444632,1.0,0.9687012948193509
68,family,Federated,0.00736695682260088,1.0,0.9687012948455164
68,family,Secure,0.007366956829073948,1.0,0.9687012948284082
68,global,Central,0.011986399522357383,1.0,0.9671929752794054
68,global,Federated,0.011986399534647228,1.0,0.9671929752748732
68,global,Secure,0.011986399534647144,1.0,0.9671929752748736
69,family,Central,0.007428780839994965,1.0,0.9687594966506836
69,family,Federated,0.007428780844915639,1.0,0.9687594966416394
69,family,Secure,0.007428780845598415,1.0,0.9687594966416392
69,global,Central,0.011865490905707696,1.0,0.9673094806609652
69,global,Federated,0.011865490877503075,1.0,0.9673094806834016
69,global,Secure,0.011865490885088757,1.0,0.9673094806737004
70,family,Central,0.007730305179914549,1.0,0.9686611396316936
70,family,Federated,0.007730305198742092,1.0,0.9686611396247502
70,family,Secure,0.007730305198742177,1.0,0.9686611396247508
70,global,Central,0.013126626576659733,1.0,0.966791469397032
70,global,Federated,0.013126625965038077,1.0,0.966791469806668
70,global,Secure,0.013126625965038096,1.0,0.9667914698066676
