seed,scope,method,absolute_tracking_difference
61,family,Federated,5.193940763592586e-12
61,family,Secure,1.0634887068206034e-11
61,global,Federated,2.9255989991705533e-11
61,global,Secure,1.8737351947795133e-11
62,family,Federated,3.5155016051002796e-11
62,family,Secure,3.480237799335928e-12
62,global,Federated,4.187362089014268e-11
62,global,Secure,4.1873667727676533e-11
63,family,Federated,2.161535533895531e-11
63,family,Secure,2.1615264265972822e-11
63,global,Federated,1.0705698480495407e-11
63,global,Secure,1.0705745318029258e-11
64,family,Federated,4.7161901120529315e-12
64,family,Secure,5.753167039990181e-12
64,global,Federated,6.440927652340278e-12
64,global,Secure,6.440868671742095e-12
65,family,Federated,2.0232517917995185e-11
65,family,Secure,2.0232549143017753e-11
65,global,Federated,3.1664544250520343e-11
65,global,Secure,3.166450261715692e-11
66,family,Federated,1.103600578977737e-10
66,family,Secure,1.1036007871445541e-10
66,global,Federated,1.1931618887350837e-12
66,global,Secure,1.6619258053074404e-12
67,family,Federated,5.813422659928236e-13
67,family,Secure,5.81235580499051e-13
67,global,Federated,4.249642304721135e-12
67,global,Secure,4.249775878428785e-12
68,family,Federated,1.884375207955591e-11
68,family,Secure,1.2370683470652732e-11
68,global,Federated,1.2289844489310475e-11
68,global,Secure,1.2289761222583628e-11
69,family,Federated,4.9206732438689116e-12
69,family,Secure,5.603449995672527e-12
69,global,Federated,2.8204620930449842e-11
69,global,Secure,2.0618938847971613e-11
70,family,Federated,1.882754282339638e-11
70,family,Secure,1.8827627824846704e-11
70,global,Federated,6.116216560991816e-10
70,global,Secure,6.116216370172234e-10
