seed,mechanism,cohort,epsilon,draw,tracking,feasible,rho
81,Broad-10,10,2,0,0.1962496279423194,1.0,0.9833254067765398
81,Broad-10,10,2,1,0.6012699670598962,1.0,0.9889737663116842
81,Broad-10,10,2,2,0.3578265231736742,1.0,1.002494056993707
81,Broad-10,10,2,3,0.16830250209262365,1.0,0.97408594126057
81,Broad-10,10,2,4,0.19990735067557128,1.0,0.9861701488032648
81,Broad-10,10,2,5,0.3907238065312628,1.0,0.9811282227650324
81,Broad-10,10,2,6,0.26971888076474065,1.0,0.977016835826695
81,Broad-10,10,2,7,0.27941171242050944,1.0,0.9865228130337528
81,Broad-10,10,2,8,0.4988577043394311,1.0,0.9796921044716108
81,Broad-10,10,2,9,0.27438357534792096,1.0,0.9813042120531758
81,Broad-10,10,4,0,0.059623839524714464,1.0,0.9547662996345828
81,Broad-10,10,4,1,0.593022376610108,1.0,0.99134177028754
81,Broad-10,10,4,2,0.1389601284989723,1.0,0.9729126973551224
81,Broad-10,10,4,3,0.18058936599952563,1.0,0.9725207555676948
81,Broad-10,10,4,4,0.1214858636808356,1.0,0.9700248625667478
81,Broad-10,10,4,5,0.1271900443150767,1.0,0.968050046586621
81,Broad-10,10,4,6,0.1100823408211092,1.0,0.9755125229290964
81,Broad-10,10,4,7,0.04298408322641032,1.0,0.9725182798439423
81,Broad-10,10,4,8,0.43335902335273513,1.0,0.9877484261280656
81,Broad-10,10,4,9,0.1952238181588394,1.0,0.9794720392751584
81,Broad-10,10,8,0,0.057232726559780435,1.0,0.9700382562809956
81,Broad-10,10,8,1,0.030438845935024078,1.0,0.9725378283477092
81,Broad-10,10,8,2,0.043538888426747524,1.0,0.9692205807191464
81,Broad-10,10,8,3,0.042781495928601074,1.0,0.972457280952826
81,Broad-10,10,8,4,0.047192006413581004,1.0,0.9722176975655952
81,Broad-10,10,8,5,0.17393721716577176,1.0,0.9738326192028895
81,Broad-10,10,8,6,0.05043175547400302,1.0,0.975879064212853
81,Broad-10,10,8,7,0.11626126962748269,1.0,0.9681681947807697
81,Broad-10,10,8,8,0.02958099473027484,1.0,0.9698715498480832
81,Broad-10,10,8,9,0.010677305420805203,1.0,0.9665218914482054
81,Broad-10,10,inf,0,0.007809052646956655,1.0,0.9685397168247446
81,Tight-10,10,2,0,0.026865676027821448,1.0,0.9678369394862246
81,Tight-10,10,2,1,0.018777698369635477,1.0,0.9721103661780232
81,Tight-10,10,2,2,0.03566269455920188,1.0,0.9669182757702794
81,Tight-10,10,2,3,0.011832601130851833,1.0,0.9697661832093316
