seed,method,cohort,epsilon,draw,tracking,feasible,rho
86,ControlAware,10,2,0,0.011109152435669829,1.0,0.9695398698261312
86,ControlAware,10,2,1,0.021900703309665526,1.0,0.9638868683417358
86,ControlAware,10,2,2,0.011619476703822205,1.0,0.9665617408881778
86,ControlAware,10,2,3,0.012755495038161408,1.0,0.9676246588213347
86,ControlAware,10,2,4,0.02120333541508248,1.0,0.9712497140243704
86,ControlAware,10,2,5,0.02667972285033676,1.0,0.9700443255899625
86,ControlAware,10,2,6,0.013297969020577545,1.0,0.9696960877996776
86,ControlAware,10,2,7,0.022609230395737756,1.0,0.965387181764483
86,ControlAware,10,2,8,0.024847029485183407,1.0,0.9682722768869004
86,ControlAware,10,2,9,0.031649033852087644,1.0,0.967125036498536
86,ControlAware,10,4,0,0.017272698461939198,1.0,0.9664310546893068
86,ControlAware,10,4,1,0.012062760090648151,1.0,0.9686194236123572
86,ControlAware,10,4,2,0.014637763477896942,1.0,0.9668067229899228
86,ControlAware,10,4,3,0.008831353694249007,1.0,0.9686862619302866
86,ControlAware,10,4,4,0.017565036849052296,1.0,0.9691588573739846
86,ControlAware,10,4,5,0.018309519671575982,1.0,0.970896033467542
86,ControlAware,10,4,6,0.01309736086115577,1.0,0.9696149872638724
86,ControlAware,10,4,7,0.01273325200104395,1.0,0.9700274733546966
86,ControlAware,10,4,8,0.013499681820833555,1.0,0.9666011929128534
86,ControlAware,10,4,9,0.009043225925859683,1.0,0.968427924097199
86,ControlAware,10,8,0,0.01032394477011478,1.0,0.9696132716288072
86,ControlAware,10,8,1,0.009884373239478503,1.0,0.9695617745217996
86,ControlAware,10,8,2,0.010514201255464943,1.0,0.9698716252706866
86,ControlAware,10,8,3,0.00821204153813611,1.0,0.968583723157804
86,ControlAware,10,8,4,0.01301668201880259,1.0,0.9667292985700384
86,ControlAware,10,8,5,0.008243223663577118,1.0,0.9685708019586252
86,ControlAware,10,8,6,0.013944860508914374,1.0,0.965159711425874
86,ControlAware,10,8,7,0.009811390765622744,1.0,0.967563307112425
86,ControlAware,10,8,8,0.010528838890042497,1.0,0.9697377680055724
86,ControlAware,10,8,9,0.007677950311516354,1.0,0.9695162897771124
86,ControlAware,10,inf,0,0.007725960060575778,1.0,0.9686687942436258
86,ControlAware,30,2,0,0.008886095285039631,1.0,0.9697666226021168
86,ControlAware,30,2,1,0.009958006566452144,1.0,0.967142796661688
86,ControlAware,30,2,2,0.011195128788696499,1.0,0.9693345498155568
86,ControlAware,30,2,3,0.010396983701421392,1.0,0.9674710662971692
86,ControlAware,30,2,4,0.01009152096786339,1.0,0.969972567715072
86,ControlAware,30,2,5,0.009282973660720428,1.0,0.9695347588170607
86,ControlAware,30,2,6,0.012833548889565121,1.0,0.9707230715286106
86,ControlAware,30,2,7,0.009027463546533757,1.0,0.968986369804148
86,ControlAware,30,2,8,0.008277263582311753,1.0,0.9681041715701302
86,ControlAware,30,2,9,0.0074930474415147875,1.0,0.9687922254860772
86,ControlAware,30,4,0,0.00849179571770351,1.0,0.9678720144071382
86,ControlAware,30,4,1,0.008889659387124889,1.0,0.9681925435130944
86,ControlAware,30,4,2,0.008560538867483597,1.0,0.9685141124229892
86,ControlAware,30,4,3,0.007853276907488133,1.0,0.96850880986841
86,ControlAware,30,4,4,0.008464046934675756,1.0,0.9684892370751168
86,ControlAware,30,4,5,0.007632111047001184,1.0,0.9689943563074728
86,ControlAware,30,4,6,0.008085370641373326,1.0,0.9681207270698224
86,ControlAware,30,4,7,0.008624520840483783,1.0,0.9693193248790766
86,ControlAware,30,4,8,0.009134080644261335,1.0,0.969453373762038
86,ControlAware,30,4,9,0.008020547628188521,1.0,0.96887266059303
86,ControlAware,30,8,0,0.007964544502190004,1.0,0.9687637605225834
86,ControlAware,30,8,1,0.00808071951077584,1.0,0.9681937110386528
86,ControlAware,30,8,2,0.007844851078033219,1.0,0.9686380366304292
86,ControlAware,30,8,3,0.008038546661056162,1.0,0.969089765299502
86,ControlAware,30,8,4,0.0076216863692421906,1.0,0.9687836655382271
86,ControlAware,30,8,5,0.010246787163556667,1.0,0.9685411509915064
86,ControlAware,30,8,6,0.008470594548057393,1.0,0.9682393430337584
86,ControlAware,30,8,7,0.008959829925871398,1.0,0.9684068530166104
86,ControlAware,30,8,8,0.008037593701009519,1.0,0.9685428444187512
86,ControlAware,30,8,9,0.008570595713567324,1.0,0.968286695726397
86,ControlAware,30,inf,0,0.007823095145369647,1.0,0.9686641925920296
86,ControlAware,100,2,0,0.008110326798372649,1.0,0.9684632402359596
86,ControlAware,100,2,1,0.007891261160721199,1.0,0.9688691283412038
86,ControlAware,100,2,2,0.008561540819800055,1.0,0.9679453173663222
86,ControlAware,100,2,3,0.007966258141730425,1.0,0.9688557120963892
86,ControlAware,100,2,4,0.008361318159261076,1.0,0.9684374354451084
86,ControlAware,100,2,5,0.008671194235979897,1.0,0.968711547073755
86,ControlAware,100,2,6,0.007918767904153492,1.0,0.9689404052856232
86,ControlAware,100,2,7,0.008292484955937743,1.0,0.968403597042616
86,ControlAware,100,2,8,0.007640762782418806,1.0,0.9687901009605724
86,ControlAware,100,2,9,0.008556316460330306,1.0,0.968169817532314
86,ControlAware,100,4,0,0.007891246701903967,1.0,0.9684970553576572
86,ControlAware,100,4,1,0.008152533858982371,1.0,0.9687337387471672
86,ControlAware,100,4,2,0.007907201428690986,1.0,0.9684848705090668
86,ControlAware,100,4,3,0.008195791232338693,1.0,0.9681712738116331
86,ControlAware,100,4,4,0.007743507562234384,1.0,0.968737519977353
86,ControlAware,100,4,5,0.008733578316511588,1.0,0.9683673118671914
86,ControlAware,100,4,6,0.007880186176395977,1.0,0.968668635726458
86,ControlAware,100,4,7,0.007756576356406212,1.0,0.9688783631173032
86,ControlAware,100,4,8,0.007872901473899427,1.0,0.9684351741295504
86,ControlAware,100,4,9,0.008000699238143895,1.0,0.9687247100946924
86,ControlAware,100,8,0,0.007929324490153478,1.0,0.9685483905887876
86,ControlAware,100,8,1,0.007924153653976305,1.0,0.9686214745105602
86,ControlAware,100,8,2,0.008094192164789193,1.0,0.968508486959303
86,ControlAware,100,8,3,0.007922963578093098,1.0,0.9686028457004284
86,ControlAware,100,8,4,0.008034977404736904,1.0,0.9684646690277936
86,ControlAware,100,8,5,0.007937979167794009,1.0,0.9686487746764244
86,ControlAware,100,8,6,0.007812312220543977,1.0,0.9686108502998856
86,ControlAware,100,8,7,0.007909552258200189,1.0,0.9686557843544163
86,ControlAware,100,8,8,0.007902621621044688,1.0,0.9685937499495558
86,ControlAware,100,8,9,0.0078111380101464345,1.0,0.9687685263876984
86,ControlAware,100,inf,0,0.007901824610891166,1.0,0.968600766022497
86,Isotropic,10,2,0,0.011960366083320085,1.0,0.9698794192937932
86,Isotropic,10,2,1,0.024790635451824826,1.0,0.9643185313734504
86,Isotropic,10,2,2,0.013156985750556608,1.0,0.9662001167775026
86,Isotropic,10,2,3,0.011397196357837607,1.0,0.9681029453066258
86,Isotropic,10,2,4,0.024591794686591097,1.0,0.9717421662782312
86,Isotropic,10,2,5,0.027919708517907305,1.0,0.9702029862865648
