method,cohort,epsilon,tracking,std,q95,feasible_rate,rho,baseline,tracking_increase_pct
ControlAware,10,2,0.01948736613698938,0.006746995942326182,0.03127834993842627,1.0,0.9731204763928036,0.007665409000295021,154.2247404703306
ControlAware,10,4,0.013493735453969374,0.003589562672957915,0.020587148771505998,1.0,0.9716051472495052,0.007665409000295021,76.03412229471431
ControlAware,10,8,0.010053660659233377,0.0020546746614185617,0.013955264402785777,1.0,0.9707541293293538,0.007665409000295021,31.156219568276633
ControlAware,10,inf,0.007665409000295021,0.0001876982771651932,0.00789109125343845,1.0,0.9692806119818456,0.007665409000295021,0.0
ControlAware,30,2,0.01062810171724437,0.002329005602576006,0.014787183857415107,1.0,0.9707899496481914,0.0076178478399911,39.515804732282334
ControlAware,30,4,0.008512183705755138,0.0008236213617939213,0.010194927777938319,1.0,0.96994092754821,0.0076178478399911,11.740006948800952
ControlAware,30,8,0.007959026897854351,0.0005330761836891532,0.008581437520526411,1.0,0.96995921229973,0.0076178478399911,4.478680396741153
ControlAware,30,inf,0.0076178478399911,0.0002239077879686581,0.007865120025782213,1.0,0.9691352300532692,0.0076178478399911,0.0
ControlAware,100,2,0.007970323864694788,0.0004379035577585576,0.00868771215238595,1.0,0.969338602491183,0.0076108549046861,4.723108829566014
ControlAware,100,4,0.007710073449901883,0.00030360266396389063,0.008287920020538846,1.0,0.9693448610126516,0.0076108549046861,1.3036452075139815
ControlAware,100,8,0.007650428474710405,0.0002181682615277571,0.008002410662632223,1.0,0.969270304785794,0.0076108549046861,0.5199622186981667
ControlAware,100,inf,0.0076108549046861,0.00020063648233609803,0.007881071679609471,1.0,0.9691595581798113,0.0076108549046861,0.0
Isotropic,10,2,0.02169238410558942,0.0077881651649429244,0.034879455879394845,1.0,0.9732410922270543,0.007665409000295026,182.9905632531092
Isotropic,10,4,0.015228269217207406,0.0045750777822894,0.02374250946047569,1.0,0.9719953303769784,0.007665409000295026,98.66218771394064
Isotropic,10,8,0.01094029960203296,0.002662806113605615,0.016189302556508214,1.0,0.9710967850863552,0.007665409000295026,42.722972793909506
Isotropic,10,inf,0.007665409000295026,0.00018769827716519808,0.00789109125343845,1.0,0.9692806119818456,0.007665409000295026,0.0
Isotropic,30,2,0.011645183450863943,0.0029969796575234227,0.017112675958631023,1.0,0.971183142224406,0.007617847839991103,52.86710492864797
Isotropic,30,4,0.008864224895378702,0.0010463683148788986,0.010825097431773262,1.0,0.9701652906267582,0.007617847839991103,16.361275278360708
Isotropic,30,8,0.00809941982087245,0.0006696940973832408,0.009046517197225832,1.0,0.9701033982169394,0.007617847839991103,6.321627722114087
Isotropic,30,inf,0.007617847839991103,0.00022390778796865638,0.007865120025782213,1.0,0.9691352300532692,0.007617847839991103,0.0
Isotropic,100,2,0.008121675777192739,0.0005466709889893508,0.009092326211672205,1.0,0.9694756986283948,0.0076108549046861014,6.711741044913611
Isotropic,100,4,0.0077528871972712,0.00034679535912452206,0.008434330425282544,1.0,0.9693979274725348,0.0076108549046861014,1.866180532460926
Isotropic,100,8,0.007664956823043744,0.0002309001692878935,0.008040534070593573,1.0,0.9692903814468868,0.0076108549046861014,0.7108520532211227
Isotropic,100,inf,0.0076108549046861014,0.0002006364823361011,0.007881071679609471,1.0,0.9691595581798113,0.0076108549046861014,0.0
