method,policy,epsilon,minimum_viable_cohort
ControlAware,balanced,2,100
ControlAware,balanced,4,50
ControlAware,balanced,8,20
ControlAware,biased-low-speed,2,100
ControlAware,biased-low-speed,4,50
ControlAware,biased-low-speed,8,20
ControlAware,random,2,100
ControlAware,random,4,50
ControlAware,random,8,20
Isotropic,balanced,2,100
Isotropic,balanced,4,50
Isotropic,balanced,8,30
Isotropic,biased-low-speed,2,100
Isotropic,biased-low-speed,4,50
Isotropic,biased-low-speed,8,30
Isotropic,random,2,100
Isotropic,random,4,50
Isotropic,random,8,30
