phase,point,policy,cohort,condition,mu,epsilon,relative_improvement_pct,improved_seeds
A,map,balanced,10,correct,0.9,2,9.49191357893473,10
A,map,balanced,10,correct,0.9,4,11.145287523748703,10
A,map,balanced,10,correct,0.9,8,6.486354904156089,10
A,map,balanced,20,correct,0.9,2,12.042400054997504,10
A,map,balanced,20,correct,0.9,4,6.796852796590047,10
A,map,balanced,20,correct,0.9,8,3.061647816202051,10
A,map,balanced,30,correct,0.9,2,8.89696745407761,10
A,map,balanced,30,correct,0.9,4,4.734474616430484,10
A,map,balanced,30,correct,0.9,8,1.4209644785706965,10
A,map,balanced,50,correct,0.9,2,4.879091438069172,10
A,map,balanced,50,correct,0.9,4,1.6493944578650943,10
A,map,balanced,50,correct,0.9,8,0.7361410608482055,10
A,map,balanced,100,correct,0.9,2,1.6094034421757164,10
A,map,balanced,100,correct,0.9,4,0.2838289158970997,9
A,map,balanced,100,correct,0.9,8,0.1509846722720587,9
A,map,biased-low-speed,10,correct,0.9,2,9.453090389454621,10
A,map,biased-low-speed,10,correct,0.9,4,11.01535075093979,10
A,map,biased-low-speed,10,correct,0.9,8,6.382821687165608,10
A,map,biased-low-speed,20,correct,0.9,2,12.022355169574395,10
A,map,biased-low-speed,20,correct,0.9,4,6.741554962192476,10
A,map,biased-low-speed,20,correct,0.9,8,3.066145765582662,10
A,map,biased-low-speed,30,correct,0.9,2,8.72769019105678,10
A,map,biased-low-speed,30,correct,0.9,4,4.660688763939403,10
A,map,biased-low-speed,30,correct,0.9,8,1.3899725924888084,10
A,map,biased-low-speed,50,correct,0.9,2,4.895763427830113,10
A,map,biased-low-speed,50,correct,0.9,4,1.6628812649151503,10
A,map,biased-low-speed,50,correct,0.9,8,0.7590411544838749,10
A,map,biased-low-speed,100,correct,0.9,2,1.6094034421756498,10
A,map,biased-low-speed,100,correct,0.9,4,0.2838289158970886,9
A,map,biased-low-speed,100,correct,0.9,8,0.1509846722720476,9
A,map,random,10,correct,0.9,2,9.594793706975402,10
A,map,random,10,correct,0.9,4,11.105786076776692,10
A,map,random,10,correct,0.9,8,6.421546903087583,10
A,map,random,20,correct,0.9,2,12.13636378915287,10
A,map,random,20,correct,0.9,4,6.784856819393736,10
A,map,random,20,correct,0.9,8,3.133883161027773,10
A,map,random,30,correct,0.9,2,8.877337454594269,10
A,map,random,30,correct,0.9,4,4.719235100983832,10
A,map,random,30,correct,0.9,8,1.4233072321142792,10
A,map,random,50,correct,0.9,2,4.901650974603189,10
A,map,random,50,correct,0.9,4,1.6870620797533653,10
A,map,random,50,correct,0.9,8,0.7370116668175108,10
A,map,random,100,correct,0.9,2,1.6094034421756498,10
A,map,random,100,correct,0.9,4,0.2838289158970331,9
A,map,random,100,correct,0.9,8,0.1509846722720698,9
B,boundary,balanced,30,correct,0.7,4,4.66927607213512,10
B,boundary,balanced,30,correct,0.9,4,4.734474616430484,10
B,boundary,balanced,30,narrow-10pct,0.7,4,4.069696003729728,10
B,boundary,balanced,30,narrow-10pct,0.9,4,4.127251853231106,10
B,boundary,balanced,30,outliers-10pct,0.7,4,3.647418845932604,10
B,boundary,balanced,30,outliers-10pct,0.9,4,3.77272098773338,10
B,boundary,balanced,30,outliers-5pct,0.7,4,4.286926427064186,10
B,boundary,balanced,30,outliers-5pct,0.9,4,4.410178140129006,10
B,boundary,balanced,30,shift-plus-5pct,0.7,4,4.652827380280189,10
B,boundary,balanced,30,shift-plus-5pct,0.9,4,4.716543169777065,10
B,nonviable,balanced,10,correct,0.7,4,11.084526046594334,10
B,nonviable,balanced,10,correct,0.9,4,11.145287523748703,10
B,nonviable,balanced,10,narrow-10pct,0.7,4,10.404081403854859,10
B,nonviable,balanced,10,narrow-10pct,0.9,4,10.467715977788906,10
B,nonviable,balanced,10,outliers-10pct,0.7,4,10.311990099291101,10
B,nonviable,balanced,10,outliers-10pct,0.9,4,10.422430384134273,10
B,nonviable,balanced,10,outliers-5pct,0.7,4,10.311990099291101,10
B,nonviable,balanced,10,outliers-5pct,0.9,4,10.422430384134273,10
B,nonviable,balanced,10,shift-plus-5pct,0.7,4,11.081786740646526,10
B,nonviable,balanced,10,shift-plus-5pct,0.9,4,11.147412800751033,10
B,viable,balanced,100,correct,0.7,4,0.29304094881675846,9
B,viable,balanced,100,correct,0.9,4,0.2838289158970997,9
B,viable,balanced,100,narrow-10pct,0.7,4,0.2242486735284821,9
B,viable,balanced,100,narrow-10pct,0.9,4,0.21513430666675326,9
B,viable,balanced,100,outliers-10pct,0.7,4,0.4942177585908647,10
B,viable,balanced,100,outliers-10pct,0.9,4,0.504084225064072,10
B,viable,balanced,100,outliers-5pct,0.7,4,0.46056967214630484,10
B,viable,balanced,100,outliers-5pct,0.9,4,0.46207618671948447,10
B,viable,balanced,100,shift-plus-5pct,0.7,4,0.29304094881672516,9
B,viable,balanced,100,shift-plus-5pct,0.9,4,0.2838289158970664,9
