seed,phase,point,policy,cohort,condition,mu,epsilon,method,draw,tracking,feasible,rho
96,A,map,balanced,10,correct,0.9,2,ControlAware,0,0.0256082162091546,1.0,0.971845547953446
96,A,map,balanced,10,correct,0.9,2,ControlAware,1,0.021242047993331573,1.0,0.9694420754304334
96,A,map,balanced,10,correct,0.9,2,ControlAware,2,0.016282025481144193,1.0,0.9697795997010704
96,A,map,balanced,10,correct,0.9,2,ControlAware,3,0.02650053606915431,1.0,0.9680587895065697
96,A,map,balanced,10,correct,0.9,2,ControlAware,4,0.03355334209903418,1.0,0.9653149825882475
96,A,map,balanced,10,correct,0.9,2,Isotropic,0,0.02667000385347929,1.0,0.9718384125153804
96,A,map,balanced,10,correct,0.9,2,Isotropic,1,0.025281453611117097,1.0,0.9695008390571876
96,A,map,balanced,10,correct,0.9,2,Isotropic,2,0.01884664240094547,1.0,0.9702156701061688
96,A,map,balanced,10,correct,0.9,2,Isotropic,3,0.027969548971478245,1.0,0.96804700492701
96,A,map,balanced,10,correct,0.9,2,Isotropic,4,0.03673860885161093,1.0,0.964307827655746
96,A,map,balanced,10,correct,0.9,4,ControlAware,0,0.014320659572069544,1.0,0.9671157157631662
96,A,map,balanced,10,correct,0.9,4,ControlAware,1,0.01956109133228394,1.0,0.970690752022623
96,A,map,balanced,10,correct,0.9,4,ControlAware,2,0.017375239307182676,1.0,0.9716603331955735
96,A,map,balanced,10,correct,0.9,4,ControlAware,3,0.013363584036051259,1.0,0.969464340454478
96,A,map,balanced,10,correct,0.9,4,ControlAware,4,0.009849152987232043,1.0,0.9693078972438376
96,A,map,balanced,10,correct,0.9,4,Isotropic,0,0.016237815243439573,1.0,0.9667852998134064
96,A,map,balanced,10,correct,0.9,4,Isotropic,1,0.02191217083135106,1.0,0.9710265658222912
96,A,map,balanced,10,correct,0.9,4,Isotropic,2,0.018858666737313977,1.0,0.9720794329420114
96,A,map,balanced,10,correct,0.9,4,Isotropic,3,0.015404890028208685,1.0,0.9697447877273332
96,A,map,balanced,10,correct,0.9,4,Isotropic,4,0.010840444439614485,1.0,0.9696457240293872
96,A,map,balanced,10,correct,0.9,8,ControlAware,0,0.008651093807090747,1.0,0.9680409111996472
96,A,map,balanced,10,correct,0.9,8,ControlAware,1,0.00832619825276615,1.0,0.9690211988144692
96,A,map,balanced,10,correct,0.9,8,ControlAware,2,0.010409231280993025,1.0,0.970177161363458
96,A,map,balanced,10,correct,0.9,8,ControlAware,3,0.008956105393829688,1.0,0.9693167091327136
96,A,map,balanced,10,correct,0.9,8,ControlAware,4,0.008872441773994768,1.0,0.9681816566364474
96,A,map,balanced,10,correct,0.9,8,Isotropic,0,0.008978167124826476,1.0,0.96813012525325
96,A,map,balanced,10,correct,0.9,8,Isotropic,1,0.008515221051287374,1.0,0.9691579201635074
96,A,map,balanced,10,correct,0.9,8,Isotropic,2,0.011371258770326778,1.0,0.970581815992729
96,A,map,balanced,10,correct,0.9,8,Isotropic,3,0.009431048325779665,1.0,0.9695581710376302
96,A,map,balanced,10,correct,0.9,8,Isotropic,4,0.009245890668298944,1.0,0.9682957382007904
96,A,map,balanced,10,correct,0.9,inf,ControlAware,0,0.008083315808192021,1.0,0.9682489286619054
96,A,map,balanced,10,correct,0.9,inf,Isotropic,0,0.008083315808192033,1.0,0.9682489286619054
96,A,map,balanced,20,correct,0.9,2,ControlAware,0,0.014209472729950608,1.0,0.964839193707592
96,A,map,balanced,20,correct,0.9,2,ControlAware,1,0.010934591854025216,1.0,0.968837166027788
96,A,map,balanced,20,correct,0.9,2,ControlAware,2,0.015785742655097756,1.0,0.9683834044399232
96,A,map,balanced,20,correct,0.9,2,ControlAware,3,0.014003591426832671,1.0,0.9701123451409616
96,A,map,balanced,20,correct,0.9,2,ControlAware,4,0.010316518251939615,1.0,0.9679854228963348
96,A,map,balanced,20,correct,0.9,2,Isotropic,0,0.01666711853403106,1.0,0.9637818012172148
96,A,map,balanced,20,correct,0.9,2,Isotropic,1,0.012240610232751149,1.0,0.9689263366963436
96,A,map,balanced,20,correct,0.9,2,Isotropic,2,0.017069565695184787,1.0,0.9684648234972788
96,A,map,balanced,20,correct,0.9,2,Isotropic,3,0.016376589145947626,1.0,0.9704240291015276
96,A,map,balanced,20,correct,0.9,2,Isotropic,4,0.011833042014007741,1.0,0.9679690332349156
96,A,map,balanced,20,correct,0.9,4,ControlAware,0,0.012332110338601423,1.0,0.9700494186415486
96,A,map,balanced,20,correct,0.9,4,ControlAware,1,0.009375743475933774,1.0,0.9684566270956266
96,A,map,balanced,20,correct,0.9,4,ControlAware,2,0.008321229445286784,1.0,0.9681825072482272
96,A,map,balanced,20,correct,0.9,4,ControlAware,3,0.009631574964472329,1.0,0.9689249704344276
96,A,map,balanced,20,correct,0.9,4,ControlAware,4,0.01158954504970944,1.0,0.9677490238718373
96,A,map,balanced,20,correct,0.9,4,Isotropic,0,0.014205283737709176,1.0,0.9704091904225446
96,A,map,balanced,20,correct,0.9,4,Isotropic,1,0.009905682244992572,1.0,0.9685002985740924
96,A,map,balanced,20,correct,0.9,4,Isotropic,2,0.008387126263897725,1.0,0.9681564513013798
96,A,map,balanced,20,correct,0.9,4,Isotropic,3,0.010117992108565291,1.0,0.9689861662641588
96,A,map,balanced,20,correct,0.9,4,Isotropic,4,0.01268628245878613,1.0,0.9675950834087498
96,A,map,balanced,20,correct,0.9,8,ControlAware,0,0.008573456289883962,1.0,0.9682136001981456
96,A,map,balanced,20,correct,0.9,8,ControlAware,1,0.007989680450125587,1.0,0.9684734949776792
96,A,map,balanced,20,correct,0.9,8,ControlAware,2,0.008360138153830712,1.0,0.968243260880168
96,A,map,balanced,20,correct,0.9,8,ControlAware,3,0.008368279208525384,1.0,0.9680444677649592
96,A,map,balanced,20,correct,0.9,8,ControlAware,4,0.008215745090250358,1.0,0.9681570987571996
96,A,map,balanced,20,correct,0.9,8,Isotropic,0,0.008840001905840295,1.0,0.9681983465513204
96,A,map,balanced,20,correct,0.9,8,Isotropic,1,0.00811438816701579,1.0,0.9685158825045628
96,A,map,balanced,20,correct,0.9,8,Isotropic,2,0.008500813246762672,1.0,0.9682781720914828
96,A,map,balanced,20,correct,0.9,8,Isotropic,3,0.008619400723066972,1.0,0.9679174150028838
96,A,map,balanced,20,correct,0.9,8,Isotropic,4,0.008329470903112032,1.0,0.9681612032654436
96,A,map,balanced,20,correct,0.9,inf,ControlAware,0,0.007933099903164464,1.0,0.968251920955606
96,A,map,balanced,20,correct,0.9,inf,Isotropic,0,0.007933099903164464,1.0,0.968251920955606
96,A,map,balanced,30,correct,0.9,2,ControlAware,0,0.013895731239780152,1.0,0.9688960868171008
96,A,map,balanced,30,correct,0.9,2,ControlAware,1,0.012394017899045161,1.0,0.967870766804497
96,A,map,balanced,30,correct,0.9,2,ControlAware,2,0.010288896576656091,1.0,0.9683768739163808
96,A,map,balanced,30,correct,0.9,2,ControlAware,3,0.011205600917136247,1.0,0.9683769060651886
96,A,map,balanced,30,correct,0.9,2,ControlAware,4,0.010746527080172163,1.0,0.9673668164788204
96,A,map,balanced,30,correct,0.9,2,Isotropic,0,0.015872955616904043,1.0,0.9690483626345366
96,A,map,balanced,30,correct,0.9,2,Isotropic,1,0.014090863533154935,1.0,0.96767433413942
96,A,map,balanced,30,correct,0.9,2,Isotropic,2,0.011285661972892259,1.0,0.9684718204976016
96,A,map,balanced,30,correct,0.9,2,Isotropic,3,0.012415858469412278,1.0,0.9683872543912484
96,A,map,balanced,30,correct,0.9,2,Isotropic,4,0.01168362053776037,1.0,0.9670159232974178
96,A,map,balanced,30,correct,0.9,4,ControlAware,0,0.008848470031548785,1.0,0.96784338558989
96,A,map,balanced,30,correct,0.9,4,ControlAware,1,0.009036660129602634,1.0,0.9673585244190676
96,A,map,balanced,30,correct,0.9,4,ControlAware,2,0.010565305582538941,1.0,0.9670946855632891
96,A,map,balanced,30,correct,0.9,4,ControlAware,3,0.010002115913820601,1.0,0.9673453538579369
96,A,map,balanced,30,correct,0.9,4,ControlAware,4,0.008123252995645008,1.0,0.9688746308277684
96,A,map,balanced,30,correct,0.9,4,Isotropic,0,0.009066295991122792,1.0,0.9677674097652982
96,A,map,balanced,30,correct,0.9,4,Isotropic,1,0.009497301557747015,1.0,0.9671194962100028
96,A,map,balanced,30,correct,0.9,4,Isotropic,2,0.011449406813029441,1.0,0.966755682051082
96,A,map,balanced,30,correct,0.9,4,Isotropic,3,0.010722751559340677,1.0,0.9671280870874844
96,A,map,balanced,30,correct,0.9,4,Isotropic,4,0.008297569946622365,1.0,0.9689440356304084
96,A,map,balanced,30,correct,0.9,8,ControlAware,0,0.008099924778132503,1.0,0.968116920077728
96,A,map,balanced,30,correct,0.9,8,ControlAware,1,0.008088940930709594,1.0,0.9682274136579206
96,A,map,balanced,30,correct,0.9,8,ControlAware,2,0.008083282840138213,1.0,0.9680926614291228
96,A,map,balanced,30,correct,0.9,8,ControlAware,3,0.008028994849322938,1.0,0.9687283736960612
96,A,map,balanced,30,correct,0.9,8,ControlAware,4,0.007912789202117737,1.0,0.9684556016024324
96,A,map,balanced,30,correct,0.9,8,Isotropic,0,0.008270214781236122,1.0,0.9680790288442604
96,A,map,balanced,30,correct,0.9,8,Isotropic,1,0.008208203690101876,1.0,0.9682075298479722
96,A,map,balanced,30,correct,0.9,8,Isotropic,2,0.008123563933402057,1.0,0.9680486895271552
96,A,map,balanced,30,correct,0.9,8,Isotropic,3,0.008152597303938278,1.0,0.9688351518945496
96,A,map,balanced,30,correct,0.9,8,Isotropic,4,0.007856293453350554,1.0,0.9685074726998544
96,A,map,balanced,30,correct,0.9,inf,ControlAware,0,0.007979282719241412,1.0,0.9683219511817952
96,A,map,balanced,30,correct,0.9,inf,Isotropic,0,0.007979282719241396,1.0,0.9683219511817952
96,A,map,balanced,50,correct,0.9,2,ControlAware,0,0.009659450486303487,1.0,0.9673447880168436
96,A,map,balanced,50,correct,0.9,2,ControlAware,1,0.008661316988951706,1.0,0.9694999156955674
96,A,map,balanced,50,correct,0.9,2,ControlAware,2,0.008552902503870228,1.0,0.9683747755795824
96,A,map,balanced,50,correct,0.9,2,ControlAware,3,0.0081636750724275,1.0,0.9691307795749556
96,A,map,balanced,50,correct,0.9,2,ControlAware,4,0.011378563190533104,1.0,0.9677814162445612
96,A,map,balanced,50,correct,0.9,2,Isotropic,0,0.010447053356808188,1.0,0.9671355373364384
96,A,map,balanced,50,correct,0.9,2,Isotropic,1,0.009095724926092322,1.0,0.9697501099245028
96,A,map,balanced,50,correct,0.9,2,Isotropic,2,0.008769652855657678,1.0,0.968401174248203
96,A,map,balanced,50,correct,0.9,2,Isotropic,3,0.008623430385254207,1.0,0.969356867542696
96,A,map,balanced,50,correct,0.9,2,Isotropic,4,0.012785654218163325,1.0,0.9676219081422136
96,A,map,balanced,50,correct,0.9,4,ControlAware,0,0.007832871750640043,1.0,0.9683169399209046
96,A,map,balanced,50,correct,0.9,4,ControlAware,1,0.008007271190536179,1.0,0.9687942535036926
96,A,map,balanced,50,correct,0.9,4,ControlAware,2,0.008771094862883072,1.0,0.9679257253865152
96,A,map,balanced,50,correct,0.9,4,ControlAware,3,0.008563056115738077,1.0,0.9684652524526596
