phase,point,policy,cohort,condition,mu,epsilon,method,tracking,std,q95,feasible_rate,rho,baseline,tracking_increase_pct,viable
A,map,balanced,10,correct,0.9,2,ControlAware,0.020156265722383732,0.00706613799110638,0.033043445658927424,1.0,0.9726147612076494,0.007653453381158461,163.36171030982084,False
A,map,balanced,10,correct,0.9,2,Isotropic,0.02227012692392143,0.007958431287327317,0.03768523891924255,1.0,0.9730241726132356,0.0076534533811584635,190.98141472641353,False
A,map,balanced,10,correct,0.9,4,ControlAware,0.013765233378470155,0.003433690834858019,0.019316652229120653,1.0,0.9716603331955735,0.007653453381158461,79.85649997369669,False
A,map,balanced,10,correct,0.9,4,Isotropic,0.015491843926847737,0.0042128512331371356,0.02143571778985814,1.0,0.9720794329420114,0.0076534533811584635,102.41638846309687,False
A,map,balanced,10,correct,0.9,8,ControlAware,0.009347760120029592,0.0012535166888199775,0.011210556785231897,1.0,0.9704560237052884,0.007653453381158461,22.137807006732867,False
A,map,balanced,10,correct,0.9,8,Isotropic,0.009996145600408252,0.001650372814385442,0.012296457877185458,1.0,0.9706922885742192,0.0076534533811584635,30.609609839881035,False
A,map,balanced,10,correct,0.9,inf,ControlAware,0.007653453381158461,0.0002496808124325136,0.00801438134338372,1.0,0.9691613690301096,0.007653453381158461,0.0,False
A,map,balanced,10,correct,0.9,inf,Isotropic,0.0076534533811584635,0.0002496808124325146,0.008014381343383727,1.0,0.9691613690301096,0.0076534533811584635,0.0,False
A,map,balanced,20,correct,0.9,2,ControlAware,0.013615571656094463,0.0037830572588882744,0.020190525931299264,1.0,0.9711203332450624,0.007724380228297889,76.26749659751968,False
A,map,balanced,20,correct,0.9,2,Isotropic,0.015479698928356288,0.004835617598604998,0.02452304146397799,1.0,0.9715269982123912,0.007724380228297895,100.40053015058939,False
A,map,balanced,20,correct,0.9,4,ControlAware,0.009738663089772129,0.0015502971761475113,0.012913599541014571,1.0,0.9700494186415486,0.007724380228297889,26.076951184963846,False
A,map,balanced,20,correct,0.9,4,Isotropic,0.010448856483910479,0.0019908806047320283,0.014630501806263385,1.0,0.9704091904225446,0.007724380228297895,35.27113082330666,False
A,map,balanced,20,correct,0.9,8,ControlAware,0.0083700220270188,0.0007518705672849673,0.009888561278265297,1.0,0.9696041430955398,0.007724380228297889,8.358493233614194,True
