seed,point,cohort,epsilon,method,draw,tracking,parameter_error,feasible,rho
106,discriminating,20,8,ControlAwareDP,0,0.008357278212855545,0.122795201442498,1.0,0.9680861657804032
106,discriminating,20,8,ControlAwareDP,1,0.008395148357440136,0.12491252624489389,1.0,0.9677772243004898
106,discriminating,20,8,ControlAwareDP,2,0.009388170647410066,0.1345046772436913,1.0,0.9670675004157334
106,discriminating,20,8,ControlAwareDP,3,0.009963884093851818,0.13189097965044166,1.0,0.967474106391175
106,discriminating,20,8,ControlAwareDP,4,0.007711754713410562,0.17459268666512437,1.0,0.96819027448745
106,discriminating,20,8,ControlAwareDP,5,0.008420725639987303,0.18939368220108224,1.0,0.9681403835466404
106,discriminating,20,8,ControlAwareDP,6,0.008607308730335588,0.1824796622204896,1.0,0.9682737196856588
106,discriminating,20,8,ControlAwareDP,7,0.007993125211507903,0.17627210763787537,1.0,0.9682286465534486
106,discriminating,20,8,ControlAwareDP,8,0.0075899139510634105,0.12300257945643198,1.0,0.9685269331268294
106,discriminating,20,8,ControlAwareDP,9,0.009866354122126228,0.16790579129612804,1.0,0.9675746754149904
106,discriminating,20,8,FamilyNonPrivate,0,0.0076438987514555025,0.04798531627164877,1.0,0.968108118780976
106,discriminating,20,8,IsotropicDP,0,0.008511456463989249,0.061092306698667116,1.0,0.9680473555572804
106,discriminating,20,8,IsotropicDP,1,0.008583498979024488,0.05669712871390624,1.0,0.9677060319599412
106,discriminating,20,8,IsotropicDP,2,0.010024964686770303,0.07932966028758696,1.0,0.9668867545482672
106,discriminating,20,8,IsotropicDP,3,0.010567029741782382,0.07844848557101372,1.0,0.9672927075978812
106,discriminating,20,8,IsotropicDP,4,0.007704288617052193,0.06494519873937693,1.0,0.968197386166775
106,discriminating,20,8,IsotropicDP,5,0.008760922228830145,0.07668083506489526,1.0,0.968225897996578
106,discriminating,20,8,IsotropicDP,6,0.009094480449469325,0.07684264576936857,1.0,0.968290415654902
106,discriminating,20,8,IsotropicDP,7,0.00799830908606393,0.06518938367954225,1.0,0.968285826519804
106,discriminating,20,8,IsotropicDP,8,0.007879216770796027,0.06285806387097595,1.0,0.96864168942984
106,discriminating,20,8,IsotropicDP,9,0.010513151249357446,0.09258772990248257,1.0,0.9673590953546236
106,discriminating,20,8,Local,0,0.006672486605764586,0.02337122173943072,1.0,0.9684174488911516
106,shared-viable,50,4,ControlAwareDP,0,0.007321175521552124,0.09781747074552653,1.0,0.9683593397079374
106,shared-viable,50,4,ControlAwareDP,1,0.00738718722946293,0.10723387718861102,1.0,0.968546091454184
106,shared-viable,50,4,ControlAwareDP,2,0.007270009257919488,0.05947785531784162,1.0,0.968426062561284
106,shared-viable,50,4,ControlAwareDP,3,0.007230239281902008,0.10434258064226132,1.0,0.96884307102306
106,shared-viable,50,4,ControlAwareDP,4,0.008018073079926894,0.16889966394619654,1.0,0.9679686856788444
106,shared-viable,50,4,ControlAwareDP,5,0.007432723598059267,0.11749613202745288,1.0,0.9685426321917726
106,shared-viable,50,4,ControlAwareDP,6,0.007815156467021763,0.07607324662782264,1.0,0.968005108414219
106,shared-viable,50,4,ControlAwareDP,7,0.007657473209643464,0.10257796987011941,1.0,0.9682626805070638
106,shared-viable,50,4,ControlAwareDP,8,0.007690023117342146,0.049065878966716735,1.0,0.968249144840726
106,shared-viable,50,4,ControlAwareDP,9,0.007447225964948675,0.05430105511123731,1.0,0.968462105612582
106,shared-viable,50,4,FamilyNonPrivate,0,0.007420827640489966,0.04545080693885595,1.0,0.9682942161769128
106,shared-viable,50,4,IsotropicDP,0,0.00729890619609268,0.05415189545590859,1.0,0.968395660100195
106,shared-viable,50,4,IsotropicDP,1,0.007390009308123501,0.06312500365587154,1.0,0.9685932245474989
106,shared-viable,50,4,IsotropicDP,2,0.007308142634097388,0.0542905725526336,1.0,0.9684386863719188
106,shared-viable,50,4,IsotropicDP,3,0.007313821077012342,0.057908694876580145,1.0,0.968976754698356
106,shared-viable,50,4,IsotropicDP,4,0.008199593521128637,0.06606462728186298,1.0,0.9679515698500656
106,shared-viable,50,4,IsotropicDP,5,0.007395461107630043,0.057524901831195976,1.0,0.9686191242815356
106,shared-viable,50,4,IsotropicDP,6,0.007933818576306064,0.049181237210079914,1.0,0.967927542573178
106,shared-viable,50,4,IsotropicDP,7,0.007767588129717618,0.053208324115620806,1.0,0.9683200378289412
106,shared-viable,50,4,IsotropicDP,8,0.007803795863195463,0.047229528215774565,1.0,0.9682471888268248
106,shared-viable,50,4,IsotropicDP,9,0.007517807154333245,0.0491598846174023,1.0,0.9684952226847134
106,shared-viable,50,4,Local,0,0.006672486605764586,0.02337122173943072,1.0,0.9684174488911516
107,discriminating,20,8,ControlAwareDP,0,0.007842965378020848,0.07172505586701443,1.0,0.9676867999124544
107,discriminating,20,8,ControlAwareDP,1,0.007767168822824408,0.15952517923684553,1.0,0.968501489658748
107,discriminating,20,8,ControlAwareDP,2,0.007672712367828039,0.125484929745636,1.0,0.968722188458932
107,discriminating,20,8,ControlAwareDP,3,0.00857134623611879,0.13846561215370415,1.0,0.9686841618164168
107,discriminating,20,8,ControlAwareDP,4,0.008368079847083707,0.1886149558022975,1.0,0.9688115908099422
107,discriminating,20,8,ControlAwareDP,5,0.007616002267035182,0.16157339578781305,1.0,0.9680057959632772
107,discriminating,20,8,ControlAwareDP,6,0.00784079405769978,0.12056185464330063,1.0,0.9677534979862666
107,discriminating,20,8,ControlAwareDP,7,0.007560478707945464,0.07934013681493678,1.0,0.9685008975597184
107,discriminating,20,8,ControlAwareDP,8,0.007755633922102017,0.15332975117757433,1.0,0.96853576775002
107,discriminating,20,8,ControlAwareDP,9,0.008851814082401174,0.15949874177903275,1.0,0.9675518166676808
107,discriminating,20,8,FamilyNonPrivate,0,0.007418225479975862,0.04354122915208984,1.0,0.9680339676021604
107,discriminating,20,8,IsotropicDP,0,0.008034580619703389,0.05246128758255937,1.0,0.9675698665935248
107,discriminating,20,8,IsotropicDP,1,0.007878377730039915,0.07619423439248546,1.0,0.9685912015638706
107,discriminating,20,8,IsotropicDP,2,0.007889172704981762,0.07050940676247688,1.0,0.9688705508880372
107,discriminating,20,8,IsotropicDP,3,0.009305563882480503,0.08443094210522273,1.0,0.9688632143137124
107,discriminating,20,8,IsotropicDP,4,0.008909338965865137,0.07938348604480085,1.0,0.9689651589776492
107,discriminating,20,8,IsotropicDP,5,0.007758103608134854,0.06512639270706878,1.0,0.9679621277135572
107,discriminating,20,8,IsotropicDP,6,0.007858083441108214,0.05769909458016019,1.0,0.9676771307493116
107,discriminating,20,8,IsotropicDP,7,0.007665757391482318,0.05472471188312983,1.0,0.9686039831165408
107,discriminating,20,8,IsotropicDP,8,0.007918460133032827,0.07044747737151577,1.0,0.9686669890957308
