seed,method,selected_k,train_ari,test_ari,candidate_k,silhouette,minimum_size,admissible
116,FixedK3,3,1.0,1.0,3,0.5124626719229981,60,True
116,LearnedKParameter,3,1.0,1.0,2,0.5020892289661952,66,True
116,LearnedKParameter,3,1.0,1.0,3,0.5124626719229981,60,True
116,LearnedKParameter,3,1.0,1.0,4,0.4383163180868535,24,True
116,LearnedKParameter,3,1.0,1.0,5,0.4000699056310056,24,True
116,LearnedKParameter,3,1.0,1.0,6,0.35110663013542,23,True
116,LearnedKParameter,3,1.0,1.0,7,0.3242365251817459,13,True
116,LearnedKParameter,3,1.0,1.0,8,0.2979240168870342,12,True
116,LearnedKControl,3,0.9507015122471382,1.0,2,0.5265991700453886,90,True
116,LearnedKControl,3,0.9507015122471382,1.0,3,0.5434171455426716,59,True
116,LearnedKControl,3,0.9507015122471382,1.0,4,0.472091090952264,23,True
116,LearnedKControl,3,0.9507015122471382,1.0,5,0.4275534284853043,23,True
116,LearnedKControl,3,0.9507015122471382,1.0,6,0.399511635500809,19,True
116,LearnedKControl,3,0.9507015122471382,1.0,7,0.3900639027113481,12,True
116,LearnedKControl,3,0.9507015122471382,1.0,8,0.384983982641165,12,True
117,FixedK3,3,0.9832862676849272,1.0,3,0.5329464339289128,59,True
117,LearnedKParameter,3,0.9832862676849272,1.0,2,0.5062979927955686,63,True
117,LearnedKParameter,3,0.9832862676849272,1.0,3,0.5329464339289128,59,True
117,LearnedKParameter,3,0.9832862676849272,1.0,4,0.4629285973887287,27,True
117,LearnedKParameter,3,0.9832862676849272,1.0,5,0.3708081937909222,25,True
117,LearnedKParameter,3,0.9832862676849272,1.0,6,0.2810092324831473,27,True
117,LearnedKParameter,3,0.9832862676849272,1.0,7,0.2979287274571137,14,True
117,LearnedKParameter,3,0.9832862676849272,1.0,8,0.2886081347665944,13,True
117,LearnedKControl,3,0.9668581972691984,1.0,2,0.5330817482527753,70,True
117,LearnedKControl,3,0.9668581972691984,1.0,3,0.5794868345296009,58,True
117,LearnedKControl,3,0.9668581972691984,1.0,4,0.5064835900892289,28,True
117,LearnedKControl,3,0.9668581972691984,1.0,5,0.4004269066918392,27,True
