seed,method,models,tracking,worst_client,parameter_error,feasible,rho,steering_rms
116,FixedK3,3,0.007419451154952782,0.011065487428374035,0.04737585067229399,1.0,0.9685188794504368,0.7965580909248721
116,Global,1,0.011596184324576167,0.018429237842531733,0.13423958987638177,1.0,0.9670013130988824,0.7965712476524786
116,LearnedKControl,3,0.007418331340215944,0.011065487428374035,0.04732634167368327,1.0,0.9685541557944676,0.7965562809576077
116,LearnedKParameter,3,0.007419451154952782,0.011065487428374035,0.04737585067229399,1.0,0.9685188794504368,0.7965580909248721
116,Local,30,0.006628079361433359,0.0074299371162419,0.022407964681315114,1.0,0.9692342963297154,0.7965371070845985
116,OracleFamily,3,0.007419451154952782,0.011065487428374035,0.04737585067229399,1.0,0.9685188794504368,0.7965580909248721
117,FixedK3,3,0.007690957328752997,0.010607079391932533,0.04935998116210236,1.0,0.9685769342262108,0.8061575885770981
117,Global,1,0.01238351548042605,0.0202042942781579,0.1339456084013469,1.0,0.9669062134901988,0.8061589840621411
117,LearnedKControl,3,0.0076998037498248505,0.0106587973961566,0.049243318770580136,1.0,0.9685670330915368,0.806158916219987
117,LearnedKParameter,3,0.007690957328752997,0.010607079391932533,0.04935998116210236,1.0,0.9685769342262108,0.8061575885770981
117,Local,30,0.006730488976251701,0.007380601371871,0.020999581846150694,1.0,0.9692600687300238,0.8061669433497872
117,OracleFamily,3,0.0076820616383858975,0.010588645171789401,0.049560586186870204,1.0,0.9685814404895288,0.8061563115971114
118,FixedK3,3,0.0076639761382928115,0.0113921997931799,0.04531098532815722,1.0,0.968987718134302,0.7965611428052201
118,Global,1,0.012628046392413808,0.020010878988273466,0.13724150106281607,1.0,0.9676443215784308,0.7965675652263743
118,LearnedKControl,3,0.0076348898016878166,0.011452225902706267,0.04513969015107721,1.0,0.9689804972797637,0.796557630389157
118,LearnedKParameter,3,0.0076639761382928115,0.0113921997931799,0.04531098532815722,1.0,0.968987718134302,0.7965611428052201
118,Local,30,0.00662717916253188,0.0070334166859387336,0.02045397618795354,1.0,0.969157923047246,0.7965462799347471
118,OracleFamily,3,0.007658748186303039,0.011316071315571767,0.04540265730353176,1.0,0.9689994258363864,0.7965601081323848
119,FixedK3,3,0.00748049893752749,0.010921790908880935,0.04396545467134299,1.0,0.9683540432461416,0.8046343775727091
119,Global,1,0.011271372906433383,0.0200093198898873,0.12497275758301468,1.0,0.966853569446751,0.8046405364466599
119,LearnedKControl,3,0.007517975189956899,0.010983622685168533,0.04391709197624634,1.0,0.968343334955016,0.8046392907495925
119,LearnedKParameter,3,0.00748049893752749,0.010921790908880935,0.04396545467134299,1.0,0.9683540432461416,0.8046343775727091
119,Local,30,0.006744290069419164,0.007646113153478899,0.024949805194403835,1.0,0.968869401416668,0.8046154615323982
119,OracleFamily,3,0.00748049893752749,0.010921790908880935,0.04396545467134299,1.0,0.9683540432461416,0.8046343775727091
120,FixedK3,3,0.00706146379064775,0.0092595901451882,0.041917039466933814,1.0,0.9684291763801066,0.8160918066534183
120,Global,1,0.01118257079156266,0.016450961093193568,0.12427570402664752,1.0,0.9669464902423714,0.8160993755688432
120,LearnedKControl,3,0.007058089116770718,0.0092397541653067,0.04215835477375466,1.0,0.9684379760545172,0.8160906780162983
120,LearnedKParameter,3,0.00706146379064775,0.0092595901451882,0.041917039466933814,1.0,0.9684291763801066,0.8160918066534183
120,Local,30,0.006760631561341684,0.007235606941480867,0.02260565834587018,1.0,0.9684439311186812,0.8161368880863806
120,OracleFamily,3,0.007061039836942916,0.009268908470015966,0.04214468483720751,1.0,0.9684411826781452,0.8160906481683128
121,FixedK3,3,0.007442254039527411,0.010264554100377,0.04836044488824549,1.0,0.9688572407243456,0.8086443471159823
121,Global,1,0.011928209700169308,0.019477479926918766,0.13366436542594914,1.0,0.9674830092821086,0.8086533721538643
121,LearnedKControl,3,0.007432961418001167,0.010264554100377,0.048459294026398994,1.0,0.9688572407243456,0.8086408082710477
121,LearnedKParameter,3,0.007442254039527411,0.010264554100377,0.04836044488824549,1.0,0.9688572407243456,0.8086443471159823
121,Local,30,0.006722721235365366,0.007497379850709733,0.02784366842529498,1.0,0.968681189043988,0.8086703979643856
121,OracleFamily,3,0.007442254039527411,0.010264554100377,0.04836044488824549,1.0,0.9688572407243456,0.8086443471159823
122,FixedK3,3,0.0076684441729816715,0.010417901651922168,0.04867970107294357,1.0,0.9685032278071748,0.8005998407879917
122,Global,1,0.01172038443708013,0.0175079705283104,0.12863044578355762,1.0,0.967002949308782,0.8006110954986783
122,LearnedKControl,3,0.007651614450120555,0.010169862645285735,0.049161810601908246,1.0,0.9684977122369184,0.8005992609579919
122,LearnedKParameter,3,0.0076684441729816715,0.010417901651922168,0.04867970107294357,1.0,0.9685032278071748,0.8005998407879917
122,Local,30,0.0066829295417712145,0.0074890044376736,0.022404929673735054,1.0,0.9687882864711272,0.8005724060511403
122,OracleFamily,3,0.007695589120013735,0.0105231618650736,0.04894203296685082,1.0,0.9685032278071748,0.8006033400085111
123,FixedK3,3,0.00784691475994535,0.011063432440207068,0.04535225285388911,1.0,0.9683011272977348,0.7963858314211257
123,Global,1,0.011493525905633725,0.019329641015856235,0.1283771950573633,1.0,0.966807423894217,0.7963972132897151
123,LearnedKControl,3,0.007855298589797804,0.011063432440207068,0.04531196662788527,1.0,0.9682887591668636,0.7963869296114273
123,LearnedKParameter,3,0.00784691475994535,0.011063432440207068,0.04535225285388911,1.0,0.9683011272977348,0.7963858314211257
123,Local,30,0.006666618521941477,0.007728227397148467,0.02186590319249044,1.0,0.9689502213136116,0.7963485459127172
123,OracleFamily,3,0.00784691475994535,0.011063432440207068,0.04535225285388911,1.0,0.9683011272977348,0.7963858314211257
124,FixedK3,3,0.007958725663708715,0.010805327572560133,0.05263003520055072,1.0,0.9684965763759826,0.8085018483084113
124,Global,1,0.011574540000917791,0.018973792939705466,0.12957668393940122,1.0,0.9669295907077092,0.8085073075689247
124,LearnedKControl,2,0.009987819521708347,0.01845310513818173,0.08008073523197427,1.0,0.9684812804036276,0.8084810249925655
124,LearnedKParameter,3,0.007958725663708715,0.010805327572560133,0.05263003520055072,1.0,0.9684965763759826,0.8085018483084113
124,Local,30,0.006718246324656039,0.007360211068394133,0.02596006269581629,1.0,0.9690974068955948,0.8085016764374855
124,OracleFamily,3,0.007958139793676725,0.010806028646027532,0.05276333340217953,1.0,0.9684965763759826,0.8085018210603978
125,FixedK3,3,0.007312034146082911,0.0091985278650853,0.045713805549787066,1.0,0.9689029727525684,0.811240386994833
125,Global,1,0.011222173291657544,0.0192968607395034,0.12373363263966909,1.0,0.9675059212289002,0.8112519867002669
125,LearnedKControl,3,0.00731535629911611,0.009209454663331633,0.04590228381968633,1.0,0.9689038378281284,0.8112411785485784
125,LearnedKParameter,3,0.007312034146082911,0.0091985278650853,0.045713805549787066,1.0,0.9689029727525684,0.811240386994833
125,Local,30,0.00664242947142536,0.007171329134012333,0.020952801922981344,1.0,0.9689368285303548,0.8112477329908991
125,OracleFamily,3,0.007319139188554972,0.009280982484121533,0.04562511801342337,1.0,0.9689048475133398,0.8112420311965213
