seed,regime,kind,method,models,tracking,worst_client,parameter_error,feasible,rho
126,baseline,discrete,Global,1,0.011118693971977336,0.0190145386255177,0.1206713572514868,1.0,0.9670752928644728
126,baseline,discrete,LearnedK,3,0.007756163496360511,0.010278021972636867,0.04772841475437883,1.0,0.9685437919622628
126,baseline,discrete,Local,30,0.0067331773033848675,0.0073940134623908665,0.023229055020519872,1.0,0.9686375568756772
126,baseline,discrete,OracleFamily,3,0.007756163496360511,0.010278021972636867,0.04772841475437883,1.0,0.9685437919622628
126,baseline,discrete,OraclePartition,3,0.007756163496360511,0.010278021972636867,0.04772841475437883,1.0,0.9685437919622628
126,continuous,continuous,Global,1,0.009355040486244208,0.0154665425058942,0.08368840655791746,1.0,0.9655618392065812
126,continuous,continuous,LearnedK,2,0.007810156327032472,0.010525212257026066,0.04400448543514995,1.0,0.9665515107410464
126,continuous,continuous,Local,30,0.006831653746065831,0.0071259691673379,0.020966862332635686,1.0,0.9675452240717318
126,continuous,continuous,OraclePartition,2,0.007853856531356153,0.0114749948372966,0.047110778898510744,1.0,0.9663553751341946
126,high-noise,discrete,Global,1,0.011817623577565047,0.017423325467949034,0.13463822434134484,1.0,0.9674996133657496
126,high-noise,discrete,LearnedK,2,0.009188244056546103,0.0157211809149717,0.09462504586025651,1.0,0.968702866969595
126,high-noise,discrete,Local,30,0.007016645722175542,0.011346389881168234,0.0970777450338653,1.0,0.9695049125998229
126,high-noise,discrete,OracleFamily,3,0.007767006878503478,0.010999842160796467,0.051734566639766534,1.0,0.9689285328255268
126,high-noise,discrete,OraclePartition,3,0.007767006878503478,0.010999842160796467,0.051734566639766534,1.0,0.9689285328255268
126,short-data,discrete,Global,1,0.011688303262305856,0.019226664127843032,0.13113142862245658,1.0,0.9670659298419504
126,short-data,discrete,LearnedK,3,0.011760693740056815,0.022547171919077166,0.1647887711663708,1.0,0.9696488089019548
126,short-data,discrete,Local,30,0.013737832573853614,0.055064144912219636,0.20001074215557876,1.0,0.9709420529676452
126,short-data,discrete,OracleFamily,3,0.007565400484976054,0.011554546420445665,0.052193032048907115,1.0,0.9683492936633504
126,short-data,discrete,OraclePartition,3,0.007565400484976054,0.011554546420445665,0.052193032048907115,1.0,0.9683492936633504
126,unbalanced,discrete,Global,1,0.009701597294344532,0.01604540131030033,0.10988347563664053,1.0,0.9676419699729628
126,unbalanced,discrete,LearnedK,3,0.007873165771869941,0.009945026977288001,0.051101368625075624,1.0,0.9685400180027984
126,unbalanced,discrete,Local,30,0.006602848500052162,0.007070321593670367,0.02071566478103269,1.0,0.9692225507915307
126,unbalanced,discrete,OracleFamily,3,0.007792228278982451,0.009989479929602202,0.04977000600507356,1.0,0.9685889815486628
126,unbalanced,discrete,OraclePartition,3,0.007792228278982451,0.009989479929602202,0.04977000600507356,1.0,0.9685889815486628
127,baseline,discrete,Global,1,0.011512498089631586,0.017727163130885633,0.13301315848845208,1.0,0.9667597021794964
127,baseline,discrete,LearnedK,3,0.007587396395695995,0.011057300374045032,0.047584761962317694,1.0,0.9682170832461569
127,baseline,discrete,Local,30,0.006689448128289895,0.0072716156081384,0.025154337480036374,1.0,0.9681448032638122
127,baseline,discrete,OracleFamily,3,0.0075948874714214165,0.011057300374045032,0.047430833993240544,1.0,0.9682101670509188
127,baseline,discrete,OraclePartition,3,0.0075948874714214165,0.011057300374045032,0.047430833993240544,1.0,0.9682101670509188
127,continuous,continuous,Global,1,0.009515217741444235,0.0173977043402041,0.08141478165124803,1.0,0.9654677719109404
