regime,kind,method,tracking,tracking_std,worst_client,parameter_error,models,models_min,models_max,feasible_rate,rho
baseline,discrete,Global,0.011785740927403107,0.0004912903457237602,0.018588015223560968,0.13023588132105138,1.0,1,1,1.0,0.9676037612643864
baseline,discrete,LearnedK,0.007583002478985924,0.00016659784452047484,0.01038045282576311,0.04796431767410213,3.0,3,3,1.0,0.9690083401305392
baseline,discrete,Local,0.006724085969336405,4.807008089580944e-05,0.007379596118096474,0.022784210927049287,30.0,30,30,1.0,0.969220407821553
baseline,discrete,OracleFamily,0.007577100655001135,0.00016175583176452013,0.010371582705048923,0.047674379961304206,3.0,3,3,1.0,0.9690193253622
baseline,discrete,OraclePartition,0.0075767692329108335,0.00016118666321956787,0.010370023652159168,0.04766072714949257,3.0,3,3,1.0,0.969024722680494
continuous,continuous,Global,0.00925865197399634,0.00015943131090847784,0.015279091922374269,0.07915976388186882,1.0,1,1,1.0,0.9656125851328023
continuous,continuous,LearnedK,0.007661628657976878,0.00011443212020420139,0.010729379009992537,0.043151726427092425,2.0,2,2,1.0,0.9666455141520418
continuous,continuous,Local,0.006840723309045378,4.8523796493014206e-05,0.007260114656651109,0.023016045138619223,30.0,30,30,1.0,0.9676979783867112
continuous,continuous,OraclePartition,0.007694188042815721,0.00011910173556949794,0.011072473517702765,0.0433534656614849,2.0,2,2,1.0,0.9664532854320872
high-noise,discrete,Global,0.01174718271888648,0.0004660831660860232,0.018882522357290415,0.13069132850137938,1.0,1,1,1.0,0.9675519593508976
high-noise,discrete,LearnedK,0.009183808244792016,0.0006203829828763626,0.018293228977322336,0.09217759321584422,2.8,2,6,1.0,0.9688233779494616
high-noise,discrete,Local,0.007066898706047707,0.00014943860851896406,0.01007718543327237,0.09826094773644072,30.0,30,30,1.0,0.9696584453925896
high-noise,discrete,OracleFamily,0.00753408272585567,0.00015610250548613828,0.010540553158220563,0.05013871893091433,3.0,3,3,1.0,0.9689561431465634
high-noise,discrete,OraclePartition,0.007532125927941903,0.00015540358933598372,0.010540110307205081,0.05020703971017295,3.0,3,3,1.0,0.9689561431465634
short-data,discrete,Global,0.011577324344661006,0.0004734568387105742,0.020173794244235346,0.1302704077519542,1.0,1,1,1.0,0.9676905331517816
short-data,discrete,LearnedK,0.012440766649988982,0.0011449737543488341,0.027017686291042044,0.18614396524934684,3.2,2,7,1.0,0.9700332002922508
short-data,discrete,Local,0.01333398997694687,0.001004374743265587,0.035005181871547164,0.2120487823704337,30.0,30,30,1.0,0.9740002674143045
short-data,discrete,OracleFamily,0.007591689428498442,0.0001829560371138314,0.01112357494096261,0.0562843101649181,3.0,3,3,1.0,0.9689407653477335
short-data,discrete,OraclePartition,0.007592467941576418,0.00017767023300187818,0.011144204635092176,0.05642363881943611,3.0,3,3,1.0,0.9689407653477335
unbalanced,discrete,Global,0.009568172850019152,0.0004549464038677107,0.018276852271910875,0.1078371212044503,1.0,1,1,1.0,0.9683404850123772
unbalanced,discrete,LearnedK,0.0075514003108477805,0.00043370530324825956,0.010552923840420707,0.048582314339793056,2.9,2,3,1.0,0.9690633293043648
unbalanced,discrete,Local,0.00663037359972665,3.2445348232513624e-05,0.007232065933984504,0.023911361881700087,30.0,30,30,1.0,0.9694444240830457
unbalanced,discrete,OracleFamily,0.007440794643282224,0.00028763495199189015,0.01006120495063763,0.04723685333266439,3.0,3,3,1.0,0.9690633293043648
unbalanced,discrete,OraclePartition,0.0074418528378373105,0.0002886675914235124,0.0100648951536213,0.04722386227049748,3.0,3,3,1.0,0.9690633293043648
