phase,seed,regime,method,models,tracking,parameter_error,feasible,rho
development,126,high-noise,Global,1,0.011895240003989262,0.1311029864462003,1.0,0.9669333818490586
development,126,high-noise,Local,30,0.007119173649776106,0.09826727351710374,1.0,0.9689156012815404
development,126,high-noise,OracleFamily,3,0.007513004726868552,0.044442317860149516,1.0,0.9684269615252484
development,126,high-noise,PointK,2,0.010167882294763548,0.0878488236089242,1.0,0.9682305861931776
development,126,high-noise,UncertainHard,2,0.00970596229903859,0.07886194609002234,1.0,0.9683326645260906
development,126,high-noise,UncertainSoft,2,0.009609206386560746,0.07374547851207809,1.0,0.9683326443127864
development,126,short-data,Global,1,0.010873192258134278,0.12390302535559373,1.0,0.9672542168749576
development,126,short-data,Local,30,0.013216757319460237,0.2295570245508393,1.0,0.9701210271270644
development,126,short-data,OracleFamily,3,0.00768001852628239,0.053063160909265696,1.0,0.9687673906655352
development,126,short-data,PointK,6,0.013125513251930338,0.2088047002292241,1.0,0.9706145248834
development,126,short-data,UncertainHard,1,0.01112090283826497,0.12277256142863346,1.0,0.967084684553945
development,126,short-data,UncertainSoft,1,0.01112090283826497,0.12277256142863346,1.0,0.967084684553945
development,127,high-noise,Global,1,0.011451277941536601,0.12392318298520223,1.0,0.966398638949744
development,127,high-noise,Local,30,0.0070175585542304325,0.09331619856524427,1.0,0.968416342743466
development,127,high-noise,OracleFamily,3,0.0075532849358083505,0.045965778991845695,1.0,0.9678619620174984
development,127,high-noise,PointK,3,0.009603587442499764,0.09652308761018352,1.0,0.9678613637347898
development,127,high-noise,UncertainHard,2,0.008659865297460028,0.08337078218003605,1.0,0.9677161967022584
development,127,high-noise,UncertainSoft,2,0.008334373153297624,0.07752989371930925,1.0,0.9677161519225308
development,127,short-data,Global,1,0.011452731057283956,0.13619226252086153,1.0,0.9668106891470356
development,127,short-data,Local,30,0.01403082619177936,0.23523274565824837,1.0,0.9689140716127276
development,127,short-data,OracleFamily,3,0.007894317635252003,0.07541784194118976,1.0,0.9675781814880022
development,127,short-data,PointK,3,0.014028855963832894,0.19851238230924023,1.0,0.9691628467067612
development,127,short-data,UncertainHard,1,0.011729068514323824,0.1356228011298875,1.0,0.9666635510292402
development,127,short-data,UncertainSoft,1,0.011729068514323824,0.1356228011298875,1.0,0.9666635510292402
development,128,high-noise,Global,1,0.013029973196709692,0.13310772313319139,1.0,0.9668339844965682
development,128,high-noise,Local,30,0.006905894890814007,0.09820749164922576,1.0,0.9686972371930632
development,128,high-noise,OracleFamily,3,0.007800355500530242,0.05081109487817408,1.0,0.9683722294991316
development,128,high-noise,PointK,3,0.00934275151478435,0.10673392868585771,1.0,0.968220622641417
development,128,high-noise,UncertainHard,2,0.00820685543956315,0.0820457488667009,1.0,0.9679949224613852
development,128,high-noise,UncertainSoft,2,0.008175057890935988,0.08196218922584377,1.0,0.967994922461385
development,128,short-data,Global,1,0.012276504993902117,0.12974099597859476,1.0,0.9670607587519614
development,128,short-data,Local,30,0.011324676281690604,0.19948929082747877,1.0,0.9707281143424592
development,128,short-data,OracleFamily,3,0.0076854521275830845,0.050941698882811894,1.0,0.9685585390718208
development,128,short-data,PointK,4,0.011360778056407825,0.1595489431222072,1.0,0.9696393146613138
development,128,short-data,UncertainHard,1,0.012486549548515488,0.13023078440598762,1.0,0.9669448555555364
development,128,short-data,UncertainSoft,1,0.012486549548515488,0.13023078440598762,1.0,0.9669448555555364
development,129,high-noise,Global,1,0.0120429446156031,0.13020498206059294,1.0,0.967221249789299
development,129,high-noise,Local,30,0.0071940145411231345,0.10662889763128067,1.0,0.9691900262254196
development,129,high-noise,OracleFamily,3,0.00785660296040461,0.04853382150821529,1.0,0.9686996060764584
development,129,high-noise,PointK,2,0.010595492459274911,0.10756174627338871,1.0,0.9685448084235128
development,129,high-noise,UncertainHard,2,0.008552701381633384,0.09384360789975216,1.0,0.9683405897904191
development,129,high-noise,UncertainSoft,2,0.008103518656213652,0.08823055335679299,1.0,0.9683405897903588
development,129,short-data,Global,1,0.011767581385173562,0.1313599991347323,1.0,0.9672435899799784
development,129,short-data,Local,30,0.010638027561231425,0.1758399197569526,1.0,0.9704232103762984
development,129,short-data,OracleFamily,3,0.007518912484068531,0.05258094372054708,1.0,0.9685023945720712
development,129,short-data,PointK,6,0.011711719007390929,0.17521552314052963,1.0,0.9698401650223611
development,129,short-data,UncertainHard,1,0.011967994441657557,0.13224423035131908,1.0,0.96713712414279
development,129,short-data,UncertainSoft,1,0.011967994441657557,0.13224423035131908,1.0,0.96713712414279
development,130,high-noise,Global,1,0.012328348864689302,0.13427659675404421,1.0,0.9670833771356362
development,130,high-noise,Local,30,0.007325222720699962,0.09703729657173736,1.0,0.9687843360841196
development,130,high-noise,OracleFamily,3,0.007480070895783561,0.04470779037626869,1.0,0.9685912452576464
development,130,high-noise,PointK,2,0.01013582240845366,0.0916727604790192,1.0,0.9685105919034
development,130,high-noise,UncertainHard,2,0.007471725417391223,0.08180670671510983,1.0,0.9682060308423877
development,130,high-noise,UncertainSoft,2,0.007446953957703562,0.07949065303751174,1.0,0.9682060308023523
development,130,short-data,Global,1,0.011020288025013326,0.12504859332540705,1.0,0.9671139608925244
development,130,short-data,Local,30,0.013251177294672633,0.21997566202818047,1.0,0.9709762706941492
development,130,short-data,OracleFamily,3,0.008000170670688282,0.05624361615442618,1.0,0.9682182084472948
development,130,short-data,PointK,2,0.011959708546824646,0.21028366370571597,1.0,0.968203646400717
development,130,short-data,UncertainHard,1,0.011188099257320986,0.12538336039285952,1.0,0.9669463455506884
development,130,short-data,UncertainSoft,1,0.011188099257320986,0.12538336039285952,1.0,0.9669463455506884
development,131,high-noise,Global,1,0.011822392590248854,0.1294289208752662,1.0,0.9669922780098116
development,131,high-noise,Local,30,0.007153680686523143,0.09472025130066979,1.0,0.968577854506566
development,131,high-noise,OracleFamily,3,0.00759366874786721,0.05030699437294105,1.0,0.9685105313770718
development,131,high-noise,PointK,2,0.009493110115908778,0.08300718923540036,1.0,0.968249393820389
development,131,high-noise,UncertainHard,2,0.007757441251576311,0.08432864392700011,1.0,0.9681205009932142
development,131,high-noise,UncertainSoft,2,0.007642328817828743,0.08128806812684251,1.0,0.9681205008642996
development,131,short-data,Global,1,0.011388873339440614,0.13821339031933294,1.0,0.9671151858319744
development,131,short-data,Local,30,0.014990654775541927,0.2436578326778132,1.0,0.9709528803758476
development,131,short-data,OracleFamily,3,0.007492210485704244,0.06362250105794263,1.0,0.968497011858503
development,131,short-data,PointK,2,0.010057799605650846,0.15974709757491942,1.0,0.9684586203264288
development,131,short-data,UncertainHard,1,0.011577839722101777,0.13679143436197053,1.0,0.9669623146428732
development,131,short-data,UncertainSoft,1,0.011577839722101777,0.13679143436197053,1.0,0.9669623146428732
development,132,high-noise,Global,1,0.011774288651206246,0.12704827928062087,1.0,0.9668224797648062
development,132,high-noise,Local,30,0.007282509610086197,0.09735307218914707,1.0,0.9704729049668992
development,132,high-noise,OracleFamily,3,0.00783146016989619,0.05170965773617933,1.0,0.9684136508275514
development,132,high-noise,PointK,2,0.010867727869859987,0.10115975542025168,1.0,0.9683462958653544
development,132,high-noise,UncertainHard,2,0.008413635329740123,0.08573582317855553,1.0,0.9679532210480752
development,132,high-noise,UncertainSoft,2,0.008259838803339031,0.083461727884069,1.0,0.9679532210480464
development,132,short-data,Global,1,0.011725804271412489,0.1382664492728187,1.0,0.9677390379071226
development,132,short-data,Local,30,0.014620618185980958,0.21704998575199835,1.0,0.9731196991896934
development,132,short-data,OracleFamily,3,0.007375879729528277,0.04884425895363887,1.0,0.969164545342268
development,132,short-data,PointK,2,0.011020636490836915,0.15979022464734632,1.0,0.9694255404059376
development,132,short-data,UncertainHard,1,0.012031127382614387,0.1381380236910899,1.0,0.967580085027672
