phase,regime,method,tracking,tracking_std,parameter_error,models,models_min,models_max,feasible_rate,rho
development,high-noise,Global,0.011994296208173336,0.00045338069378294263,0.12844028258333487,1.0,1,1,1.0,0.967221249789299
development,high-noise,Local,0.007111318969452914,0.0001344445035968127,0.09543538783351459,30.0,30,30,1.0,0.9704729049668992
development,high-noise,OracleFamily,0.007631987547716693,0.00014848610811874353,0.04735666820713786,3.0,3,3,1.0,0.9686996060764584
development,high-noise,PointK,0.00971548511820083,0.0007751891808262027,0.09437949336094124,2.3,2,3,1.0,0.9685448084235128
development,high-noise,UncertainHard,0.008168687535454891,0.000692220988210701,0.08117107238799129,2.0,2,2,1.0,0.9683405897904191
development,high-noise,UncertainSoft,0.008037570226349138,0.0006417583928120294,0.07865732605455492,2.0,2,2,1.0,0.9683405897903588
development,short-data,Global,0.011591478631244986,0.00044228682793376995,0.13239719038354586,1.0,1,1,1.0,0.9677390379071226
development,short-data,Local,0.013117289906013999,0.0015420044893273638,0.2128823273145529,30.0,30,30,1.0,0.9731196991896934
development,short-data,OracleFamily,0.007597120418360974,0.0002122709935339616,0.05741037213840376,3.0,3,3,1.0,0.969164545342268
development,short-data,PointK,0.011887335366503896,0.0012903052860281645,0.17842788072002458,3.6,2,7,1.0,0.9706145248834
development,short-data,UncertainHard,0.011810068659946025,0.00044527211516694627,0.13217384041739424,1.0,1,1,1.0,0.967580085027672
development,short-data,UncertainSoft,0.011810068659946025,0.00044527211516694627,0.13217384041739424,1.0,1,1,1.0,0.967580085027672
