phase,seed,method,models,mean_calibration_seconds,tracking,parameter_error,feasible,rho
confirmation,136,AdaptiveSoft,2,1.75,0.00749038718074776,0.08011196180760441,1.0,0.9679111359411752
confirmation,136,FixedFullSoft,3,2.75,0.007460113600957053,0.043119053154610676,1.0,0.9683335545415775
confirmation,136,GlobalAdaptive,1,1.75,0.012113739476890657,0.13332167984043178,1.0,0.9668338212410934
confirmation,136,LocalAdaptive,30,1.75,0.006892785033290591,0.07000786631027073,1.0,0.9687720493688206
confirmation,136,OracleAdaptive,3,1.75,0.007472977751039749,0.044296384570433785,1.0,0.968275754238824
confirmation,136,ShortPoint,3,0.75,0.012754069048661146,0.18802694592792243,1.0,0.969270776057246
confirmation,137,AdaptiveSoft,3,1.75,0.007467143812868134,0.04788480405576263,1.0,0.9681526412357344
confirmation,137,FixedFullSoft,3,2.75,0.00744370502482985,0.045640492895021256,1.0,0.9681637077360736
confirmation,137,GlobalAdaptive,1,1.75,0.011452825738814424,0.12499532205631475,1.0,0.9664980561650404
confirmation,137,LocalAdaptive,30,1.75,0.006816317620220745,0.07264435185938209,1.0,0.969280456173246
confirmation,137,OracleAdaptive,3,1.75,0.007514488643767344,0.04658937758157603,1.0,0.9681607187629516
confirmation,137,ShortPoint,3,0.75,0.00964416310897853,0.15055115898878133,1.0,0.969063742914846
confirmation,138,AdaptiveSoft,3,1.75,0.0076092792564022805,0.046578912007407505,1.0,0.9684026890154654
confirmation,138,FixedFullSoft,3,2.75,0.007688394615870305,0.045643599065743855,1.0,0.9684741597571558
confirmation,138,GlobalAdaptive,1,1.75,0.011780185619990707,0.1278813824424093,1.0,0.9670355663288126
confirmation,138,LocalAdaptive,30,1.75,0.006847207199284205,0.062019685391633265,1.0,0.9689636314766976
confirmation,138,OracleAdaptive,3,1.75,0.007727539212627104,0.04630920557331907,1.0,0.968402216938434
confirmation,138,ShortPoint,2,0.75,0.011059194885867783,0.18629900593209225,1.0,0.9688791456368968
confirmation,139,AdaptiveSoft,3,1.75,0.007409058008031278,0.050602578965474106,1.0,0.9687597483771588
confirmation,139,FixedFullSoft,3,2.75,0.007295784843470268,0.047494660738273124,1.0,0.9687936692992448
confirmation,139,GlobalAdaptive,1,1.75,0.01249686366182481,0.1398322034161929,1.0,0.9674479822642984
confirmation,139,LocalAdaptive,30,1.75,0.0070036932344085786,0.06335004188966789,1.0,0.9691871338364956
confirmation,139,OracleAdaptive,3,1.75,0.007306149834824483,0.05045765670691167,1.0,0.968806230919196
confirmation,139,ShortPoint,3,0.75,0.011758987118599256,0.18471074896505565,1.0,0.9691458995745322
confirmation,140,AdaptiveSoft,3,1.75,0.007554170975430759,0.053707868675381396,1.0,0.9691730157412992
confirmation,140,FixedFullSoft,3,2.75,0.00746294692423044,0.04832312361743561,1.0,0.9691670074269232
confirmation,140,GlobalAdaptive,1,1.75,0.011694956504931464,0.1320287529661354,1.0,0.9676644295863092
confirmation,140,LocalAdaptive,30,1.75,0.006931500331734535,0.06397077109632437,1.0,0.9696484730307562
confirmation,140,OracleAdaptive,3,1.75,0.007434596873203251,0.0506148921516812,1.0,0.9691621347107016
confirmation,140,ShortPoint,2,0.75,0.010923889048190817,0.1705146394397393,1.0,0.9686633510658867
confirmation,141,AdaptiveSoft,3,1.75,0.007419606794274672,0.041091754822937955,1.0,0.9678108124398688
confirmation,141,FixedFullSoft,3,2.75,0.007395538814957461,0.03885058736434143,1.0,0.967845883954621
confirmation,141,GlobalAdaptive,1,1.75,0.011063574967271218,0.11866760487077099,1.0,0.9662339927205476
confirmation,141,LocalAdaptive,30,1.75,0.006912072995257765,0.06699337444663499,1.0,0.9684795955298432
confirmation,141,OracleAdaptive,3,1.75,0.007453195243576685,0.041685899568491024,1.0,0.967814978252476
confirmation,141,ShortPoint,3,0.75,0.012995796803427492,0.1855418066836774,1.0,0.9691672770651616
confirmation,142,AdaptiveSoft,2,1.75,0.00945681892208653,0.07652022832252078,1.0,0.9683438279583004
confirmation,142,FixedFullSoft,3,2.75,0.007344873853185026,0.04854999592915735,1.0,0.968311387279746
confirmation,142,GlobalAdaptive,1,1.75,0.011027120064950612,0.13125108548410605,1.0,0.96678404566382
confirmation,142,LocalAdaptive,30,1.75,0.006809470472800814,0.07230071756222671,1.0,0.9685251367946291
confirmation,142,OracleAdaptive,3,1.75,0.007408713907930548,0.04841359715033102,1.0,0.9683329446720674
confirmation,142,ShortPoint,3,0.75,0.011949389068209802,0.1539765335537965,1.0,0.9684224100127952
confirmation,143,AdaptiveSoft,3,1.75,0.007512424755595142,0.0431418124140036,1.0,0.968023492685055
confirmation,143,FixedFullSoft,3,2.75,0.007628732275352729,0.044948985049537385,1.0,0.9680766364710678
confirmation,143,GlobalAdaptive,1,1.75,0.011518053662207477,0.1263218506198983,1.0,0.9664700561124074
confirmation,143,LocalAdaptive,30,1.75,0.006716005996556857,0.06046980959454089,1.0,0.9682624998282424
confirmation,143,OracleAdaptive,3,1.75,0.007676210045971272,0.044196968733056986,1.0,0.9680001413590292
confirmation,143,ShortPoint,3,0.75,0.012674639714989985,0.18750345235171934,1.0,0.9688863768972668
confirmation,144,AdaptiveSoft,3,1.75,0.008028845003865644,0.047412750348056594,1.0,0.96796451082172
confirmation,144,FixedFullSoft,3,2.75,0.007967084965161419,0.04503799870266041,1.0,0.9679590428396928
confirmation,144,GlobalAdaptive,1,1.75,0.01153460689830705,0.12732502394019057,1.0,0.9663853763780772
confirmation,144,LocalAdaptive,30,1.75,0.007221927993001765,0.06650914573106556,1.0,0.9688966045009766
confirmation,144,OracleAdaptive,3,1.75,0.007950577048847716,0.04564993314092329,1.0,0.9679595968902992
confirmation,144,ShortPoint,3,0.75,0.010956397560184152,0.1630265723821447,1.0,0.969165909468721
confirmation,145,AdaptiveSoft,3,1.75,0.007630245216447822,0.04673128069784324,1.0,0.9675118997866894
confirmation,145,FixedFullSoft,3,2.75,0.007438954074682622,0.04367429400457204,1.0,0.9675018010121555
confirmation,145,GlobalAdaptive,1,1.75,0.011604429897417204,0.12425340970010959,1.0,0.9659427532288936
confirmation,145,LocalAdaptive,30,1.75,0.0069176523107007315,0.06083800909656696,1.0,0.9678712179095168
confirmation,145,OracleAdaptive,3,1.75,0.007476499862159652,0.04556178094307378,1.0,0.9674778436311416
confirmation,145,ShortPoint,2,0.75,0.011946702037964522,0.18893311349050437,1.0,0.9677201037371193
development,126,AdaptiveSoft,3,1.75,0.007629907910325897,0.046675092299011775,1.0,0.9685348352532852
development,126,FixedFullSoft,3,2.75,0.007717804733203822,0.047478950757416885,1.0,0.968532957095582
development,126,GlobalAdaptive,1,1.75,0.011162072411448978,0.12076829211093987,1.0,0.9670482709513796
development,126,LocalAdaptive,30,1.75,0.006848143576067821,0.05726311001390786,1.0,0.9686943083081891
development,126,OracleAdaptive,3,1.75,0.0077909414912071175,0.04788029034224754,1.0,0.9685325784041424
development,126,ShortPoint,2,0.75,0.011103402485126063,0.17029830267712873,1.0,0.9688907614835612
development,127,AdaptiveSoft,3,1.75,0.0076553278852550775,0.051807637415247104,1.0,0.9682175287619116
development,127,FixedFullSoft,3,2.75,0.007601576479715249,0.05083400399057673,1.0,0.9681879280172954
development,127,GlobalAdaptive,1,1.75,0.011548868190516785,0.1347688896883536,1.0,0.9667490870416232
development,127,LocalAdaptive,30,1.75,0.0067585491009499975,0.06425261765990993,1.0,0.9682036276976056
development,127,OracleAdaptive,3,1.75,0.00763089751656651,0.051576314306763425,1.0,0.9682008100581734
development,127,ShortPoint,3,0.75,0.013014002097167807,0.19343351589453417,1.0,0.9699109623719124
development,128,AdaptiveSoft,3,1.75,0.007665416539625729,0.04978583611559195,1.0,0.9684985304927016
development,128,FixedFullSoft,3,2.75,0.007746022855919214,0.050244894019772564,1.0,0.968464501648893
development,128,GlobalAdaptive,1,1.75,0.012414688209194504,0.1287584592156728,1.0,0.9669703808533396
development,128,LocalAdaptive,30,1.75,0.006877512166401044,0.057072014488669005,1.0,0.9690272105073456
development,128,OracleAdaptive,3,1.75,0.0076982761053500425,0.05033838141239934,1.0,0.9684997010750618
development,128,ShortPoint,3,0.75,0.014327562576078538,0.2167429017410045,1.0,0.96886185931106
development,129,AdaptiveSoft,2,1.75,0.009972186806275657,0.07899783185464873,1.0,0.9690501526576364
development,129,FixedFullSoft,3,2.75,0.007304173801795813,0.04811503740960446,1.0,0.968998735749962
development,129,GlobalAdaptive,1,1.75,0.011334730738431355,0.12938785223038157,1.0,0.9674943877812304
development,129,LocalAdaptive,30,1.75,0.006913732107030854,0.0539378960288821,1.0,0.9690167275225408
development,129,OracleAdaptive,3,1.75,0.0073352928466590426,0.048878900216055274,1.0,0.9690386867803268
development,129,ShortPoint,2,0.75,0.013393235900166634,0.17993105089300715,1.0,0.9691864241683834
development,130,AdaptiveSoft,3,1.75,0.007713498426963861,0.05124528677282592,1.0,0.9683265736814388
development,130,FixedFullSoft,3,2.75,0.00774550626431594,0.04863268428629279,1.0,0.9683414748030752
development,130,GlobalAdaptive,1,1.75,0.011351893380836614,0.1254567613196856,1.0,0.9668131974598024
development,130,LocalAdaptive,30,1.75,0.00696972527305968,0.07049896167278204,1.0,0.9687429774316322
development,130,OracleAdaptive,3,1.75,0.007853622940981608,0.05171561117896509,1.0,0.9683190160044814
development,130,ShortPoint,2,0.75,0.01187173096783048,0.16377077953869354,1.0,0.9687233565034304
development,131,AdaptiveSoft,3,1.75,0.00751351324937896,0.05005097481640237,1.0,0.968320430887668
development,131,FixedFullSoft,3,2.75,0.007514129115624451,0.05021287294586,1.0,0.9683014423872432
development,131,GlobalAdaptive,1,1.75,0.011846812739662373,0.1353150762385203,1.0,0.9667741722928108
development,131,LocalAdaptive,30,1.75,0.006777481265508277,0.06812831596365687,1.0,0.9686930783559736
development,131,OracleAdaptive,3,1.75,0.007534422950641718,0.0505461805920651,1.0,0.9683009928111206
development,131,ShortPoint,3,0.75,0.013291628374529046,0.19960650811023473,1.0,0.9695193215935912
development,132,AdaptiveSoft,3,1.75,0.007690562493496598,0.04760348670164685,1.0,0.9689393350046168
development,132,FixedFullSoft,3,2.75,0.00773062607225223,0.04660833227749074,1.0,0.9689362873603368
development,132,GlobalAdaptive,1,1.75,0.011984340927531253,0.13749965908822231,1.0,0.9675984303696056
development,132,LocalAdaptive,30,1.75,0.007051356594158413,0.06908026702688906,1.0,0.9691082270980024
development,132,OracleAdaptive,3,1.75,0.007684198347185467,0.04743111771200601,1.0,0.9689408239205832
development,132,ShortPoint,2,0.75,0.011811227917184386,0.1546277797141798,1.0,0.9690514177037785
development,133,AdaptiveSoft,3,1.75,0.007444239453562646,0.04708688916190571,1.0,0.9686530090575712
development,133,FixedFullSoft,3,2.75,0.0074084634104767694,0.04700804755582383,1.0,0.9686826967155288
development,133,GlobalAdaptive,1,1.75,0.012573320050361585,0.1356002663449295,1.0,0.9671209717579696
development,133,LocalAdaptive,30,1.75,0.007402802733094139,0.08101935904605927,1.0,0.9690797621168248
development,133,OracleAdaptive,3,1.75,0.007415462660838079,0.04723576746075622,1.0,0.9686650647228936
development,133,ShortPoint,2,0.75,0.011571105353805894,0.15540383008531833,1.0,0.9691579805124002
development,134,AdaptiveSoft,3,1.75,0.00767897284779158,0.048973237149147024,1.0,0.9684954062487622
development,134,FixedFullSoft,3,2.75,0.007715701724698434,0.04838827037367746,1.0,0.9685147138372584
development,134,GlobalAdaptive,1,1.75,0.012090604929601035,0.13122788973876906,1.0,0.9670480684268592
development,134,LocalAdaptive,30,1.75,0.006966208055035077,0.06357521766802993,1.0,0.9693128685996132
development,134,OracleAdaptive,3,1.75,0.007668468978916265,0.048707095770394226,1.0,0.9685009246892154
development,134,ShortPoint,3,0.75,0.012112716001549968,0.1884025243375228,1.0,0.9694259119300674
development,135,AdaptiveSoft,3,1.75,0.007894736839256034,0.05183496156964291,1.0,0.968733540299544
development,135,FixedFullSoft,3,2.75,0.007458885598204562,0.048765988747871226,1.0,0.968749412444596
development,135,GlobalAdaptive,1,1.75,0.011783022468975621,0.12487849711646448,1.0,0.9671568962705944
development,135,LocalAdaptive,30,1.75,0.007169458523300406,0.06661039973836069,1.0,0.9690139849334052
development,135,OracleAdaptive,3,1.75,0.0074920030452024985,0.0492177618331437,1.0,0.9686913213348318
development,135,ShortPoint,2,0.75,0.010489402394147805,0.1683462834143291,1.0,0.9687146581663748
