phase,method,tracking,tracking_std,parameter_error,models,models_min,models_max,calibration_seconds,feasible_rate,rho
confirmation,AdaptiveSoft,0.0077577979925750025,0.0006229071067152682,0.05337839521169922,2.8,2,3,1.75,1.0,0.9691730157412992
confirmation,FixedFullSoft,0.007512612899269718,0.00019865707964811306,0.04512827905213531,3.0,3,3,2.75,1.0,0.9691670074269232
confirmation,GlobalAdaptive,0.011628635649260564,0.0004409825963189389,0.12858783153365597,1.0,1,1,1.75,1.0,0.9676644295863092
confirmation,LocalAdaptive,0.006906863318725659,0.00013632467988976052,0.06591037729783135,30.0,30,30,1.75,1.0,0.9696484730307562
confirmation,OracleAdaptive,0.007542094842394781,0.00018914887245183093,0.04637756961197979,3.0,3,3,1.75,1.0,0.9691621347107016
confirmation,ShortPoint,0.011666322839507349,0.0010353559546576621,0.17590839777154332,2.7,2,3,0.75,1.0,0.969270776057246
development,AdaptiveSoft,0.007885836245193203,0.0007426987510996083,0.05240612338560704,2.9,2,3,1.75,1.0,0.9690501526576364
development,FixedFullSoft,0.007594289005620649,0.00016261255281236383,0.048628908236438666,3.0,3,3,2.75,1.0,0.968998735749962
development,GlobalAdaptive,0.011809035404656009,0.0004694270033342548,0.13036616430919393,1.0,1,1,1.75,1.0,0.9675984303696056
development,LocalAdaptive,0.00697349693946057,0.0001949236264128697,0.06514381593071468,30.0,30,30,1.75,1.0,0.9693128685996132
development,OracleAdaptive,0.007610358688354834,0.00016404201202757307,0.0493527420824796,3.0,3,3,1.75,1.0,0.9690386867803268
development,ShortPoint,0.012298601406758662,0.001178420106080329,0.17905634764059528,2.4,2,3,0.75,1.0,0.9699109623719124
