condition,method,tracking_vs_local_pct
load_shift,ExactIndividual,-3.914809878939096
load_shift,SwapWithinFamily,22.636195103329413
load_shift,ExactFamily,7.9061379631568895
load_shift,GlobalExact,65.5753793462735
load_shift,ExactDeployment,-9.482026773117125
nominal,ExactIndividual,-3.893900207574519
nominal,SwapWithinFamily,22.884858266211026
nominal,ExactFamily,7.849544412942744
nominal,GlobalExact,66.88600771785845
nominal,ExactDeployment,-3.893900207574519
tire_fade,ExactIndividual,-4.074712330870223
tire_fade,SwapWithinFamily,23.33351386239555
tire_fade,ExactFamily,8.17593971221131
tire_fade,GlobalExact,67.27908672943556
tire_fade,ExactDeployment,-10.343103535974308
