method,metric,spearman,p_value
ExactFamily,parameter_error,0.3953457260636229,1.1538562596046921e-12
ExactFamily,gain_error,0.7574061934021489,4.140919690354651e-57
ExactFamily,prediction_error,0.7081065345170502,5.971739457121923e-47
ExactIndividual,parameter_error,,
ExactIndividual,gain_error,,
ExactIndividual,prediction_error,0.5331445904954499,1.9683904287581066e-23
GlobalExact,parameter_error,0.719734219269103,3.781277524105562e-49
GlobalExact,gain_error,0.8733292592139912,4.3763687869684124e-95
GlobalExact,prediction_error,0.9374628606984522,1.3021240201873275e-138
Local,parameter_error,0.028853209480105335,0.6186464484630156
Local,gain_error,0.21622862476249735,0.0001604569163223684
Local,prediction_error,0.32545294947721637,7.86361359047356e-09
SwapWithinFamily,parameter_error,0.1532892587695419,0.007821007946384436
SwapWithinFamily,gain_error,0.6997113301258903,1.9826932570735905e-45
SwapWithinFamily,prediction_error,0.7375935288169868,9.439141919770107e-53
