family,kind,rank,training_variance_captured
handling,Control,0,0.0
handling,Control,1,0.6417727337606212
handling,Control,2,0.9983284914190177
handling,Control,3,1.0
handling,Parameter,0,0.0
handling,Parameter,1,0.5669491275844496
handling,Parameter,2,0.8604089122138519
handling,Parameter,3,1.0
heavy,Control,0,0.0
heavy,Control,1,0.6620813388182605
heavy,Control,2,0.9975240760399853
heavy,Control,3,1.0
heavy,Parameter,0,0.0
heavy,Parameter,1,0.5578437892570715
heavy,Parameter,2,0.8743490951140963
heavy,Parameter,3,1.0
nominal,Control,0,0.0
nominal,Control,1,0.6903154164480811
nominal,Control,2,0.9981245883398315
nominal,Control,3,1.0
nominal,Parameter,0,0.0
nominal,Parameter,1,0.5357501551080937
nominal,Parameter,2,0.8682271855162897
nominal,Parameter,3,1.0
