seed,method,shared_parameters,local_coordinates,tracking,feasible
156,ControlRank1,6,1,0.006846294739135257,1.0
156,ControlRank2,9,2,0.006671880088166137,1.0
156,ControlRank3,12,3,0.0066540191893956265,1.0
156,ExactFamily,3,0,0.007509424520820358,1.0
156,ExactIndividual,0,3,0.006654019189395624,1.0
156,Local,0,3,0.006927530687465163,1.0
156,ParameterRank1,6,1,0.007488385683869021,1.0
156,ParameterRank2,9,2,0.006674835942482169,1.0
156,ParameterRank3,12,3,0.0066540191893956265,1.0
157,ControlRank1,6,1,0.0070731253372889,1.0
157,ControlRank2,9,2,0.006679870830357647,1.0
157,ControlRank3,12,3,0.006664792017759039,1.0
157,ExactFamily,3,0,0.007671343615745291,1.0
157,ExactIndividual,0,3,0.006664792017759046,1.0
157,Local,0,3,0.006967814030644407,1.0
157,ParameterRank1,6,1,0.007643039605262458,1.0
157,ParameterRank2,9,2,0.006661595181713817,1.0
157,ParameterRank3,12,3,0.006664792017759039,1.0
158,ControlRank1,6,1,0.0068201765900857605,1.0
158,ControlRank2,9,2,0.006769640834106659,1.0
158,ControlRank3,12,3,0.006754934871868869,1.0
158,ExactFamily,3,0,0.0074972806036389845,1.0
158,ExactIndividual,0,3,0.006754934871868882,1.0
158,Local,0,3,0.007031927301523902,1.0
158,ParameterRank1,6,1,0.007518268890353379,1.0
158,ParameterRank2,9,2,0.006749433767738318,1.0
158,ParameterRank3,12,3,0.006754934871868869,1.0
159,ControlRank1,6,1,0.007115123989266629,1.0
159,ControlRank2,9,2,0.006706639125820166,1.0
159,ControlRank3,12,3,0.006685802316219528,1.0
159,ExactFamily,3,0,0.007924101501912226,1.0
159,ExactIndividual,0,3,0.006685802316219529,1.0
159,Local,0,3,0.007057249152352747,1.0
159,ParameterRank1,6,1,0.007799883570890792,1.0
159,ParameterRank2,9,2,0.0066838616421552,1.0
159,ParameterRank3,12,3,0.006685802316219528,1.0
160,ControlRank1,6,1,0.00690153810803551,1.0
160,ControlRank2,9,2,0.006742092560760661,1.0
160,ControlRank3,12,3,0.006714293169646257,1.0
160,ExactFamily,3,0,0.007631599357009729,1.0
160,ExactIndividual,0,3,0.0067142931696462585,1.0
160,Local,0,3,0.006906049606861615,1.0
160,ParameterRank1,6,1,0.007583555464883195,1.0
160,ParameterRank2,9,2,0.006718657670349371,1.0
160,ParameterRank3,12,3,0.006714293169646257,1.0
161,ControlRank1,6,1,0.00692964310639856,1.0
161,ControlRank2,9,2,0.006699707796602353,1.0
161,ControlRank3,12,3,0.006683036299913614,1.0
161,ExactFamily,3,0,0.007234110560183524,1.0
161,ExactIndividual,0,3,0.00668303629991363,1.0
161,Local,0,3,0.006860528147995476,1.0
161,ParameterRank1,6,1,0.007208936763883266,1.0
161,ParameterRank2,9,2,0.006684149361897312,1.0
161,ParameterRank3,12,3,0.006683036299913614,1.0
162,ControlRank1,6,1,0.007006484780001727,1.0
162,ControlRank2,9,2,0.0067464386025329155,1.0
162,ControlRank3,12,3,0.006730945327621923,1.0
162,ExactFamily,3,0,0.0075637654356763,1.0
162,ExactIndividual,0,3,0.006730945327621919,1.0
162,Local,0,3,0.0070935393706062465,1.0
162,ParameterRank1,6,1,0.0073129251931534425,1.0
162,ParameterRank2,9,2,0.00674500551939347,1.0
162,ParameterRank3,12,3,0.006730945327621923,1.0
163,ControlRank1,6,1,0.006972359361351964,1.0
163,ControlRank2,9,2,0.006718774852234617,1.0
163,ControlRank3,12,3,0.006703616844910542,1.0
163,ExactFamily,3,0,0.0072977191021510145,1.0
163,ExactIndividual,0,3,0.0067036168449105225,1.0
163,Local,0,3,0.00705247690531451,1.0
163,ParameterRank1,6,1,0.00724376219267848,1.0
163,ParameterRank2,9,2,0.0066989642633509825,1.0
163,ParameterRank3,12,3,0.006703616844910542,1.0
164,ControlRank1,6,1,0.006960924567131997,1.0
164,ControlRank2,9,2,0.006709822238066866,1.0
164,ControlRank3,12,3,0.00668501169449158,1.0
164,ExactFamily,3,0,0.007271798292777564,1.0
164,ExactIndividual,0,3,0.006685011694491585,1.0
164,Local,0,3,0.006931704563942804,1.0
164,ParameterRank1,6,1,0.007255314452264425,1.0
164,ParameterRank2,9,2,0.006686936353868873,1.0
164,ParameterRank3,12,3,0.00668501169449158,1.0
165,ControlRank1,6,1,0.0068917456453807735,1.0
165,ControlRank2,9,2,0.006754896368121906,1.0
165,ControlRank3,12,3,0.006735997069349736,1.0
165,ExactFamily,3,0,0.007621123830804425,1.0
165,ExactIndividual,0,3,0.006735997069349728,1.0
165,Local,0,3,0.007119369446362922,1.0
165,ParameterRank1,6,1,0.007629660395658108,1.0
165,ParameterRank2,9,2,0.006740152210402726,1.0
165,ParameterRank3,12,3,0.006735997069349736,1.0
