seed,method,tracking,feasible
166,ExactIndividual,0.006686510322661748,1.0
166,LearnedRank1,0.00766630001630898,1.0
166,LearnedRank2,0.0070114343335977635,1.0
166,Local,0.00688370214170286,1.0
166,OracleGroupRank1,0.007685124574883337,1.0
166,OracleGroupRank2,0.006968461072033221,1.0
167,ExactIndividual,0.006720827921519402,1.0
167,LearnedRank1,0.00729326561614324,1.0
167,LearnedRank2,0.006908170962697075,1.0
167,Local,0.006958137074659144,1.0
167,OracleGroupRank1,0.00762161063369262,1.0
167,OracleGroupRank2,0.00691360171939597,1.0
168,ExactIndividual,0.0065920816938274205,1.0
168,LearnedRank1,0.00787392671753017,1.0
168,LearnedRank2,0.007032755533978004,1.0
168,Local,0.006885970493527762,1.0
168,OracleGroupRank1,0.007873936184602104,1.0
168,OracleGroupRank2,0.0069485130929188175,1.0
169,ExactIndividual,0.0066382183492887025,1.0
169,LearnedRank1,0.007122047743021018,1.0
169,LearnedRank2,0.006883017996748037,1.0
169,Local,0.006970424794971582,1.0
169,OracleGroupRank1,0.007217454284186938,1.0
169,OracleGroupRank2,0.006939402197090952,1.0
170,ExactIndividual,0.006698525749926638,1.0
170,LearnedRank1,0.007682866643891404,1.0
170,LearnedRank2,0.007162408085453349,1.0
170,Local,0.0072001573761759355,1.0
170,OracleGroupRank1,0.007662211669394245,1.0
170,OracleGroupRank2,0.007167930604027365,1.0
171,ExactIndividual,0.006639128923474227,1.0
171,LearnedRank1,0.00727975870221181,1.0
171,LearnedRank2,0.007097473084320001,1.0
171,Local,0.006951895707469209,1.0
171,OracleGroupRank1,0.007052306792333729,1.0
171,OracleGroupRank2,0.007106943957369877,1.0
172,ExactIndividual,0.006710745429777186,1.0
172,LearnedRank1,0.007142367957286637,1.0
172,LearnedRank2,0.006840264624927951,1.0
172,Local,0.006785282685394268,1.0
172,OracleGroupRank1,0.007047583531812004,1.0
172,OracleGroupRank2,0.006853656626854708,1.0
173,ExactIndividual,0.0066449977716651325,1.0
173,LearnedRank1,0.006893782443170376,1.0
173,LearnedRank2,0.007088195549981651,1.0
173,Local,0.006910563633949465,1.0
173,OracleGroupRank1,0.007173603759041782,1.0
173,OracleGroupRank2,0.007138550032134181,1.0
174,ExactIndividual,0.006672757847672844,1.0
174,LearnedRank1,0.007689346487579121,1.0
174,LearnedRank2,0.007053341811705687,1.0
174,Local,0.007035455380680122,1.0
174,OracleGroupRank1,0.007650514815420854,1.0
174,OracleGroupRank2,0.007061355755525842,1.0
175,ExactIndividual,0.00678285907429907,1.0
175,LearnedRank1,0.008099776204727028,1.0
175,LearnedRank2,0.007099543775423054,1.0
175,Local,0.007167350934165496,1.0
175,OracleGroupRank1,0.0081346160565093,1.0
175,OracleGroupRank2,0.007081806755386555,1.0
