budget,method,improvement_vs_local_pct
0.25,LearnedBackbone,97.64908973759286
0.25,LearnedRank1,96.42281486423838
0.25,LearnedRank2,89.92068726419079
0.5,LearnedBackbone,39.947377188109165
0.5,LearnedRank1,31.793899776179558
0.5,LearnedRank2,1.7968791080512414
0.75,LearnedBackbone,20.1078422608963
0.75,LearnedRank1,20.915025294726284
0.75,LearnedRank2,0.9686582233542351
1.25,LearnedBackbone,-2.7052609978682307
1.25,LearnedRank1,0.5297444488315484
1.25,LearnedRank2,0.9374460285608399
1.75,LearnedBackbone,-9.219268093614508
1.75,LearnedRank1,0.036002149480252044
1.75,LearnedRank2,0.048422780985568625
2.75,LearnedBackbone,-11.50790301791018
2.75,LearnedRank1,-0.40704325890950077
2.75,LearnedRank2,0.024492478934223794
4.75,LearnedBackbone,-11.361105954411377
4.75,LearnedRank1,-0.05651228419008003
4.75,LearnedRank2,0.050693228808440516
