seed,budget,method,tracking,feasible
176,0.25,ExactIndividual,0.006761840460260746,1.0
176,0.25,LearnedBackbone,0.012904611649608124,1.0
176,0.25,LearnedRank1,0.018891154912488627,1.0
176,0.25,LearnedRank2,0.052839702322148914,1.0
176,0.25,Local,0.3753179314197134,1.0
176,0.25,OracleGroupRank2,0.047934405094043064,1.0
176,0.5,ExactIndividual,0.006761840460260746,1.0
176,0.5,LearnedBackbone,0.00997364408806996,1.0
176,0.5,LearnedRank1,0.011744245279673375,1.0
176,0.5,LearnedRank2,0.01799425780541541,1.0
176,0.5,Local,0.018146394887359515,1.0
176,0.5,OracleGroupRank2,0.01675220148123527,1.0
176,0.75,ExactIndividual,0.006761840460260746,1.0
176,0.75,LearnedBackbone,0.010249843149272086,1.0
176,0.75,LearnedRank1,0.009707434958171215,1.0
176,0.75,LearnedRank2,0.012874744538015747,1.0
176,0.75,Local,0.012758959671661388,1.0
176,0.75,OracleGroupRank2,0.01262306765858654,1.0
176,1.25,ExactIndividual,0.006761840460260746,1.0
176,1.25,LearnedBackbone,0.0072333233416008984,1.0
176,1.25,LearnedRank1,0.007843221471376553,1.0
176,1.25,LearnedRank2,0.007670522005954764,1.0
176,1.25,Local,0.007729908855324246,1.0
176,1.25,OracleGroupRank2,0.0076401820037976095,1.0
176,1.75,ExactIndividual,0.006761840460260746,1.0
176,1.75,LearnedBackbone,0.007532647608686503,1.0
176,1.75,LearnedRank1,0.007108279897625271,1.0
176,1.75,LearnedRank2,0.007157436968936567,1.0
176,1.75,Local,0.007168759200646042,1.0
176,1.75,OracleGroupRank2,0.0071317522466777476,1.0
176,2.75,ExactIndividual,0.006761840460260746,1.0
176,2.75,LearnedBackbone,0.007228179721831001,1.0
176,2.75,LearnedRank1,0.006714407311821172,1.0
176,2.75,LearnedRank2,0.006758234331943228,1.0
176,2.75,Local,0.006761277422131828,1.0
176,2.75,OracleGroupRank2,0.0067414239674245995,1.0
176,4.75,ExactIndividual,0.006761840460260746,1.0
176,4.75,LearnedBackbone,0.007218324771150615,1.0
176,4.75,LearnedRank1,0.006702469040956073,1.0
176,4.75,LearnedRank2,0.006742370618733082,1.0
176,4.75,Local,0.006754647186142995,1.0
176,4.75,OracleGroupRank2,0.006725753959106082,1.0
177,0.25,ExactIndividual,0.006696265195438913,1.0
177,0.25,LearnedBackbone,0.010878474034880157,1.0
177,0.25,LearnedRank1,0.017246534420440416,1.0
177,0.25,LearnedRank2,0.04683315103265515,1.0
177,0.25,Local,0.48674453814328955,1.0
177,0.25,OracleGroupRank2,0.03847971398453472,1.0
177,0.5,ExactIndividual,0.006696265195438913,1.0
177,0.5,LearnedBackbone,0.014236492465523299,1.0
177,0.5,LearnedRank1,0.011930305254546011,1.0
177,0.5,LearnedRank2,0.018368828512121963,1.0
177,0.5,Local,0.01704933307651676,1.0
177,0.5,OracleGroupRank2,0.016391833639350355,1.0
177,0.75,ExactIndividual,0.006696265195438913,1.0
177,0.75,LearnedBackbone,0.012413032498471008,1.0
177,0.75,LearnedRank1,0.010424140904832464,1.0
177,0.75,LearnedRank2,0.012251804691862982,1.0
177,0.75,Local,0.011562913785949713,1.0
177,0.75,OracleGroupRank2,0.011339546965093691,1.0
177,1.25,ExactIndividual,0.006696265195438913,1.0
177,1.25,LearnedBackbone,0.008976386676115554,1.0
177,1.25,LearnedRank1,0.008165202768685736,1.0
177,1.25,LearnedRank2,0.00805135447540557,1.0
177,1.25,Local,0.00797708094466674,1.0
177,1.25,OracleGroupRank2,0.007984811906179569,1.0
177,1.75,ExactIndividual,0.006696265195438913,1.0
177,1.75,LearnedBackbone,0.00820136737421671,1.0
177,1.75,LearnedRank1,0.007043964796666132,1.0
177,1.75,LearnedRank2,0.006983560962353547,1.0
177,1.75,Local,0.006943642536251536,1.0
177,1.75,OracleGroupRank2,0.0069774351003003615,1.0
177,2.75,ExactIndividual,0.006696265195438913,1.0
177,2.75,LearnedBackbone,0.00779258297729668,1.0
177,2.75,LearnedRank1,0.006738066220799328,1.0
177,2.75,LearnedRank2,0.006733729415569645,1.0
177,2.75,Local,0.006710925732586876,1.0
177,2.75,OracleGroupRank2,0.0067382952221022915,1.0
177,4.75,ExactIndividual,0.006696265195438913,1.0
177,4.75,LearnedBackbone,0.007830818902085583,1.0
177,4.75,LearnedRank1,0.0067050976764926945,1.0
177,4.75,LearnedRank2,0.006705722724816405,1.0
177,4.75,Local,0.006677800432748398,1.0
177,4.75,OracleGroupRank2,0.006704384691016293,1.0
178,0.25,ExactIndividual,0.006662402390606932,1.0
178,0.25,LearnedBackbone,0.012062398314176244,1.0
178,0.25,LearnedRank1,0.018866783428518472,1.0
178,0.25,LearnedRank2,0.05315939899303627,1.0
178,0.25,Local,0.5365850183975324,1.0
178,0.25,OracleGroupRank2,0.04939876203188728,1.0
178,0.5,ExactIndividual,0.006662402390606932,1.0
178,0.5,LearnedBackbone,0.012627573808470098,1.0
178,0.5,LearnedRank1,0.014153747866889149,1.0
178,0.5,LearnedRank2,0.019057802529780843,1.0
178,0.5,Local,0.01819924550434787,1.0
