budget,method,tracking,tracking_std,feasible_rate,local_coordinates,parameter_error,gain_error
0.25,ExactIndividual,0.006696746086723865,4.8946479571762315e-05,1.0,3.0,0.0,0.0
0.25,LearnedBackbone,0.011627837826874314,0.0008677401340459985,1.0,0.0,0.12203251964838555,0.025161516601984058
0.25,LearnedRank1,0.017693116279458337,0.0011932405175056197,1.0,1.0,0.18066664804078875,0.0419042671104346
0.25,LearnedRank2,0.04985329120063246,0.006372539072113937,1.0,2.0,0.663082308610723,0.14226820916553615
0.25,Local,0.4946100245854711,0.10245442790210946,1.0,3.0,1.7482500955160207,0.2088514717404435
0.25,OracleGroupRank2,0.04552909085243102,0.007323523302018943,1.0,2.0,0.5608404380541303,0.12341573573062993
0.5,ExactIndividual,0.006696746086723865,4.8946479571762315e-05,1.0,3.0,0.0,0.0
0.5,LearnedBackbone,0.011621049486980993,0.0014230288399978948,1.0,0.0,0.1065210595241136,0.022847033145132086
0.5,LearnedRank1,0.01319886507701471,0.0016752785072078947,1.0,1.0,0.12933612420491072,0.02730714247524518
0.5,LearnedRank2,0.01900372163987055,0.0019462053632646717,1.0,2.0,0.22856945869587358,0.04713696939036334
0.5,Local,0.01935144368861762,0.00205612978764045,1.0,3.0,0.3297734666390834,0.049176744896556504
0.5,OracleGroupRank2,0.0177231669965936,0.0015182199003211452,1.0,2.0,0.20842442045887913,0.043370969755424496
0.75,ExactIndividual,0.006696746086723865,4.8946479571762315e-05,1.0,3.0,0.0,0.0
0.75,LearnedBackbone,0.010699414558547084,0.0009023107994943852,1.0,0.0,0.09426580233016914,0.01979456460655803
0.75,LearnedRank1,0.010591314012160844,0.0009725050062482787,1.0,1.0,0.09738602238135868,0.019217195961904247
0.75,LearnedRank2,0.013262595603158673,0.0009107566445404736,1.0,2.0,0.1478208345317281,0.02936946110551598
0.75,Local,0.01339232142594916,0.0008538242193720719,1.0,3.0,0.21428139490993933,0.029778284058719167
0.75,OracleGroupRank2,0.012823584649885316,0.0008145905826750943,1.0,2.0,0.13765895437148787,0.028024834759776594
1.25,ExactIndividual,0.006696746086723865,4.8946479571762315e-05,1.0,3.0,0.0,0.0
1.25,LearnedBackbone,0.007900664751458342,0.0005559017562157991,1.0,0.0,0.05510640394867247,0.010697457212738402
1.25,LearnedRank1,0.0076518099872993055,0.0003389585211584701,1.0,1.0,0.051761771553777244,0.008635236994378282
1.25,LearnedRank2,0.007620447294981646,0.00031717947881929634,1.0,2.0,0.058072519191469635,0.008661506811066904
1.25,Local,0.007692560901648776,0.00034390996199195424,1.0,3.0,0.12219811728700779,0.010155774269705764
1.25,OracleGroupRank2,0.007582393040874031,0.0003125113156957499,1.0,2.0,0.05153861548282205,0.008640419188026823
1.75,ExactIndividual,0.006696746086723865,4.8946479571762315e-05,1.0,3.0,0.0,0.0
1.75,LearnedBackbone,0.007757545988479874,0.0002573266846070423,1.0,0.0,0.05312168725851309,0.010151032056838427
1.75,LearnedRank1,0.007100169448608933,0.00017474563286871451,1.0,1.0,0.04465444236405641,0.006188617705300934
1.75,LearnedRank2,0.007099287245113247,0.00013041708105705427,1.0,2.0,0.04394827642105808,0.0053885344446755025
1.75,Local,0.007102726582850464,0.00010838714679189371,1.0,3.0,0.06670460309178107,0.0060564369777765
1.75,OracleGroupRank2,0.007083262064928627,0.0001372028344263758,1.0,2.0,0.04005414855116332,0.005261916007465408
2.75,ExactIndividual,0.006696746086723865,4.8946479571762315e-05,1.0,3.0,0.0,0.0
2.75,LearnedBackbone,0.007473637415565027,0.0002002647438949009,1.0,0.0,0.05479723709215675,0.010221010234856387
2.75,LearnedRank1,0.0067296201881360245,5.3369366370595717e-05,1.0,1.0,0.04045417736117514,0.00489018209548362
2.75,LearnedRank2,0.00670069720107219,4.7577608274346814e-05,1.0,2.0,0.025383765824013988,0.002487226888809545
2.75,Local,0.006702338769983529,4.336743719815113e-05,1.0,3.0,0.022253991180759772,0.0023857543188550577
2.75,OracleGroupRank2,0.006703358746049344,4.2151895887099996e-05,1.0,2.0,0.02832246887773567,0.0025362022694476296
4.75,ExactIndividual,0.006696746086723865,4.8946479571762315e-05,1.0,3.0,0.0,0.0
4.75,LearnedBackbone,0.007443777616669976,0.0002142871538134683,1.0,0.0,0.055637063624857035,0.010270369166284137
4.75,LearnedRank1,0.0066881378391484515,4.420184504076393e-05,1.0,1.0,0.04083445177937199,0.004857623683251008
4.75,LearnedRank2,0.006680971836339816,5.535515820103532e-05,1.0,2.0,0.021865493710880275,0.0018659862599677097
4.75,Local,0.006684360354428667,5.00175018701525e-05,1.0,3.0,0.01571023132353658,0.0016305987239654772
4.75,OracleGroupRank2,0.006680540158602044,4.766181943782068e-05,1.0,2.0,0.026627981087878668,0.00207947197098795
