seed,method,tracking,feasible
186,FleetControlActive,0.0067604152967313,1.0
186,FleetFixed,0.007026243817415798,1.0
186,FleetParameterActive,0.0067604152967313,1.0
186,LocalControlActive,0.006787335954645123,1.0
186,LocalFixed,0.007070905713611676,1.0
186,LocalParameterActive,0.007022272104674599,1.0
186,OracleBestFleet,0.006784500262292734,1.0
187,FleetControlActive,0.0066991495431651255,1.0
187,FleetFixed,0.0068265693447380985,1.0
187,FleetParameterActive,0.0066991495431651255,1.0
187,LocalControlActive,0.006691892575296232,1.0
187,LocalFixed,0.0067945496850151735,1.0
187,LocalParameterActive,0.006771109846798181,1.0
187,OracleBestFleet,0.006721837042764415,1.0
188,FleetControlActive,0.006768643005019789,1.0
188,FleetFixed,0.006800646582949816,1.0
188,FleetParameterActive,0.006768643005019789,1.0
188,LocalControlActive,0.006758173843739306,1.0
188,LocalFixed,0.006728757571792418,1.0
188,LocalParameterActive,0.006732004345355979,1.0
188,OracleBestFleet,0.006733274335168059,1.0
189,FleetControlActive,0.006770591322875044,1.0
189,FleetFixed,0.006875024245214919,1.0
189,FleetParameterActive,0.006770591322875044,1.0
189,LocalControlActive,0.006834303119242413,1.0
189,LocalFixed,0.006910131698156716,1.0
189,LocalParameterActive,0.0068139195811309635,1.0
189,OracleBestFleet,0.006724566014688764,1.0
190,FleetControlActive,0.006772920813906871,1.0
190,FleetFixed,0.006881092089190672,1.0
190,FleetParameterActive,0.006772920813906871,1.0
190,LocalControlActive,0.006827020016838702,1.0
190,LocalFixed,0.00681288352142687,1.0
190,LocalParameterActive,0.006819904881368053,1.0
190,OracleBestFleet,0.006748573983065834,1.0
191,FleetControlActive,0.0067608319154045795,1.0
191,FleetFixed,0.006768816594570866,1.0
191,FleetParameterActive,0.0067608319154045795,1.0
191,LocalControlActive,0.006783316823663452,1.0
191,LocalFixed,0.006787953259694246,1.0
191,LocalParameterActive,0.006790442366190378,1.0
191,OracleBestFleet,0.006742196407353124,1.0
192,FleetControlActive,0.006708385982616039,1.0
192,FleetFixed,0.006732796191682675,1.0
192,FleetParameterActive,0.006708385982616039,1.0
192,LocalControlActive,0.00670815368129067,1.0
192,LocalFixed,0.00670282916345187,1.0
192,LocalParameterActive,0.006764940006928725,1.0
192,OracleBestFleet,0.006737143992621523,1.0
193,FleetControlActive,0.006609360149421496,1.0
193,FleetFixed,0.007053462516262879,1.0
193,FleetParameterActive,0.006609360149421496,1.0
193,LocalControlActive,0.006653761189912215,1.0
193,LocalFixed,0.007075419733215618,1.0
193,LocalParameterActive,0.0070794676541549,1.0
193,OracleBestFleet,0.006748170301473111,1.0
194,FleetControlActive,0.006670978616294532,1.0
194,FleetFixed,0.006754875894455647,1.0
194,FleetParameterActive,0.006670978616294532,1.0
194,LocalControlActive,0.006668725552738932,1.0
194,LocalFixed,0.006712415376406535,1.0
194,LocalParameterActive,0.006738596082505673,1.0
194,OracleBestFleet,0.0066712436041368225,1.0
195,FleetControlActive,0.006718896262772845,1.0
195,FleetFixed,0.006852047680339707,1.0
195,FleetParameterActive,0.006718896262772845,1.0
195,LocalControlActive,0.006651374865454091,1.0
195,LocalFixed,0.006865313663514309,1.0
195,LocalParameterActive,0.006895271160782433,1.0
195,OracleBestFleet,0.006739681560081164,1.0
