seed,budget,method,tracking,q95,feasible
196,0.75,Central,0.011150859522329911,0.019728824605302595,1.0
196,0.75,ExactIndividual,0.006687074844018399,0.00920677493936925,1.0
196,0.75,Fed100,0.011150859532739393,0.0197288246228563,1.0
196,0.75,Fed20,0.010579611322321653,0.01983416534521311,1.0
196,0.75,Fed50,0.011150859532739393,0.0197288246228563,1.0
196,0.75,Local,0.013314609069197288,0.028351447380189645,1.0
196,1.25,Central,0.007639978264640051,0.012339896001468969,1.0
196,1.25,ExactIndividual,0.006687074844018399,0.00920677493936925,1.0
196,1.25,Fed100,0.007639978221022061,0.012339896046632014,1.0
196,1.25,Fed20,0.007639877952094926,0.0123394999228824,1.0
196,1.25,Fed50,0.007639978221022061,0.012339896046632014,1.0
196,1.25,Local,0.0076907772541492635,0.012206563331422353,1.0
197,0.75,Central,0.012686905401949895,0.03070598511214455,1.0
197,0.75,ExactIndividual,0.006671376975243123,0.009213699089559149,1.0
197,0.75,Fed100,0.012686905410057615,0.030705985074184972,1.0
197,0.75,Fed20,0.010702195645495054,0.019428269631871106,1.0
197,0.75,Fed50,0.012686905410057615,0.030705985074184972,1.0
197,0.75,Local,0.013997080315951087,0.026018371822919155,1.0
197,1.25,Central,0.007817939682824026,0.011097982003526536,1.0
197,1.25,ExactIndividual,0.006671376975243123,0.009213699089559149,1.0
197,1.25,Fed100,0.007817939663909952,0.011097981877229846,1.0
197,1.25,Fed20,0.007846684341489496,0.0111864706166096,1.0
197,1.25,Fed50,0.007817939663909952,0.011097981877229846,1.0
197,1.25,Local,0.008040137433317848,0.01179457283957011,1.0
198,0.75,Central,0.010342465043292734,0.019396140554887406,1.0
198,0.75,ExactIndividual,0.00669576406274498,0.00919465442676095,1.0
198,0.75,Fed100,0.010342465037002814,0.0193961406570667,1.0
198,0.75,Fed20,0.010379358926778614,0.01967278938104833,1.0
198,0.75,Fed50,0.010342465037002814,0.0193961406570667,1.0
198,0.75,Local,0.01289949359284001,0.025828613361326736,1.0
198,1.25,Central,0.007952948562528634,0.013503407123444078,1.0
198,1.25,ExactIndividual,0.00669576406274498,0.00919465442676095,1.0
198,1.25,Fed100,0.007952948497986848,0.013503406371692922,1.0
198,1.25,Fed20,0.008018975063790203,0.013503406371692922,1.0
198,1.25,Fed50,0.007952948497986848,0.013503406371692922,1.0
198,1.25,Local,0.008056190905829657,0.013530718455935292,1.0
199,0.75,Central,0.011369151476252193,0.02133007783215802,1.0
199,0.75,ExactIndividual,0.006664521049927143,0.0092394621053643,1.0
199,0.75,Fed100,0.011369151486780601,0.021330077804175562,1.0
199,0.75,Fed20,0.011369151486780601,0.021330077804175562,1.0
199,0.75,Fed50,0.011594929215407355,0.022378036780310563,1.0
199,0.75,Local,0.014092821659123513,0.032550645552048,1.0
199,1.25,Central,0.007870081802328153,0.013708910079932624,1.0
199,1.25,ExactIndividual,0.006664521049927143,0.0092394621053643,1.0
199,1.25,Fed100,0.007870081786896733,0.013708908389419149,1.0
199,1.25,Fed20,0.007870081786896733,0.013708908389419149,1.0
199,1.25,Fed50,0.007846703004293134,0.013708908389419149,1.0
199,1.25,Local,0.00799928811496576,0.01371418127182097,1.0
200,0.75,Central,0.010711357604005935,0.01727092104749381,1.0
200,0.75,ExactIndividual,0.006721911293807678,0.009281977648924399,1.0
200,0.75,Fed100,0.010711357609142203,0.017270921063517394,1.0
200,0.75,Fed20,0.01151072689426262,0.024740327820181127,1.0
