seed,budget,method,tracking,q95,feasible
206,0.75,Central,0.012128520410891555,0.02353176753514356,1.0
206,0.75,ExactIndividual,0.006675262803541666,0.00916007209158746,1.0
206,0.75,Fed100,0.012128520409926935,0.02353176754531478,1.0
206,0.75,Fed20,0.01170913495655738,0.023641754735854874,1.0
206,0.75,Fed50,0.012128520409926935,0.02353176754531478,1.0
206,0.75,Local,0.014097643191813223,0.02867661682176102,1.0
206,1.25,Central,0.007644086550661364,0.011171004165189893,1.0
206,1.25,ExactIndividual,0.006675262803541666,0.00916007209158746,1.0
206,1.25,Fed100,0.007644086498003403,0.011171004274553102,1.0
206,1.25,Fed20,0.0077297816926006355,0.011064540960991808,1.0
206,1.25,Fed50,0.007644086498003403,0.011171004274553102,1.0
206,1.25,Local,0.007656986443680903,0.011306441561768481,1.0
207,0.75,Central,0.012162885366043555,0.026672202149705598,1.0
207,0.75,ExactIndividual,0.006644183120822208,0.009261816549863439,1.0
207,0.75,Fed100,0.01240915311288192,0.027466383190310174,1.0
207,0.75,Fed20,0.011695109660362258,0.028148174932862917,1.0
207,0.75,Fed50,0.01155704496305512,0.019719477467683797,1.0
207,0.75,Local,0.01153570648212972,0.02118794111146282,1.0
207,1.25,Central,0.0071487321985009445,0.009750803706640035,1.0
207,1.25,ExactIndividual,0.006644183120822208,0.009261816549863439,1.0
207,1.25,Fed100,0.007144267630359811,0.009719575582336949,1.0
207,1.25,Fed20,0.007120969875694184,0.009695099851928384,1.0
207,1.25,Fed50,0.0071562852027711,0.00978353382564492,1.0
207,1.25,Local,0.007204900180429769,0.01001382228015986,1.0
208,0.75,Central,0.010123647067428595,0.018470508332813905,1.0
208,0.75,ExactIndividual,0.006672976873612299,0.00922338131840202,1.0
208,0.75,Fed100,0.01012364706304217,0.018470508214717324,1.0
208,0.75,Fed20,0.009611381332775896,0.01801477037277205,1.0
208,0.75,Fed50,0.01012364706304217,0.018470508214717324,1.0
208,0.75,Local,0.012484126799379549,0.024682735415239607,1.0
208,1.25,Central,0.007730147504923098,0.011817253148130428,1.0
208,1.25,ExactIndividual,0.006672976873612299,0.00922338131840202,1.0
208,1.25,Fed100,0.007730147534628291,0.011817253250431503,1.0
208,1.25,Fed20,0.007742518946330506,0.011745758261547033,1.0
208,1.25,Fed50,0.007730147534628291,0.011817253250431503,1.0
208,1.25,Local,0.007845834293753805,0.012296680928144782,1.0
209,0.75,Central,0.010295996210056344,0.02107455396170337,1.0
209,0.75,ExactIndividual,0.006625466091898787,0.009171352152145859,1.0
209,0.75,Fed100,0.010295996218146768,0.02107455397593137,1.0
209,0.75,Fed20,0.00988508466361762,0.02107455397593137,1.0
209,0.75,Fed50,0.010295996218146768,0.02107455397593137,1.0
209,0.75,Local,0.013139222047287564,0.028288922099171464,1.0
209,1.25,Central,0.007314154992727425,0.010527800188968714,1.0
209,1.25,ExactIndividual,0.006625466091898787,0.009171352152145859,1.0
209,1.25,Fed100,0.007314154939673524,0.010527799506888234,1.0
209,1.25,Fed20,0.007306220860236094,0.010516026919099308,1.0
209,1.25,Fed50,0.007314154939673524,0.010527799506888234,1.0
209,1.25,Local,0.007274851462691724,0.010678238560248219,1.0
210,0.75,Central,0.010611762661090146,0.019453832069633754,1.0
210,0.75,ExactIndividual,0.00673972551435772,0.009218204992598275,1.0
210,0.75,Fed100,0.010611762687549374,0.019453832270159555,1.0
210,0.75,Fed20,0.01077134273513536,0.021849687967829587,1.0
210,0.75,Fed50,0.0109048883742271,0.020814340726062513,1.0
210,0.75,Local,0.014110730983310076,0.041627816207040466,1.0
