seed,budget,method,tracking,feasible
216,0.75,Dropout50,0.012950776756445426,1.0
216,0.75,ExactIndividual,0.006673465202519462,1.0
216,0.75,FamilySkew20,0.01231169785590187,1.0
216,0.75,Local,0.015010706606388324,1.0
216,0.75,OperatingSkew20,0.012855691863894188,1.0
216,0.75,Persistent20,0.013455688716290139,1.0
216,0.75,Uniform20,0.012282571642017414,1.0
216,1.25,Dropout50,0.007457469431613164,1.0
216,1.25,ExactIndividual,0.006673465202519462,1.0
216,1.25,FamilySkew20,0.007383630518917033,1.0
216,1.25,Local,0.007476888908830975,1.0
216,1.25,OperatingSkew20,0.00741603334429606,1.0
216,1.25,Persistent20,0.007416994054485812,1.0
216,1.25,Uniform20,0.007347076767473314,1.0
217,0.75,Dropout50,0.012259794063142706,1.0
217,0.75,ExactIndividual,0.006639746905416544,1.0
217,0.75,FamilySkew20,0.012419260626448166,1.0
217,0.75,Local,0.015486224216968337,1.0
217,0.75,OperatingSkew20,0.01267776355969606,1.0
217,0.75,Persistent20,0.012992776489112616,1.0
217,0.75,Uniform20,0.012586984581087063,1.0
217,1.25,Dropout50,0.0075935887576578185,1.0
217,1.25,ExactIndividual,0.006639746905416544,1.0
217,1.25,FamilySkew20,0.0073747418876076625,1.0
217,1.25,Local,0.007516356748086436,1.0
217,1.25,OperatingSkew20,0.0075824480566021755,1.0
217,1.25,Persistent20,0.00754776464253939,1.0
217,1.25,Uniform20,0.007477621193097857,1.0
218,0.75,Dropout50,0.011318345335577028,1.0
218,0.75,ExactIndividual,0.006707178160629013,1.0
218,0.75,FamilySkew20,0.01120969339928516,1.0
218,0.75,Local,0.012437310453800131,1.0
218,0.75,OperatingSkew20,0.011219846951993517,1.0
218,0.75,Persistent20,0.011517769675765139,1.0
218,0.75,Uniform20,0.011224155922721845,1.0
218,1.25,Dropout50,0.007558931079691887,1.0
218,1.25,ExactIndividual,0.006707178160629013,1.0
218,1.25,FamilySkew20,0.007431823895814082,1.0
218,1.25,Local,0.007566574494459954,1.0
218,1.25,OperatingSkew20,0.007555697794661973,1.0
218,1.25,Persistent20,0.007466986998071143,1.0
218,1.25,Uniform20,0.007532516853106472,1.0
219,0.75,Dropout50,0.011140246907915112,1.0
219,0.75,ExactIndividual,0.00672654008830661,1.0
219,0.75,FamilySkew20,0.011448327795653938,1.0
219,0.75,Local,0.012497252680876456,1.0
219,0.75,OperatingSkew20,0.011158499350899782,1.0
219,0.75,Persistent20,0.010219203198510158,1.0
219,0.75,Uniform20,0.009733488401954753,1.0
219,1.25,Dropout50,0.007622039153810151,1.0
219,1.25,ExactIndividual,0.00672654008830661,1.0
219,1.25,FamilySkew20,0.0075575768901810295,1.0
219,1.25,Local,0.007565314895471732,1.0
219,1.25,OperatingSkew20,0.007466235344329666,1.0
219,1.25,Persistent20,0.007512222227891843,1.0
219,1.25,Uniform20,0.007498976473649745,1.0
220,0.75,Dropout50,0.009626792737850779,1.0
220,0.75,ExactIndividual,0.006668628508138395,1.0
220,0.75,FamilySkew20,0.00991514873612936,1.0
220,0.75,Local,0.011331421623810749,1.0
220,0.75,OperatingSkew20,0.01037200400300678,1.0
220,0.75,Persistent20,0.010112709533841626,1.0
220,0.75,Uniform20,0.009920628751682987,1.0
220,1.25,Dropout50,0.00835727645956399,1.0
220,1.25,ExactIndividual,0.006668628508138395,1.0
220,1.25,FamilySkew20,0.008396260487345462,1.0
220,1.25,Local,0.008333151492700938,1.0
220,1.25,OperatingSkew20,0.008388324224921775,1.0
220,1.25,Persistent20,0.008095512965009665,1.0
220,1.25,Uniform20,0.008196932997816885,1.0
221,0.75,Dropout50,0.012143801994541858,1.0
221,0.75,ExactIndividual,0.006737354630254613,1.0
221,0.75,FamilySkew20,0.010540690578413791,1.0
221,0.75,Local,0.013945963747885474,1.0
221,0.75,OperatingSkew20,0.010525528680295436,1.0
221,0.75,Persistent20,0.01874763485280017,1.0
221,0.75,Uniform20,0.01117635901387851,1.0
221,1.25,Dropout50,0.00767811713526526,1.0
