budget,method,tracking,tracking_std,feasible_rate,parameter_error,gain_error
0.75,Dropout50,0.011417806646795866,0.0009269179823527439,1.0,0.11019857800249296,0.022465646925801993
0.75,ExactIndividual,0.006695533953781298,3.947297610337665e-05,1.0,0.0,0.0
0.75,FamilySkew20,0.011709722798462534,0.0011194100975076904,1.0,0.11984001939574664,0.024055481019543995
0.75,Local,0.01364088658023846,0.0014362122848229826,1.0,0.20754757281187464,0.030409887194165475
0.75,OperatingSkew20,0.011299095215512348,0.000993388324866872,1.0,0.10576997890154506,0.021257348231870195
0.75,Persistent20,0.011890494553134286,0.002760185487592203,1.0,0.11946954264462269,0.024198661206201
0.75,Uniform20,0.011577387530847834,0.0012907139156670205,1.0,0.109598421031715,0.02218928974725889
1.25,Dropout50,0.007644856110486116,0.00035680948455034763,1.0,0.06263531189369778,0.009241785421320042
1.25,ExactIndividual,0.006695533953781298,3.947297610337665e-05,1.0,0.0,0.0
1.25,FamilySkew20,0.0075994728163399266,0.0004016344876208657,1.0,0.06838980615980642,0.009219804120258693
1.25,Local,0.007622349165532305,0.00037284432021247995,1.0,0.11369199185876856,0.010238506494927678
1.25,OperatingSkew20,0.007610772700492717,0.00039657814824012343,1.0,0.06918924840329138,0.009426470357918349
1.25,Persistent20,0.007563990871971888,0.00033282931026204043,1.0,0.07145925020959598,0.009390405687550356
1.25,Uniform20,0.007585590471538004,0.0003411790557231571,1.0,0.06862341900298255,0.009219911294344662
