budget,method,tracking,tracking_std,tracking_median,tracking_q25,tracking_q75,feasible_rate,local_coordinates,parameter_error,gain_error
0.75,CentralRank1,0.010731465794781568,0.0009244442366590711,0.010520801342386425,0.010166734353085533,0.011218224144736964,1.0,1.0,0.10065392723124002,0.0200695833247791
0.75,CentralRank2,0.012709021178213412,0.0011868693122014616,0.0124002138205874,0.012096210647618993,0.013449476636635125,1.0,2.0,0.14635181684362028,0.02811332413240862
0.75,ExactIndividual,0.006663806149464035,3.299632875580001e-05,0.00666731030882675,0.0066452575880364215,0.006673060541098612,1.0,3.0,0.0,0.0
0.75,Fed20Rank1,0.010518188751253968,0.0008693230888756327,0.010600591388012547,0.009898053117006608,0.01104207511714975,1.0,1.0,0.09760671738289012,0.019477850058462524
0.75,Fed20Rank2,0.01277426558175788,0.0012724563022521226,0.012629089411779171,0.01189130460001064,0.013370274770593967,1.0,2.0,0.14589005590839002,0.02813010375785554
0.75,GlobalK1,0.011544176417398442,0.0005835065727850651,0.01131393415328277,0.011124585697687622,0.01199570278177612,1.0,0.0,0.12853171316632073,0.02602955418052894
0.75,LearnedCenter,0.010825698342101476,0.0009578291524720045,0.010578614676976517,0.009998798407203479,0.011391113101707713,1.0,0.0,0.09772206545664401,0.020386513948592998
0.75,Local,0.01271351274378986,0.0011343264669257302,0.012526047666399621,0.012073320148691509,0.013858037905681807,1.0,3.0,0.2062960191476088,0.028561683457868643
0.75,OracleFamilyRank2,0.012205469545096267,0.0012633515636313705,0.012222443907498177,0.01187291121919707,0.013060167148558748,1.0,2.0,0.13218518039511307,0.026592530186606057
1.25,CentralRank1,0.007432614735354259,0.0001558400209113514,0.007381467188705857,0.007362136464539336,0.007516802379243725,1.0,1.0,0.04993572136422944,0.007924891745973826
1.25,CentralRank2,0.007529787363710688,0.00030550905467439346,0.007561668405115969,0.0072737902115913204,0.007675541739209375,1.0,2.0,0.0634667011898906,0.008930376151497858
1.25,ExactIndividual,0.006663806149464035,3.299632875580001e-05,0.00666731030882675,0.0066452575880364215,0.006673060541098612,1.0,3.0,0.0,0.0
1.25,Fed20Rank1,0.007461742003024,0.00011982898079962703,0.007443888914675177,0.007399366996032424,0.007488908193036473,1.0,1.0,0.05204790958864054,0.008248277706702483
1.25,Fed20Rank2,0.007561511329635434,0.00032573680582353336,0.007602571073039456,0.007309863836240641,0.007739334632898038,1.0,2.0,0.06323882305127829,0.009049395360064612
1.25,GlobalK1,0.011544176417398442,0.0005835065727850651,0.01131393415328277,0.011124585697687622,0.01199570278177612,1.0,0.0,0.12853171316632073,0.02602955418052894
1.25,LearnedCenter,0.007798326016061929,0.0002993172221744475,0.0077472278308994965,0.007555583397206564,0.008023178517210707,1.0,0.0,0.05491852879106538,0.010135742697341396
1.25,Local,0.007556810350022163,0.0003056352209697172,0.0076021459309879745,0.0072926319520699254,0.007783129334232844,1.0,3.0,0.11973466941199867,0.01032230862240144
1.25,OracleFamilyRank2,0.007495756481886921,0.0002627456238720868,0.007556550116138192,0.007302944398764668,0.007650717675440765,1.0,2.0,0.05328978673200293,0.008702353128964434
