phase,seed,method,participation,selected_k,legacy_upload_bytes,legacy_download_bytes,discovery_upload_bytes,discovery_download_bytes,fixed_k_upload_bytes,fixed_k_download_bytes,discovery_client_transmissions
development,196,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,196,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
development,196,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
development,197,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,197,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
development,197,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
development,198,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,198,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
development,198,Fed20,0.2,4,332352,178560,1508400,907200,310320,172800,7956
development,199,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,199,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
development,199,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
development,200,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,200,Fed50,0.5,4,787680,446400,3698640,2268000,727200,432000,18000
development,200,Fed20,0.2,4,332352,178560,1508400,907200,310320,172800,7956
development,201,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,201,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
development,201,Fed20,0.2,2,166176,89280,1494000,907200,156240,86400,7956
development,202,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,202,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
development,202,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
development,203,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,203,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
development,203,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
development,204,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,204,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
development,204,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
development,205,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
development,205,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
development,205,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
confirmation,206,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,206,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
confirmation,206,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
confirmation,207,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,207,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
confirmation,207,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
confirmation,208,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,208,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
confirmation,208,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
confirmation,209,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,209,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
confirmation,209,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
confirmation,210,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,210,Fed50,0.5,2,393840,223200,3684240,2268000,365760,216000,18000
confirmation,210,Fed20,0.2,4,332352,178560,1508400,907200,310320,172800,7956
confirmation,211,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,211,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
confirmation,211,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
confirmation,212,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,212,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
confirmation,212,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
confirmation,213,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,213,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
confirmation,213,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
confirmation,214,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,214,Fed50,0.5,3,590760,334800,3691440,2268000,546480,324000,18000
confirmation,214,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
confirmation,215,Fed100,1.0,3,1159920,669600,7341840,4536000,1068480,648000,34740
confirmation,215,Fed50,0.5,4,787680,446400,3698640,2268000,727200,432000,18000
confirmation,215,Fed20,0.2,3,249264,133920,1501200,907200,233280,129600,7956
